account_id,year_month,opening_balance,total_inflows,total_outflows,closing_balance
A0000100,2021-01,4801.59,10126.86,4507.13,10421.32
A0000100,2021-02,10421.32,12137.66,13008.02,9550.96
A0000100,2021-03,9550.96,70208.13,38022.43,41736.66
A0000100,2021-04,41736.66,15435.92,27956.35,29216.23
A0000100,2021-05,29216.23,15652.05,26358.37,18509.91
A0000100,2021-06,18509.91,29377.87,26003.78,21884.0
A0000100,2021-07,21884.0,9275.99,23471.24,7688.75
A0000100,2021-08,7688.75,10581.66,3389.09,14881.32
A0000100,2021-09,14881.32,23451.93,17772.02,20561.23
A0000100,2021-10,20561.23,34412.44,25554.3,29419.37
A0000100,2021-11,29419.37,15948.52,19187.76,26180.13
A0000100,2021-12,26180.13,40182.84,43995.42,22367.55
A0000100,2022-01,22367.55,37920.22,34219.46,26068.31
A0000100,2022-02,26068.31,26393.74,5068.16,47393.89
A0000100,2022-03,47393.89,38126.66,70192.78,15327.77
A0000100,2022-04,15327.77,32951.1,28585.77,19693.1
A0000100,2022-05,19693.1,97302.52,38817.95,78177.67
A0000100,2022-06,78177.67,485312.55,51200.77,512289.45
A0000100,2022-07,512289.45,70340.3,24757.79,557871.96
A0000100,2022-08,557871.96,15614.87,302389.88,271096.95
A0000100,2022-09,271096.95,17818.2,89721.25,199193.9
A0000100,2022-10,199193.9,36444.92,40716.02,194922.8
A0000100,2022-11,194922.8,0.0,34352.55,160570.25
A0000100,2022-12,160570.25,84218.45,15115.71,229672.99
A0000100,2023-01,229672.99,14721.05,68084.89,176309.15
A0000100,2023-02,176309.15,46244.52,66282.14,156271.53
A0000100,2023-03,156271.53,18880.79,49931.92,125220.4
A0000100,2023-04,125220.4,61360.51,0.0,186580.91
A0000100,2023-05,186580.91,5072.04,6912.8,184740.15
A0000100,2023-06,184740.15,38382.44,6124.74,216997.85
A0000100,2023-07,216997.85,48899.82,22337.67,243560.0
A0000100,2023-08,243560.0,9424.15,35591.68,217392.47
A0000100,2023-09,217392.47,106363.08,90501.74,233253.81
A0000100,2023-10,233253.81,35685.61,11200.34,257739.08
A0000100,2023-11,257739.08,51466.34,30216.17,278989.25
A0000100,2023-12,278989.25,11281.81,44673.33,245597.73
A0000100,2024-01,245597.73,39395.86,44536.95,240456.64
A0000100,2024-02,240456.64,66020.42,22098.85,284378.21
A0000100,2024-03,284378.21,40771.36,55215.72,269933.85
A0000100,2024-04,269933.85,72685.64,43519.78,299099.71
A0000100,2024-05,299099.71,9465.4,48987.33,259577.78
A0000100,2024-06,259577.78,48552.8,31859.47,276271.11
A0000100,2024-07,276271.11,136834.88,43667.79,369438.2
A0000100,2024-08,369438.2,21772.77,5048.07,386162.9
A0000100,2024-09,386162.9,48735.23,36832.72,398065.41
A0000100,2024-10,398065.41,80575.45,35761.69,442879.17
A0000100,2024-11,442879.17,50411.95,31942.16,461348.96
A0000100,2024-12,461348.96,86805.19,72397.36,475756.79
A0000100,2025-01,475756.79,23368.96,54147.53,444978.22
A0000100,2025-02,444978.22,59180.07,138680.13,365478.16
A0000100,2025-03,365478.16,194566.19,104954.85,455089.5
A0000100,2025-04,455089.5,168296.25,61088.59,562297.16
A0000100,2025-05,562297.16,146613.12,136782.7,572127.58
A0000100,2025-06,572127.58,9903.9,37265.8,544765.68
A0000100,2025-07,544765.68,62300.02,21049.74,586015.96
A0000100,2025-08,586015.96,0.0,416473.71,169542.25
A0000100,2025-09,169542.25,41494.13,40259.53,170776.85
A0000100,2025-10,170776.85,27235.77,92857.03,105155.59
A0000100,2025-11,105155.59,5651.42,30679.48,80127.53
A0000100,2025-12,80127.53,146470.48,122999.55,103598.46
A0000100,2026-01,103598.46,144893.59,80410.22,168081.83
A0000100,2026-02,168081.83,0.0,47632.21,120449.62
A0000100,2026-03,120449.62,0.0,84222.65,36226.97
A0000100,2026-04,36226.97,9062.28,9992.78,35296.47
A0000100,2026-05,35296.47,84324.3,52901.2,66719.57
A0000100,2026-06,66719.57,190319.05,128044.85,128993.77
A0000100,2026-07,128993.77,29498.62,70328.04,88164.35
A0000100,2026-08,88164.35,33839.22,8743.39,113260.18
A0000100,2026-09,113260.18,51458.36,113837.11,50881.43
A0000100,2026-10,50881.43,119207.39,110129.07,59959.75
A0000100,2026-11,59959.75,40046.69,20972.25,79034.19
A0000100,2026-12,79034.19,146610.45,51273.59,174371.05
A0000220,2021-01,606.69,292.74,0.0,899.43
A0000220,2021-02,899.43,55.64,11.97,943.1
A0000220,2021-03,943.1,143.61,0.0,1086.71
A0000220,2021-04,1086.71,63.74,0.0,1150.45
A0000220,2021-05,1150.45,1211.37,76.63,2285.19
A0000220,2021-06,2285.19,42.26,1450.0,877.45
A0000303,2021-01,36239.21,10381.38,42963.37,3657.22
A0000303,2021-02,3657.22,116593.94,21728.74,98522.42
A0000303,2021-03,98522.42,285511.45,21973.42,362060.45
A0000303,2021-04,362060.45,69974.71,45876.77,386158.39
A0000303,2021-05,386158.39,12905.99,12674.05,386390.33
A0000303,2021-06,386390.33,48584.9,76404.49,358570.74
A0000303,2021-07,358570.74,15565.17,3658.07,370477.84
A0000303,2021-08,370477.84,15543.26,31768.74,354252.36
A0000303,2021-09,354252.36,119544.89,35416.58,438380.67
A0000303,2021-10,438380.67,24563.76,8525.17,454419.26
A0000303,2021-11,454419.26,132119.44,85368.5,501170.2
