account_id,year_month,opening_balance,total_inflows,total_outflows,closing_balance
A0000104,2021-01,1306.85,45.64,37.29,1315.2
A0000104,2021-02,1315.2,0.0,0.0,1315.2
A0000104,2021-03,1315.2,0.0,205.7,1109.5
A0000104,2021-04,1109.5,270.6,0.0,1380.1
A0000104,2021-05,1380.1,0.0,0.0,1380.1
A0000104,2021-06,1380.1,20.54,0.0,1400.64
A0000104,2021-07,1400.64,0.0,10.11,1390.53
A0000104,2021-08,1390.53,0.0,0.0,1390.53
A0000104,2021-09,1390.53,0.0,0.0,1390.53
A0000104,2021-10,1390.53,0.0,219.2,1171.33
A0000104,2021-11,1171.33,0.0,30.65,1140.68
A0000104,2021-12,1140.68,0.0,0.0,1140.68
A0000104,2022-01,1140.68,0.0,891.12,249.56
A0000104,2022-02,249.56,195.17,339.56,105.17
A0000104,2022-03,105.17,0.0,0.0,105.17
A0000104,2022-04,105.17,0.0,0.0,105.17
A0000104,2022-05,105.17,155.19,0.0,260.36
A0000104,2022-06,260.36,0.0,0.0,260.36
A0000104,2022-07,260.36,0.0,100.35,160.01
A0000104,2022-08,160.01,44.95,3.68,201.28
A0000104,2022-09,201.28,0.0,98.47,102.81
A0000104,2022-10,102.81,389.93,0.0,492.74
A0000104,2022-11,492.74,0.0,0.0,492.74
A0000104,2022-12,492.74,0.0,397.97,94.77
A0000104,2023-01,94.77,1583.98,114.04,1564.71
A0000104,2023-02,1564.71,284.1,0.0,1848.81
A0000104,2023-03,1848.81,299.48,95.87,2052.42
A0000104,2023-04,2052.42,0.0,1605.46,446.96
A0000104,2023-05,446.96,0.0,127.86,319.1
A0000104,2023-06,319.1,0.0,0.0,319.1
A0000104,2023-07,319.1,0.0,154.58,164.52
A0000104,2023-08,164.52,277.49,0.0,442.01
A0000104,2023-09,442.01,0.0,0.0,442.01
A0000104,2023-10,442.01,0.0,0.0,442.01
A0000104,2023-11,442.01,486.82,321.02,607.81
A0000104,2023-12,607.81,0.0,0.0,607.81
A0000104,2024-01,607.81,1225.68,206.21,1627.28
A0000104,2024-02,1627.28,0.0,174.81,1452.47
A0000104,2024-03,1452.47,0.0,0.0,1452.47
A0000104,2024-04,1452.47,0.0,0.0,1452.47
A0000104,2024-05,1452.47,0.0,50.27,1402.2
A0000104,2024-06,1402.2,0.0,0.0,1402.2
A0000104,2024-07,1402.2,0.0,0.0,1402.2
A0000104,2024-08,1402.2,0.0,463.9,938.3
A0000104,2024-09,938.3,331.4,0.0,1269.7
A0000104,2024-10,1269.7,61.89,0.0,1331.59
A0000104,2024-11,1331.59,1870.41,7.77,3194.23
A0000104,2024-12,3194.23,218.68,106.61,3306.3
A0000104,2025-01,3306.3,368.14,0.0,3674.44
A0000104,2025-02,3674.44,0.0,0.0,3674.44
A0000104,2025-03,3674.44,1032.53,105.52,4601.45
A0000104,2025-04,4601.45,412.77,24.57,4989.65
A0000104,2025-05,4989.65,0.0,68.05,4921.6
A0000104,2025-06,4921.6,448.89,674.66,4695.83
A0000104,2025-07,4695.83,0.0,0.0,4695.83
A0000104,2025-08,4695.83,0.0,312.69,4383.14
A0000104,2025-09,4383.14,0.0,776.92,3606.22
A0000104,2025-10,3606.22,238.16,4.74,3839.64
A0000104,2025-11,3839.64,467.83,0.0,4307.47
A0000104,2025-12,4307.47,815.89,0.0,5123.36
A0000104,2026-01,5123.36,0.0,71.14,5052.22
A0000104,2026-02,5052.22,623.51,18.58,5657.15
A0000104,2026-03,5657.15,0.0,0.0,5657.15
A0000104,2026-04,5657.15,213.01,430.55,5439.61
A0000104,2026-05,5439.61,434.06,40.01,5833.66
A0000104,2026-06,5833.66,0.0,0.0,5833.66
A0000104,2026-07,5833.66,0.0,517.82,5315.84
A0000104,2026-08,5315.84,72.5,0.0,5388.34
A0000104,2026-09,5388.34,498.24,0.0,5886.58
A0000104,2026-10,5886.58,287.08,0.0,6173.66
A0000104,2026-11,6173.66,958.39,319.25,6812.8
A0000104,2026-12,6812.8,0.0,0.0,6812.8
A0000126,2021-01,5506.21,256.03,0.0,5762.24
A0000126,2021-02,5762.24,629.7,808.06,5583.88
A0000126,2021-03,5583.88,378.57,103.92,5858.53
A0000126,2021-04,5858.53,256.2,0.0,6114.73
A0000126,2021-05,6114.73,462.45,0.0,6577.18
A0000126,2021-06,6577.18,0.0,0.0,6577.18
A0000126,2021-07,6577.18,0.0,0.0,6577.18
A0000126,2021-08,6577.18,469.14,319.85,6726.47
A0000126,2021-09,6726.47,437.54,102.74,7061.27
A0000126,2021-10,7061.27,0.0,0.0,7061.27
A0000126,2021-11,7061.27,438.13,0.0,7499.4
A0000126,2021-12,7499.4,0.0,642.51,6856.89
A0000126,2022-01,6856.89,18.27,452.68,6422.48
A0000126,2022-02,6422.48,288.54,0.0,6711.02
A0000126,2022-03,6711.02,178.96,14.47,6875.51
A0000126,2022-04,6875.51,0.0,0.0,6875.51
A0000126,2022-05,6875.51,0.0,38.96,6836.55
A0000126,2022-06,6836.55,0.0,59.39,6777.16
A0000126,2022-07,6777.16,0.0,78.75,6698.41
A0000126,2022-08,6698.41,265.0,180.78,6782.63
A0000126,2022-09,6782.63,66.42,0.0,6849.05
A0000126,2022-10,6849.05,0.0,756.05,6093.0
