account_id,customer_id,product_id,branch_id,opening_year,account_status,closing_year,opening_channel
A0000001,C0000004,P005,026,2020,CLOSED,2020,DIGITAL
A0000002,C0000004,P004,026,2020,CLOSED,2020,BRANCH
A0000003,C0000015,P004,001,1997,CLOSED,2000,BRANCH
A0000004,C0000020,P005,007,2013,CLOSED,2018,BRANCH
A0000005,C0000020,P005,014,2015,ACTIVE,,BRANCH
A0000006,C0000020,P001,007,2006,ACTIVE,,BRANCH
A0000007,C0000024,P005,025,2015,CLOSED,2017,BRANCH
A0000008,C0000025,P008,017,2016,CLOSED,2018,BRANCH
A0000009,C0000025,P002,026,2018,CLOSED,2019,REMOTE_ASSISTED
A0000010,C0000027,P003,017,2006,CLOSED,2010,BRANCH
A0000011,C0000027,P001,018,2007,CLOSED,2011,BRANCH
A0000012,C0000027,P003,018,2011,CLOSED,2012,BRANCH
A0000013,C0000027,P005,018,2009,CLOSED,2010,BRANCH
A0000014,C0000027,P007,018,2008,CLOSED,2009,BRANCH
A0000015,C0000027,P002,018,2009,CLOSED,2011,BRANCH
A0000016,C0000032,P001,019,2010,CLOSED,2014,BRANCH
A0000017,C0000032,P003,019,2011,CLOSED,2013,BRANCH
A0000018,C0000032,P007,019,2011,CLOSED,2015,BRANCH
A0000019,C0000034,P004,007,1991,CLOSED,1994,BRANCH
A0000020,C0000036,P001,027,2019,ACTIVE,,BRANCH
A0000021,C0000039,P001,007,1995,ACTIVE,,BRANCH
A0000022,C0000039,P003,007,2015,ACTIVE,,BRANCH
A0000023,C0000039,P004,007,2012,ACTIVE,,BRANCH
A0000024,C0000040,P001,025,2013,CLOSED,2020,BRANCH
A0000025,C0000046,P001,005,1993,CLOSED,2000,BRANCH
A0000026,C0000050,P001,002,2011,CLOSED,2018,BRANCH
A0000027,C0000051,P001,009,1999,CLOSED,2010,BRANCH
A0000028,C0000051,P005,017,2010,ACTIVE,,BRANCH
A0000029,C0000052,P001,017,2010,ACTIVE,,BRANCH
A0000030,C0000053,P004,009,2020,ACTIVE,,BRANCH
A0000031,C0000055,P001,008,1997,ACTIVE,,BRANCH
A0000032,C0000055,P007,008,2011,CLOSED,2015,BRANCH
A0000033,C0000056,P002,006,2007,ACTIVE,,BRANCH
A0000034,C0000056,P001,006,2005,CLOSED,2023,BRANCH
A0000035,C0000056,P008,006,2011,CLOSED,2024,BRANCH
A0000036,C0000056,P005,025,2014,ACTIVE,,BRANCH
A0000037,C0000056,P007,023,2017,CLOSED,2019,BRANCH
A0000038,C0000056,P005,006,2010,ACTIVE,,BRANCH
A0000039,C0000056,P005,006,2005,ACTIVE,,BRANCH
A0000040,C0000056,P003,006,2016,ACTIVE,,BRANCH
A0000041,C0000056,P005,006,2010,ACTIVE,,BRANCH
A0000042,C0000057,P001,019,2014,CLOSED,2023,BRANCH
A0000043,C0000061,P005,023,2011,CLOSED,2022,BRANCH
A0000044,C0000061,P002,023,2013,CLOSED,2022,BRANCH
A0000045,C0000062,P005,031,2018,ACTIVE,,REMOTE_ASSISTED
A0000046,C0000062,P001,031,2019,ACTIVE,,BRANCH
A0000047,C0000062,P004,031,2017,ACTIVE,,REMOTE_ASSISTED
A0000048,C0000070,P003,020,2020,ACTIVE,,REMOTE_ASSISTED
A0000049,C0000077,P001,013,2017,ACTIVE,,BRANCH
A0000050,C0000077,P005,013,2019,ACTIVE,,REMOTE_ASSISTED
A0000051,C0000080,P005,018,2011,ACTIVE,,BRANCH
A0000052,C0000082,P002,015,2015,CLOSED,2022,BRANCH
A0000053,C0000092,P001,019,2018,ACTIVE,,BRANCH
A0000054,C0000092,P007,019,2011,ACTIVE,,BRANCH
A0000055,C0000092,P002,017,2013,ACTIVE,,BRANCH
A0000056,C0000098,P007,016,2020,CLOSED,2020,BRANCH
A0000057,C0000099,P003,009,1996,CLOSED,2007,BRANCH
A0000058,C0000099,P001,009,2000,CLOSED,2004,BRANCH
A0000059,C0000099,P002,008,2001,CLOSED,2003,BRANCH
A0000060,C0000099,P004,009,2002,CLOSED,2006,BRANCH
A0000061,C0000099,P001,009,2005,CLOSED,2007,BRANCH
A0000062,C0000107,P002,005,2019,CLOSED,2020,BRANCH
A0000063,C0000115,P002,003,1987,CLOSED,1993,BRANCH
A0000064,C0000115,P004,003,1994,CLOSED,2014,BRANCH
A0000065,C0000115,P007,003,2005,ACTIVE,,BRANCH
A0000066,C0000115,P001,003,1993,CLOSED,2009,BRANCH
A0000067,C0000120,P007,013,2009,CLOSED,2022,BRANCH
A0000068,C0000123,P008,020,2011,CLOSED,2016,BRANCH
A0000069,C0000125,P002,017,2011,CLOSED,2012,BRANCH
A0000070,C0000125,P001,017,2011,CLOSED,2014,BRANCH
A0000071,C0000131,P004,037,2019,ACTIVE,,REMOTE_ASSISTED
A0000072,C0000133,P004,019,2008,CLOSED,2022,BRANCH
A0000073,C0000134,P005,025,2020,CLOSED,2025,BRANCH
A0000074,C0000134,P005,026,2020,CLOSED,2025,DIGITAL
A0000075,C0000134,P003,017,2020,CLOSED,2025,BRANCH
A0000076,C0000135,P005,027,2017,ACTIVE,,BRANCH
A0000077,C0000137,P002,004,1989,ACTIVE,,BRANCH
A0000078,C0000137,P001,022,2010,ACTIVE,,BRANCH
A0000079,C0000139,P005,016,2016,CLOSED,2024,BRANCH
A0000080,C0000139,P005,016,2015,CLOSED,2024,BRANCH
A0000081,C0000139,P004,009,2019,CLOSED,2024,BRANCH
A0000082,C0000146,P003,002,1991,CLOSED,2000,BRANCH
A0000083,C0000155,P003,016,2003,CLOSED,2007,BRANCH
A0000084,C0000156,P008,001,1995,CLOSED,1999,BRANCH
A0000085,C0000156,P003,001,1996,CLOSED,1998,BRANCH
A0000086,C0000160,P001,023,2017,ACTIVE,,BRANCH
A0000087,C0000160,P004,028,2016,ACTIVE,,BRANCH
A0000088,C0000160,P002,020,2015,ACTIVE,,REMOTE_ASSISTED
A0000089,C0000161,P003,027,2017,CLOSED,2024,BRANCH
A0000090,C0000163,P001,020,2012,ACTIVE,,BRANCH
A0000091,C0000163,P007,002,2018,CLOSED,2020,REMOTE_ASSISTED
A0000092,C0000163,P005,020,2018,ACTIVE,,REMOTE_ASSISTED
A0000093,C0000170,P006,018,2018,CLOSED,2019,BRANCH
A0000094,C0000170,P001,034,2020,CLOSED,2021,BRANCH
A0000095,C0000170,P007,018,2018,CLOSED,2021,BRANCH
A0000096,C0000174,P004,025,2017,CLOSED,2021,BRANCH
A0000097,C0000176,P005,035,2019,CLOSED,2023,BRANCH
A0000098,C0000179,P001,008,2001,ACTIVE,,BRANCH
A0000099,C0000179,P001,008,2010,ACTIVE,,BRANCH
A0000100,C0000188,P006,026,2018,ACTIVE,,BRANCH
A0000101,C0000192,P004,032,2020,ACTIVE,,BRANCH
A0000102,C0000196,P007,004,2019,CLOSED,2020,REMOTE_ASSISTED
A0000103,C0000200,P002,004,2006,CLOSED,2007,BRANCH
A0000104,C0000201,P001,026,2017,ACTIVE,,BRANCH
A0000105,C0000207,P001,007,2006,CLOSED,2022,BRANCH
A0000106,C0000207,P001,007,2007,ACTIVE,,BRANCH
A0000107,C0000213,P005,026,2016,CLOSED,2017,BRANCH
A0000108,C0000219,P002,023,2019,CLOSED,2022,REMOTE_ASSISTED
A0000109,C0000219,P002,020,2020,CLOSED,2022,REMOTE_ASSISTED
A0000110,C0000220,P004,022,2017,ACTIVE,,BRANCH
A0000111,C0000220,P001,022,2018,CLOSED,2019,BRANCH
A0000112,C0000220,P003,022,2017,ACTIVE,,BRANCH
A0000113,C0000220,P001,022,2016,ACTIVE,,BRANCH
A0000114,C0000220,P004,022,2016,CLOSED,2021,BRANCH
A0000115,C0000220,P002,022,2018,ACTIVE,,BRANCH
A0000116,C0000223,P005,007,2015,ACTIVE,,BRANCH
A0000117,C0000224,P006,022,2016,ACTIVE,,BRANCH
A0000118,C0000224,P007,022,2019,CLOSED,2022,DIGITAL
A0000119,C0000226,P001,020,2011,CLOSED,2019,BRANCH
A0000120,C0000226,P002,020,2016,ACTIVE,,BRANCH
A0000121,C0000226,P003,020,2016,ACTIVE,,BRANCH
A0000122,C0000227,P005,010,2013,ACTIVE,,BRANCH
A0000123,C0000227,P007,002,2011,CLOSED,2015,BRANCH
A0000124,C0000229,P001,006,1989,ACTIVE,,BRANCH
A0000125,C0000229,P008,006,2002,CLOSED,2022,BRANCH
A0000126,C0000231,P003,020,2018,ACTIVE,,BRANCH
A0000127,C0000236,P005,013,2010,CLOSED,2011,BRANCH
A0000128,C0000236,P003,013,2017,ACTIVE,,BRANCH
A0000129,C0000240,P005,013,2006,CLOSED,2007,BRANCH
A0000130,C0000242,P004,003,1993,CLOSED,1995,BRANCH
A0000131,C0000243,P001,027,2017,CLOSED,2025,BRANCH
A0000132,C0000243,P003,026,2018,CLOSED,2025,REMOTE_ASSISTED
A0000133,C0000245,P006,022,2019,ACTIVE,,BRANCH
A0000134,C0000245,P003,036,2020,ACTIVE,,BRANCH
A0000135,C0000246,P004,034,2020,ACTIVE,,BRANCH
A0000136,C0000246,P001,031,2020,ACTIVE,,REMOTE_ASSISTED
A0000137,C0000247,P005,013,2015,CLOSED,2019,REMOTE_ASSISTED
A0000138,C0000247,P001,016,2015,CLOSED,2019,BRANCH
A0000139,C0000248,P005,025,2017,ACTIVE,,BRANCH
A0000140,C0000251,P005,001,2018,CLOSED,2019,BRANCH
A0000141,C0000257,P001,019,2013,CLOSED,2022,BRANCH
A0000142,C0000259,P001,002,1988,CLOSED,2010,BRANCH
A0000143,C0000260,P006,005,2017,ACTIVE,,BRANCH
A0000144,C0000260,P001,013,2018,ACTIVE,,REMOTE_ASSISTED
A0000145,C0000269,P003,009,2017,ACTIVE,,BRANCH
A0000146,C0000271,P005,013,2019,CLOSED,2020,BRANCH
A0000147,C0000272,P004,017,2009,CLOSED,2015,BRANCH
A0000148,C0000272,P005,019,2017,CLOSED,2024,BRANCH
A0000149,C0000274,P004,005,2013,ACTIVE,,BRANCH
A0000150,C0000276,P007,028,2016,CLOSED,2017,REMOTE_ASSISTED
A0000151,C0000276,P005,019,2019,CLOSED,2019,REMOTE_ASSISTED
A0000152,C0000276,P001,019,2016,CLOSED,2018,BRANCH
A0000153,C0000277,P003,002,2006,CLOSED,2026,BRANCH
A0000154,C0000277,P001,013,2009,CLOSED,2026,REMOTE_ASSISTED
A0000155,C0000283,P001,027,2019,ACTIVE,,REMOTE_ASSISTED
A0000156,C0000285,P003,021,2011,CLOSED,2023,BRANCH
A0000157,C0000287,P001,009,2002,CLOSED,2017,BRANCH
A0000158,C0000291,P001,007,1993,CLOSED,2016,BRANCH
A0000159,C0000291,P004,007,2011,CLOSED,2016,BRANCH
A0000160,C0000291,P003,007,2011,CLOSED,2016,BRANCH
A0000161,C0000291,P008,007,2003,CLOSED,2012,BRANCH
A0000162,C0000291,P008,007,1999,CLOSED,2008,BRANCH
A0000163,C0000291,P001,009,2007,CLOSED,2019,BRANCH
