bank_id,bank_name,year,revenue,operating_costs,net_income,total_assets,total_deposits,total_loans,equity,reporting_currency
B000,BTYT,2021,158112401.54,87496084.36,54737543.24,2081767528.53,1369894620.34,874342361.98,246753723.04,USD
B000,BTYT,2022,167665743.94,99142581.98,49795844.02,2116267350.83,1315342297.98,913801261.84,280944888.27,USD
B000,BTYT,2023,156612843.15,96048955.56,44002216.93,2129263370.53,1362024467.11,903600600.98,252862001.06,USD
B000,BTYT,2024,165026491.43,99241397.89,35951448.39,2278143298.26,1444429519.98,1044002640.65,318940061.76,USD
B000,BTYT,2025,180004307.14,106272972.2,50101556.37,2476117025.41,1651996940.17,1110922962.88,327964473.47,USD
B000,BTYT,2026,180656607.23,110008604.04,54634669.81,2494263305.37,1636070543.1,1086254686.67,302176342.57,USD
B001,BROU,2021,655833221.48,474877107.64,115495434.87,11701130552.12,8949164267.92,5721546238.59,936090444.17,USD
B001,BROU,2022,617918312.39,441461057.7,60959622.85,11769312936.23,8818436638.71,5784394540.82,975764997.16,USD
B001,BROU,2023,691562372.98,497079064.56,73255493.51,13074996030.43,9706326409.9,6039807802.47,1045999682.43,USD
B001,BROU,2024,796000485.58,574891881.92,-44494600.17,13986126259.61,10848505978.66,6928040074.73,1246801199.19,USD
B001,BROU,2025,702570090.5,545379650.85,27318024.48,14770532326.61,10863256576.11,7171326096.9,1227743690.87,USD
B001,BROU,2026,768498765.48,562478270.99,152216920.42,15137647848.98,11471363560.79,6786260861.92,1352282828.76,USD
B002,BHU,2021,76374760.29,39714875.35,27473715.51,1871536539.7,935768269.85,1092711741.09,225411433.87,USD
B002,BHU,2022,87834011.11,45673685.78,22814863.02,2095490221.56,990707797.18,1215384328.51,241999705.43,USD
B002,BHU,2023,95795235.33,50011716.74,31651727.09,2407868559.32,1167705650.4,1396563764.4,245167454.39,USD
B002,BHU,2024,110803065.36,57617593.99,45747884.05,2657565652.12,1259052498.34,1562214164.71,307658190.23,USD
B002,BHU,2025,116274961.63,60909097.48,32508229.7,2918744037.16,1444640401.89,1870075067.45,343374545.6,USD
B002,BHU,2026,99457856.18,52317636.73,18306335.13,3165842979.47,1541484327.71,1884522508.22,387416694.92,USD
B003,Bandes,2021,34653654.6,26527948.15,6077276.41,831251886.9,601797975.7,565251283.09,74812669.82,USD
B003,Bandes,2022,35308847.47,25310771.37,4679969.65,882721186.67,617592700.82,575246006.46,81725497.26,USD
B003,Bandes,2023,38660701.1,27380300.88,2085899.9,966517527.52,710330719.35,657231918.72,87464587.12,USD
B003,Bandes,2024,45389838.43,33313055.49,7225235.83,1034311837.57,737423668.57,686732120.83,100738236.7,USD
B003,Bandes,2025,48663061.18,35219311.48,4520507.35,1058780461.82,759935099.06,695787031.61,95290241.56,USD
B003,Bandes,2026,39015589.95,27582924.25,2133816.03,975389748.76,689706636.01,614486846.05,92488009.23,USD
B004,BBVA Uruguay,2021,522425069.83,333843222.06,88795594.9,9468346906.47,6870647790.32,5681324843.92,850757828.14,USD
B004,BBVA Uruguay,2022,512909947.21,325825578.47,87144156.98,9233515720.01,6367931076.99,4809657180.72,928780472.31,USD
B004,BBVA Uruguay,2023,597570895.84,391285431.68,83167289.42,9358081499.83,6607906970.58,5054649872.87,1141812462.45,USD
B004,BBVA Uruguay,2024,492958490.03,336542849.33,40985515.48,9740084735.29,6874443412.61,5488640637.42,1068561131.05,USD
B004,BBVA Uruguay,2025,552767740.02,358521303.23,111491638.7,10080765839.46,7071793363.08,5394645134.4,963426459.31,USD
B004,BBVA Uruguay,2026,550229169.28,360970467.88,124535037.41,9617118718.44,6787085365.27,4998145220.15,986411863.69,USD
B005,Banco Nación,2021,177641012.82,133123272.45,19219955.07,2537728754.53,1640614725.29,1416537080.25,297239086.5,USD
B005,Banco Nación,2022,175209727.29,132699500.03,12021223.86,2502996104.08,1487039204.05,1424311385.39,332053617.76,USD
B005,Banco Nación,2023,173873177.6,127594677.24,30452092.5,2501447361.9,1450053730.0,1470908116.35,337899848.85,USD
