bank_id,bank_name,bank_scope,bank_type,operating_country,bank_profile,usd_affinity,business_affinity,large_transfer_affinity,bank_status
B000,BTYT,BTYT,INTERNAL,Uruguay,INTERNAL_GENERALIST,0.45,0.45,0.4,ACTIVE
B001,BROU,DOMESTIC,PUBLIC_BANK,Uruguay,GENERALIST_PUBLIC_RETAIL,0.42,0.48,0.42,ACTIVE
B002,BHU,DOMESTIC,MORTGAGE_BANK,Uruguay,MORTGAGE_SPECIALIST,0.24,0.18,0.22,ACTIVE
B003,Bandes,DOMESTIC,COMMERCIAL_BANK,Uruguay,RETAIL_NICHE,0.3,0.3,0.26,ACTIVE
B004,BBVA Uruguay,DOMESTIC,COMMERCIAL_BANK,Uruguay,GENERALIST_RETAIL_BUSINESS,0.52,0.58,0.5,ACTIVE
B005,Banco Nación,DOMESTIC,COMMERCIAL_BANK,Uruguay,REGIONAL_CROSS_BORDER,0.56,0.58,0.53,ACTIVE
B006,Itaú Uruguay,DOMESTIC,COMMERCIAL_BANK,Uruguay,GENERALIST_PREMIUM_BUSINESS,0.64,0.64,0.59,ACTIVE
B007,Santander Uruguay,DOMESTIC,COMMERCIAL_BANK,Uruguay,GENERALIST_RETAIL_BUSINESS,0.56,0.61,0.54,ACTIVE
B008,Banque Heritage Uruguay,DOMESTIC,PRIVATE_BANK,Uruguay,PRIVATE_WEALTH,0.76,0.43,0.76,ACTIVE
B009,Citibank Uruguay,DOMESTIC,CORPORATE_BANK,Uruguay,CORPORATE_USD,0.88,0.88,0.86,ACTIVE
B010,BTG Pactual Uruguay,DOMESTIC,CORPORATE_BANK,Uruguay,CORPORATE_WEALTH_USD,0.82,0.77,0.82,ACTIVE
B011,Scotiabank Uruguay,DOMESTIC,COMMERCIAL_BANK,Uruguay,GENERALIST_RETAIL_BUSINESS,0.57,0.59,0.53,ACTIVE
B101,JPMorgan Chase,FOREIGN,INTERNATIONAL_BANK,United States,CORPORATE_TREASURY_USD,0.95,0.94,0.95,ACTIVE
B102,Citibank International,FOREIGN,INTERNATIONAL_BANK,United States,CORPORATE_TREASURY_USD,0.94,0.93,0.94,ACTIVE
B103,Bank of America,FOREIGN,INTERNATIONAL_BANK,United States,CORPORATE_USD,0.89,0.84,0.86,ACTIVE
B104,Deutsche Bank,FOREIGN,INTERNATIONAL_BANK,Germany,CORPORATE_INTERNATIONAL,0.77,0.84,0.87,ACTIVE
B105,BNP Paribas,FOREIGN,INTERNATIONAL_BANK,France,CORPORATE_INTERNATIONAL,0.75,0.82,0.84,ACTIVE
B106,UBS,FOREIGN,INTERNATIONAL_BANK,Switzerland,PRIVATE_WEALTH_INTERNATIONAL,0.87,0.54,0.91,ACTIVE
B107,HSBC International,FOREIGN,INTERNATIONAL_BANK,United Kingdom,CROSS_BORDER_CORPORATE,0.86,0.82,0.82,ACTIVE
