branch_id,year_month,active_customers,active_accounts,average_deposits,average_loan_balance,transaction_count,transaction_volume,branch_transaction_count,interest_income,interest_expense,net_interest_income,fee_income,total_revenue,personnel_cost,fixed_cost,variable_cost,operational_cost,total_operating_cost,credit_loss,pre_provision_profit,net_income
001,2021-01,176,333,361835377.04,439268376.96,3004,144283757.06,638,4176313.43,133965.0,4042348.43,192054.57,4234403.01,2438879.65,681399.51,586439.17,704825.79,4411544.12,1134487.7,-177141.11,-1311628.81
002,2021-01,153,284,152493073.79,259380816.53,2276,92399783.91,270,2992054.12,177668.27,2814385.85,121614.71,2936000.56,475035.71,196820.61,86747.84,111303.27,869907.43,416581.73,2066093.13,1649511.4
003,2021-01,135,272,131849587.62,288175046.22,2465,92409076.49,413,3205210.04,69610.55,3135599.49,134849.74,3270449.24,1278543.87,378473.41,238649.41,290839.71,2186506.4,533263.87,1083942.83,550678.96
004,2021-01,138,280,204712753.65,252773170.14,2424,117180136.01,244,2665271.22,233379.99,2431891.23,116516.05,2548407.27,490840.01,206880.21,92782.37,116300.89,906803.48,565578.46,1641603.79,1076025.33
005,2021-01,142,295,161907204.08,414519170.22,2309,98980217.52,656,4271506.51,151193.2,4120313.31,149287.88,4269601.19,2305835.8,653485.7,469452.95,503553.24,3932327.7,800869.55,337273.5,-463596.05
006,2021-01,145,261,180202879.1,231694851.99,2174,92708821.15,204,2686819.68,179601.57,2507218.1,96373.37,2603591.47,518390.98,170389.03,82337.89,110613.94,881731.84,259457.23,1721859.63,1462402.4
007,2021-01,131,252,173142242.6,291220118.47,2311,77054830.71,237,3224226.5,267490.36,2956736.14,84746.35,3041482.49,462529.19,185405.9,80242.03,109534.14,837711.25,546790.84,2203771.24,1656980.4
008,2021-01,145,256,221818894.61,320833205.98,2150,200691945.42,390,3251299.38,185099.72,3066199.66,145807.66,3212007.33,1369806.18,405837.83,248827.86,387937.89,2412409.75,839676.03,799597.57,-40078.46
009,2021-01,135,264,544128457.14,303293535.9,2177,99637906.75,234,3096514.97,1508101.05,1588413.92,96479.4,1684893.32,495379.94,191200.23,82450.4,124877.26,893907.82,454974.41,790985.5,336011.09
010,2021-01,123,235,273408026.24,313874063.95,2229,61758049.85,264,3580537.96,968204.07,2612333.9,100607.41,2712941.3,457875.24,198989.99,78112.31,106534.47,841512.0,431938.56,1871429.3,1439490.75
011,2021-01,119,232,178584008.97,218503077.84,1951,78697479.66,220,2515658.54,227528.34,2288130.2,94794.1,2382924.3,487707.52,221146.83,87017.45,171815.01,967686.8,246961.75,1415237.5,1168275.75
012,2021-01,103,212,491151235.22,268099261.75,1689,237166548.64,420,2792526.58,88014.38,2704512.2,107452.95,2811965.15,1167706.44,404576.46,184913.8,247241.27,2004437.97,478720.65,807527.19,328806.54
013,2021-01,134,262,203810017.23,391704677.66,2606,187761444.97,649,4253504.34,130032.76,4123471.59,139981.34,4263452.93,2329394.11,802789.84,515031.35,488899.24,4136114.54,438649.81,127338.39,-311311.42
014,2021-01,129,233,89494423.94,283768171.5,1965,59524321.2,276,3000340.0,44421.5,2955918.5,84086.74,3040005.23,486877.66,178517.28,78914.57,122375.79,866685.3,409103.22,2173319.94,1764216.71
015,2021-01,139,265,302979319.65,351442927.77,2522,270697461.56,465,3820953.03,446917.29,3374035.74,136625.01,3510660.76,981441.08,517699.5,229981.79,287428.58,2016550.95,461162.72,1494109.81,1032947.09
