branch_id,branch_name,branch_type,branch_size,status,opening_year,opening_reason,closing_year,closure_reason,parent_branch_id,department,locality,region,latitude,longitude
001,Treinta y Tres,BRANCH,LARGE,OPEN,1969,FOUNDING,,,,Treinta y Tres,Treinta y Tres,EAST,,
002,Vergara,AGENCY,SMALL,OPEN,1974,LOCAL_EXPANSION,,,001,Treinta y Tres,Vergara,EAST,,
003,José Pedro Varela,BRANCH,MEDIUM,OPEN,1974,REGIONAL_EXPANSION,,,,Lavalleja,José Pedro Varela,EAST,,
004,La Charqueada,AGENCY,SMALL,OPEN,1978,LOCAL_EXPANSION,,,001,Treinta y Tres,La Charqueada,EAST,,
005,Melo,BRANCH,LARGE,OPEN,1982,REGIONAL_EXPANSION,,,,Cerro Largo,Melo,EAST,,
006,Cerro Chato,AGENCY,SMALL,OPEN,1983,LOCAL_EXPANSION,,,001,Treinta y Tres,Cerro Chato,EAST,,
007,Santa Clara de Olimar,AGENCY,SMALL,OPEN,1983,LOCAL_EXPANSION,,,001,Treinta y Tres,Santa Clara de Olimar,EAST,,
008,Rocha,BRANCH,MEDIUM,OPEN,1987,REGIONAL_EXPANSION,,,,Rocha,Rocha,EAST,,
009,Chuy,AGENCY,SMALL,OPEN,1988,BORDER_EXPANSION,,,008,Rocha,Chuy,EAST,,
010,Río Branco,AGENCY,SMALL,OPEN,1990,BORDER_EXPANSION,,,005,Cerro Largo,Río Branco,EAST,,
011,Aceguá,AGENCY,SMALL,OPEN,1990,BORDER_EXPANSION,,,005,Cerro Largo,Aceguá,EAST,,
012,Minas,BRANCH,MEDIUM,OPEN,1994,REGIONAL_EXPANSION,,,,Lavalleja,Minas,EAST,,
013,Maldonado,BRANCH,LARGE,OPEN,1997,REGIONAL_EXPANSION,,,,Maldonado,Maldonado,EAST,,
014,Piriápolis,AGENCY,SMALL,OPEN,1998,REGIONAL_EXPANSION,,,013,Maldonado,Piriápolis,EAST,,
015,Punta del Este,AGENCY,MEDIUM,OPEN,1999,REGIONAL_EXPANSION,,,013,Maldonado,Punta del Este,EAST,,
016,La Paloma,AGENCY,SMALL,OPEN,1999,REGIONAL_EXPANSION,,,008,Rocha,La Paloma,EAST,,
017,Montevideo Centro,BRANCH,LARGE,OPEN,2005,METROPOLITAN_EXPANSION,,,,Montevideo,Montevideo,METROPOLITAN,,
018,Pando,AGENCY,SMALL,OPEN,2006,METROPOLITAN_EXPANSION,,,017,Canelones,Pando,METROPOLITAN,,
019,WTC,AGENCY,MEDIUM,OPEN,2006,METROPOLITAN_EXPANSION,,,017,Montevideo,Montevideo,METROPOLITAN,,
020,Canelones,BRANCH,MEDIUM,OPEN,2008,METROPOLITAN_EXPANSION,,,,Canelones,Canelones,METROPOLITAN,,
021,Durazno,BRANCH,MEDIUM,OPEN,2009,NATIONAL_EXPANSION,,,,Durazno,Durazno,CENTRAL,,
022,Rivera,BRANCH,MEDIUM,OPEN,2010,NATIONAL_EXPANSION,,,,Rivera,Rivera,NORTH,,
023,Las Piedras,AGENCY,MEDIUM,OPEN,2010,METROPOLITAN_EXPANSION,,,020,Canelones,Las Piedras,METROPOLITAN,,
024,Tacuarembó,BRANCH,MEDIUM,OPEN,2010,NATIONAL_EXPANSION,,,,Tacuarembó,Tacuarembó,CENTRAL,,
025,Prado,AGENCY,SMALL,OPEN,2011,METROPOLITAN_EXPANSION,,,017,Montevideo,Montevideo,METROPOLITAN,,
026,Carrasco,AGENCY,SMALL,OPEN,2013,METROPOLITAN_EXPANSION,,,017,Montevideo,Montevideo,METROPOLITAN,,
027,Colonia del Sacramento,BRANCH,MEDIUM,OPEN,2014,NATIONAL_EXPANSION,,,,Colonia,Colonia del Sacramento,LITTORAL,,
028,Ciudad de la Costa,AGENCY,SMALL,OPEN,2015,METROPOLITAN_EXPANSION,,,017,Canelones,Ciudad de la Costa,METROPOLITAN,,
029,Florida,BRANCH,MEDIUM,OPEN,2015,NATIONAL_EXPANSION,,,,Florida,Florida,CENTRAL,,
030,San José de Mayo,BRANCH,MEDIUM,OPEN,2016,NATIONAL_EXPANSION,,,,San José,San José de Mayo,METROPOLITAN,,
031,Mercedes,BRANCH,MEDIUM,OPEN,2016,NATIONAL_EXPANSION,,,,Soriano,Mercedes,LITTORAL,,
032,Salto,BRANCH,MEDIUM,OPEN,2017,NATIONAL_EXPANSION,,,,Salto,Salto,NORTH,,
033,Trinidad,AGENCY,MEDIUM,OPEN,2017,NATIONAL_EXPANSION,,,021,Flores,Trinidad,CENTRAL,,
034,Paysandú,BRANCH,MEDIUM,OPEN,2018,NATIONAL_EXPANSION,,,,Paysandú,Paysandú,LITTORAL,,
035,Fray Bentos,BRANCH,MEDIUM,OPEN,2019,NATIONAL_EXPANSION,,,,Río Negro,Fray Bentos,LITTORAL,,
036,Artigas,BRANCH,SMALL,OPEN,2019,NATIONAL_EXPANSION,,,,Artigas,Artigas,NORTH,,
037,Colón,AGENCY,SMALL,OPEN,2019,METROPOLITAN_EXPANSION,,,017,Montevideo,Montevideo,METROPOLITAN,,
