account_id,customer_id,product_id,branch_id,opening_year,account_status,closing_year,opening_channel
A0000001,C0000001,P007,034,2026,ACTIVE,,DIGITAL
A0000002,C0000002,P005,020,2024,ACTIVE,,DIGITAL
A0000003,C0000002,P005,020,2025,ACTIVE,,REMOTE_ASSISTED
A0000004,C0000003,P001,020,2026,ACTIVE,,BRANCH
A0000005,C0000004,P001,023,2020,CLOSED,2021,REMOTE_ASSISTED
A0000006,C0000004,P007,023,2020,CLOSED,2021,BRANCH
A0000007,C0000005,P008,008,1996,CLOSED,1997,BRANCH
A0000008,C0000005,P004,008,1997,CLOSED,1997,BRANCH
A0000009,C0000006,P006,025,2015,ACTIVE,,BRANCH
A0000010,C0000006,P005,025,2017,ACTIVE,,BRANCH
A0000011,C0000006,P002,025,2021,ACTIVE,,DIGITAL
A0000012,C0000007,P002,017,2024,ACTIVE,,BRANCH
A0000013,C0000008,P001,037,2021,ACTIVE,,BRANCH
A0000014,C0000008,P003,037,2026,ACTIVE,,BRANCH
A0000015,C0000009,P001,018,2011,CLOSED,2013,BRANCH
A0000016,C0000010,P001,020,2015,CLOSED,2024,BRANCH
A0000017,C0000010,P002,020,2016,ACTIVE,,BRANCH
A0000018,C0000011,P005,001,2019,ACTIVE,,BRANCH
A0000019,C0000012,P001,001,2009,CLOSED,2025,BRANCH
A0000020,C0000013,P001,007,2016,CLOSED,2018,BRANCH
A0000021,C0000013,P008,012,2017,CLOSED,2019,BRANCH
A0000022,C0000013,P001,012,2018,CLOSED,2019,BRANCH
A0000023,C0000014,P008,017,2009,CLOSED,2024,BRANCH
A0000024,C0000014,P001,026,2014,CLOSED,2022,BRANCH
A0000025,C0000014,P003,017,2025,ACTIVE,,BRANCH
A0000026,C0000015,P007,020,2026,ACTIVE,,REMOTE_ASSISTED
A0000027,C0000016,P002,002,1996,ACTIVE,,BRANCH
A0000028,C0000016,P001,002,2007,CLOSED,2019,BRANCH
A0000029,C0000016,P004,005,2000,ACTIVE,,BRANCH
A0000030,C0000017,P003,019,2026,ACTIVE,,DIGITAL
A0000031,C0000018,P005,018,2018,ACTIVE,,BRANCH
A0000032,C0000018,P003,023,2019,CLOSED,2026,REMOTE_ASSISTED
A0000033,C0000019,P002,025,2022,ACTIVE,,BRANCH
A0000034,C0000019,P003,017,2022,ACTIVE,,REMOTE_ASSISTED
A0000035,C0000020,P005,025,2022,ACTIVE,,DIGITAL
A0000036,C0000021,P001,026,2019,CLOSED,2026,BRANCH
A0000037,C0000021,P003,037,2019,CLOSED,2026,BRANCH
A0000038,C0000021,P003,037,2019,CLOSED,2026,REMOTE_ASSISTED
A0000039,C0000021,P007,037,2019,CLOSED,2026,BRANCH
A0000040,C0000022,P006,026,2017,ACTIVE,,BRANCH
A0000041,C0000022,P002,037,2021,ACTIVE,,BRANCH
A0000042,C0000023,P001,010,2022,CLOSED,2023,DIGITAL
A0000043,C0000023,P004,035,2024,ACTIVE,,DIGITAL
A0000044,C0000024,P004,026,2023,ACTIVE,,BRANCH
A0000045,C0000025,P005,019,2013,ACTIVE,,BRANCH
A0000046,C0000025,P002,019,2013,ACTIVE,,BRANCH
A0000047,C0000025,P005,019,2016,CLOSED,2025,BRANCH
A0000048,C0000025,P001,019,2024,ACTIVE,,DIGITAL
A0000049,C0000026,P007,003,1998,CLOSED,2008,BRANCH
A0000050,C0000026,P007,003,2002,CLOSED,2006,BRANCH
A0000051,C0000026,P008,003,1999,CLOSED,2002,BRANCH
A0000052,C0000026,P004,014,2005,CLOSED,2006,BRANCH
A0000053,C0000027,P004,004,2007,CLOSED,2012,BRANCH
A0000054,C0000027,P003,004,2017,ACTIVE,,BRANCH
A0000055,C0000029,P001,021,2016,CLOSED,2018,BRANCH
A0000056,C0000030,P005,033,2021,ACTIVE,,DIGITAL
A0000057,C0000031,P001,019,2026,ACTIVE,,BRANCH
A0000058,C0000032,P003,009,2024,ACTIVE,,REMOTE_ASSISTED
A0000059,C0000034,P006,026,2020,CLOSED,2021,BRANCH
A0000060,C0000034,P003,025,2020,CLOSED,2021,REMOTE_ASSISTED
A0000061,C0000034,P001,025,2021,CLOSED,2021,BRANCH
A0000062,C0000035,P007,033,2019,CLOSED,2020,BRANCH
A0000063,C0000035,P001,033,2019,CLOSED,2020,BRANCH
A0000064,C0000036,P001,019,2015,ACTIVE,,BRANCH
A0000065,C0000036,P005,019,2016,ACTIVE,,BRANCH
A0000066,C0000036,P002,019,2016,ACTIVE,,BRANCH
A0000067,C0000036,P002,019,2018,CLOSED,2022,BRANCH
A0000068,C0000036,P002,019,2016,ACTIVE,,BRANCH
A0000069,C0000037,P001,003,1994,CLOSED,2002,BRANCH
A0000070,C0000037,P005,003,2006,CLOSED,2012,BRANCH
A0000071,C0000037,P001,003,2001,ACTIVE,,BRANCH
A0000072,C0000037,P007,003,2018,CLOSED,2025,BRANCH
A0000073,C0000037,P001,003,2024,ACTIVE,,BRANCH
A0000074,C0000038,P006,009,2024,ACTIVE,,DIGITAL
A0000075,C0000039,P007,001,2020,ACTIVE,,REMOTE_ASSISTED
A0000076,C0000039,P006,025,2021,ACTIVE,,BRANCH
A0000077,C0000039,P005,026,2026,ACTIVE,,BRANCH
A0000078,C0000040,P002,019,2025,ACTIVE,,DIGITAL
A0000079,C0000041,P002,019,2020,ACTIVE,,BRANCH
A0000080,C0000041,P001,023,2020,CLOSED,2024,BRANCH
A0000081,C0000041,P005,023,2020,CLOSED,2020,BRANCH
A0000082,C0000042,P005,020,2020,ACTIVE,,BRANCH
A0000083,C0000042,P003,018,2020,ACTIVE,,DIGITAL
A0000084,C0000042,P005,018,2021,ACTIVE,,REMOTE_ASSISTED
A0000085,C0000042,P005,023,2022,ACTIVE,,DIGITAL
A0000086,C0000043,P004,002,1989,CLOSED,2002,BRANCH
A0000087,C0000043,P001,002,2006,CLOSED,2008,BRANCH
A0000088,C0000044,P002,031,2024,ACTIVE,,DIGITAL
A0000089,C0000044,P004,031,2025,ACTIVE,,BRANCH
A0000090,C0000045,P008,017,2023,ACTIVE,,DIGITAL
A0000091,C0000046,P003,015,2019,ACTIVE,,BRANCH
A0000092,C0000046,P004,028,2020,CLOSED,2026,REMOTE_ASSISTED
A0000093,C0000046,P003,018,2019,ACTIVE,,BRANCH
A0000094,C0000046,P004,029,2019,ACTIVE,,BRANCH
A0000095,C0000046,P002,018,2020,ACTIVE,,BRANCH
A0000096,C0000046,P001,018,2020,ACTIVE,,BRANCH
A0000097,C0000046,P001,018,2020,ACTIVE,,BRANCH
A0000098,C0000046,P002,018,2020,CLOSED,2023,BRANCH
A0000099,C0000046,P007,018,2020,CLOSED,2022,BRANCH
A0000100,C0000046,P007,018,2026,ACTIVE,,DIGITAL
A0000101,C0000047,P007,010,1991,CLOSED,2001,BRANCH
A0000102,C0000047,P004,010,1994,CLOSED,2008,BRANCH
A0000103,C0000047,P002,010,2000,CLOSED,2014,BRANCH
A0000104,C0000048,P002,025,2024,ACTIVE,,BRANCH
A0000105,C0000049,P001,024,2015,ACTIVE,,BRANCH
