loan_id,customer_id,product_id,branch_id,origination_year,currency,original_amount,term_months,rate_type,initial_interest_rate,loan_status,closing_year
L0000001,C0000003,P014,037,2026,UYU,22150000.0,300,MIXED,15.22,ACTIVE,
L0000002,C0000004,P014,023,2021,UYU,24050000.0,240,VARIABLE,14.54,PAID_OFF,2024.0
L0000003,C0000004,P012,036,2026,UYU,200000.0,18,FIXED,18.75,ACTIVE,
L0000004,C0000006,P014,019,2016,UYU,1340000.0,180,MIXED,21.6,ACTIVE,
L0000005,C0000006,P013,028,2018,UYU,525000.0,72,VARIABLE,21.03,DEFAULTED,
L0000006,C0000008,P016,017,2022,UYU,5010000.0,24,VARIABLE,17.72,ACTIVE,
L0000007,C0000008,P016,036,2024,UYU,15550000.0,36,FIXED,17.87,ACTIVE,
L0000008,C0000008,P015,026,2025,UYU,1580000.0,36,FIXED,16.4,ACTIVE,
L0000009,C0000009,P012,018,2011,UYU,310000.0,48,FIXED,19.19,DEFAULTED,2026.0
L0000010,C0000009,P014,003,2012,USD,85000.0,120,VARIABLE,8.73,PAID_OFF,2022.0
L0000011,C0000009,P013,015,2013,USD,48000.0,60,VARIABLE,11.33,PAID_OFF,2018.0
L0000012,C0000009,P012,005,2016,UYU,560000.0,60,FIXED,24.63,PAID_OFF,2021.0
L0000013,C0000009,P012,037,2021,UYU,215000.0,48,FIXED,19.31,PAID_OFF,2023.0
L0000014,C0000009,P013,018,2021,UYU,735000.0,24,VARIABLE,11.64,DEFAULTED,2026.0
L0000015,C0000009,P014,029,2021,UYU,8660000.0,120,FIXED,14.34,PAID_OFF,2021.0
L0000016,C0000010,P012,005,2024,UYU,295000.0,18,VARIABLE,21.0,PAID_OFF,2024.0
L0000017,C0000011,P014,021,2025,USD,165000.0,120,MIXED,9.2,ACTIVE,
L0000018,C0000012,P013,005,2006,USD,27000.0,36,VARIABLE,11.52,PAID_OFF,2009.0
L0000019,C0000012,P014,006,2011,UYU,8140000.0,300,FIXED,16.57,DEFAULTED,2026.0
L0000020,C0000012,P013,001,2014,USD,15000.0,24,VARIABLE,12.02,PAID_OFF,2016.0
L0000021,C0000012,P012,017,2019,UYU,200000.0,6,FIXED,23.73,PAID_OFF,2020.0
L0000022,C0000013,P013,017,2024,UYU,635000.0,48,FIXED,17.82,ACTIVE,
L0000023,C0000014,P013,016,2013,UYU,655000.0,60,FIXED,19.83,PAID_OFF,2018.0
L0000024,C0000014,P013,019,2015,USD,24000.0,48,MIXED,12.3,PAID_OFF,2019.0
L0000025,C0000014,P012,021,2018,UYU,655000.0,18,FIXED,22.5,PAID_OFF,2020.0
L0000026,C0000014,P012,017,2024,UYU,1060000.0,6,FIXED,20.52,RESTRUCTURED,2026.0
