loan_id,customer_id,product_id,branch_id,origination_year,currency,original_amount,term_months,rate_type,initial_interest_rate,loan_status,closing_year
L0000001,C0000001,P012,014,2026,UYU,490000.0,6,FIXED,17.82,PAID_OFF,2026.0
L0000002,C0000004,P012,013,2024,UYU,1020000.0,12,FIXED,19.12,PAID_OFF,2025.0
L0000003,C0000004,P012,005,2025,UYU,1390000.0,12,FIXED,20.62,PAID_OFF,2025.0
L0000004,C0000007,P018,003,2024,UYU,8290000.0,84,VARIABLE,18.91,ACTIVE,
L0000005,C0000015,P012,015,2000,UYU,280000.0,6,FIXED,37.54,PAID_OFF,2001.0
L0000006,C0000015,P013,006,2003,UYU,1030000.0,36,VARIABLE,39.6,PAID_OFF,2006.0
L0000007,C0000015,P013,005,2005,USD,45000.0,24,VARIABLE,14.07,PAID_OFF,2006.0
L0000008,C0000017,P013,035,2026,UYU,560000.0,48,VARIABLE,17.41,DEFAULTED,
L0000009,C0000020,P013,003,2005,UYU,1760000.0,60,MIXED,23.95,PAID_OFF,2010.0
L0000010,C0000020,P013,009,2009,UYU,1490000.0,24,VARIABLE,18.25,PAID_OFF,2011.0
L0000011,C0000020,P014,012,2015,USD,115000.0,120,MIXED,11.53,PAID_OFF,2025.0
L0000012,C0000020,P012,008,2016,UYU,470000.0,24,FIXED,25.64,PAID_OFF,2018.0
L0000013,C0000023,P013,017,2024,UYU,820000.0,72,FIXED,19.1,ACTIVE,
L0000014,C0000024,P014,016,2010,UYU,8890000.0,60,FIXED,16.99,PAID_OFF,2013.0
L0000015,C0000024,P012,018,2012,UYU,265000.0,60,FIXED,21.06,PAID_OFF,2016.0
L0000016,C0000024,P012,015,2015,UYU,125000.0,60,FIXED,23.84,DEFAULTED,
L0000017,C0000024,P012,016,2017,UYU,70000.0,60,FIXED,22.81,PAID_OFF,2022.0
L0000018,C0000032,P012,016,2007,UYU,150000.0,60,FIXED,25.17,PAID_OFF,2012.0
L0000019,C0000036,P013,003,2020,UYU,1090000.0,48,VARIABLE,18.11,PAID_OFF,2024.0
L0000020,C0000039,P015,006,2001,UYU,3130000.0,12,FIXED,32.95,PAID_OFF,2002.0
L0000021,C0000039,P015,007,2002,UYU,3990000.0,36,VARIABLE,48.9,PAID_OFF,2005.0
L0000022,C0000039,P015,009,2003,UYU,1090000.0,48,VARIABLE,40.4,WRITTEN_OFF,2022.0
L0000023,C0000039,P016,012,2011,UYU,4960000.0,12,VARIABLE,17.1,PAID_OFF,2012.0
L0000024,C0000039,P016,005,2017,USD,46000.0,24,MIXED,11.99,PAID_OFF,2019.0
L0000025,C0000039,P016,037,2019,USD,23000.0,12,VARIABLE,9.14,PAID_OFF,2023.0
L0000026,C0000039,P017,014,2020,USD,29000.0,24,VARIABLE,9.58,PAID_OFF,2020.0
L0000027,C0000039,P015,015,2023,USD,49000.0,12,VARIABLE,12.55,PAID_OFF,2024.0
L0000028,C0000040,P013,002,2013,UYU,870000.0,72,MIXED,17.81,RESTRUCTURED,2026.0
L0000029,C0000040,P012,015,2015,UYU,205000.0,6,VARIABLE,23.61,PAID_OFF,2016.0
L0000030,C0000040,P013,026,2016,USD,22000.0,24,FIXED,12.65,DEFAULTED,2026.0
L0000031,C0000040,P012,016,2020,USD,2000.0,24,VARIABLE,15.25,PAID_OFF,2022.0
L0000032,C0000046,P012,013,1998,UYU,260000.0,48,FIXED,39.52,PAID_OFF,2002.0
L0000033,C0000046,P012,003,2001,UYU,210000.0,48,FIXED,38.09,DEFAULTED,2026.0
L0000034,C0000046,P013,006,2004,UYU,1950000.0,48,MIXED,31.6,WRITTEN_OFF,2023.0
L0000035,C0000046,P013,014,2005,USD,45000.0,24,MIXED,13.6,PAID_OFF,2007.0
L0000036,C0000048,P012,020,2026,UYU,685000.0,48,FIXED,18.06,ACTIVE,
L0000037,C0000050,P013,016,2003,UYU,925000.0,72,FIXED,39.31,PAID_OFF,2009.0
L0000038,C0000050,P012,003,2006,UYU,295000.0,24,FIXED,25.83,PAID_OFF,2008.0
L0000039,C0000050,P013,014,2009,UYU,980000.0,60,FIXED,20.23,PAID_OFF,2013.0
L0000040,C0000050,P012,016,2013,UYU,735000.0,6,FIXED,19.17,WRITTEN_OFF,2026.0
L0000041,C0000050,P014,025,2014,UYU,5930000.0,60,VARIABLE,15.88,RESTRUCTURED,2026.0
L0000042,C0000050,P012,026,2019,UYU,625000.0,60,FIXED,20.82,PAID_OFF,2024.0
L0000043,C0000050,P012,014,2026,UYU,115000.0,24,VARIABLE,18.55,ACTIVE,
L0000044,C0000051,P014,009,2004,UYU,9360000.0,240,VARIABLE,30.17,PAID_OFF,2024.0
L0000045,C0000051,P014,006,2012,UYU,6620000.0,300,MIXED,15.98,PAID_OFF,2016.0
L0000046,C0000051,P013,015,2015,UYU,1550000.0,72,FIXED,20.73,PAID_OFF,2021.0
L0000047,C0000051,P014,006,2022,UYU,1850000.0,180,VARIABLE,16.29,ACTIVE,
L0000048,C0000051,P012,004,2025,UYU,480000.0,18,VARIABLE,18.39,RESTRUCTURED,2026.0
L0000049,C0000052,P012,004,2006,UYU,160000.0,18,FIXED,24.99,PAID_OFF,2008.0
L0000050,C0000052,P013,018,2007,UYU,955000.0,48,VARIABLE,17.59,PAID_OFF,2011.0
L0000051,C0000052,P012,008,2012,UYU,77000.0,60,FIXED,20.08,PAID_OFF,2017.0
L0000052,C0000052,P013,002,2018,USD,6000.0,24,FIXED,11.71,PAID_OFF,2020.0
L0000053,C0000053,P015,031,2020,USD,57000.0,24,MIXED,11.92,PAID_OFF,2022.0
L0000054,C0000053,P016,010,2021,UYU,4510000.0,12,VARIABLE,13.99,PAID_OFF,2022.0
L0000055,C0000055,P012,014,2008,UYU,385000.0,48,FIXED,24.4,PAID_OFF,2012.0
L0000056,C0000055,P012,008,2009,UYU,52000.0,18,VARIABLE,21.23,PAID_OFF,2011.0
L0000057,C0000055,P013,009,2013,UYU,2490000.0,48,FIXED,17.26,PAID_OFF,2017.0
L0000058,C0000055,P012,032,2022,UYU,420000.0,12,FIXED,23.29,PAID_OFF,2022.0
L0000059,C0000055,P013,018,2023,UYU,1310000.0,72,VARIABLE,18.71,ACTIVE,
L0000060,C0000056,P012,006,2005,UYU,310000.0,48,VARIABLE,27.31,PAID_OFF,2007.0
L0000061,C0000056,P012,005,2017,UYU,245000.0,12,VARIABLE,21.5,PAID_OFF,2018.0
L0000062,C0000057,P012,007,2011,UYU,225000.0,12,FIXED,21.91,PAID_OFF,2012.0
L0000063,C0000057,P012,028,2017,UYU,360000.0,60,VARIABLE,23.82,PAID_OFF,2022.0
L0000064,C0000058,P016,002,2024,USD,115000.0,12,VARIABLE,11.99,ACTIVE,
L0000065,C0000058,P015,026,2025,USD,160000.0,12,VARIABLE,11.6,PAID_OFF,2026.0
L0000066,C0000060,P014,028,2023,UYU,7310000.0,60,VARIABLE,18.06,WRITTEN_OFF,2026.0
L0000067,C0000060,P012,035,2026,UYU,175000.0,18,FIXED,19.47,PAID_OFF,2026.0
L0000068,C0000061,P014,022,2011,UYU,3800000.0,240,VARIABLE,17.74,PAID_OFF,2022.0
L0000069,C0000061,P013,024,2015,UYU,1260000.0,60,FIXED,19.86,PAID_OFF,2020.0
L0000070,C0000061,P014,019,2018,UYU,6210000.0,120,MIXED,17.32,PAID_OFF,2022.0
L0000071,C0000062,P013,031,2024,UYU,1490000.0,60,MIXED,16.69,ACTIVE,
L0000072,C0000062,P014,031,2024,UYU,3260000.0,60,VARIABLE,16.9,DEFAULTED,
L0000073,C0000062,P012,021,2026,UYU,245000.0,12,VARIABLE,18.8,PAID_OFF,2026.0
L0000074,C0000065,P014,031,2022,USD,260000.0,180,FIXED,10.55,PAID_OFF,2026.0
L0000075,C0000070,P014,023,2021,UYU,8280000.0,240,MIXED,12.76,ACTIVE,
L0000076,C0000070,P013,014,2023,USD,17000.0,72,VARIABLE,12.15,PAID_OFF,2025.0
L0000077,C0000070,P012,020,2025,UYU,100000.0,6,FIXED,18.68,PAID_OFF,2025.0
L0000078,C0000070,P013,037,2026,USD,36000.0,24,VARIABLE,11.11,ACTIVE,
L0000079,C0000072,P014,013,2026,UYU,2900000.0,180,VARIABLE,16.25,ACTIVE,
L0000080,C0000077,P012,014,2022,UYU,635000.0,24,FIXED,23.97,PAID_OFF,2024.0
L0000081,C0000077,P014,013,2026,USD,155000.0,180,MIXED,10.68,ACTIVE,
L0000082,C0000079,P014,002,2022,UYU,15050000.0,300,FIXED,17.33,DEFAULTED,
L0000083,C0000079,P013,028,2023,UYU,2170000.0,48,FIXED,20.81,PAID_OFF,2026.0
L0000084,C0000079,P013,003,2025,UYU,2150000.0,72,FIXED,17.63,ACTIVE,
L0000085,C0000079,P014,017,2025,UYU,11600000.0,300,VARIABLE,16.0,ACTIVE,
L0000086,C0000080,P013,024,2020,USD,8000.0,24,FIXED,12.28,PAID_OFF,2020.0
L0000087,C0000080,P014,018,2021,USD,130000.0,60,FIXED,9.5,PAID_OFF,2026.0
L0000088,C0000080,P012,019,2026,UYU,1010000.0,48,FIXED,20.46,ACTIVE,
L0000089,C0000082,P012,015,2018,UYU,320000.0,48,FIXED,22.51,PAID_OFF,2021.0
L0000090,C0000082,P014,034,2021,UYU,6100000.0,120,FIXED,14.93,PAID_OFF,2022.0
L0000091,C0000092,P013,008,2016,USD,18000.0,24,VARIABLE,12.21,PAID_OFF,2017.0
L0000092,C0000092,P012,007,2017,UYU,435000.0,12,MIXED,22.37,PAID_OFF,2018.0
L0000093,C0000097,P014,009,2022,UYU,2270000.0,180,VARIABLE,17.16,WRITTEN_OFF,2026.0
L0000094,C0000097,P014,028,2024,USD,34000.0,120,VARIABLE,11.16,ACTIVE,
L0000095,C0000099,P014,009,2000,UYU,9270000.0,240,VARIABLE,30.6,PAID_OFF,2019.0
L0000096,C0000099,P014,001,2001,UYU,19900000.0,300,VARIABLE,33.25,WRITTEN_OFF,2026.0
L0000097,C0000107,P012,005,2017,UYU,430000.0,24,FIXED,22.01,DEFAULTED,
L0000098,C0000107,P013,004,2022,USD,18000.0,24,MIXED,11.09,DEFAULTED,
L0000099,C0000115,P012,009,2000,UYU,88000.0,36,FIXED,35.7,PAID_OFF,2003.0
L0000100,C0000115,P014,003,2001,UYU,6170000.0,60,VARIABLE,34.85,PAID_OFF,2006.0
