loan_id,customer_id,product_id,branch_id,origination_year,currency,original_amount,term_months,rate_type,initial_interest_rate,loan_status,closing_year
L0000001,C0000004,P012,017,2022,UYU,245000.0,6,FIXED,20.46,PAID_OFF,2023.0
L0000002,C0000004,P013,011,2022,USD,170000.0,24,VARIABLE,10.15,PAID_OFF,2024.0
L0000003,C0000004,P014,026,2026,UYU,4120000.0,120,FIXED,15.54,ACTIVE,
L0000004,C0000007,P018,003,2026,UYU,8230000.0,84,VARIABLE,17.46,ACTIVE,
L0000005,C0000015,P012,005,1999,UYU,125000.0,6,FIXED,39.58,PAID_OFF,2000.0
L0000006,C0000024,P013,017,2017,UYU,1130000.0,24,VARIABLE,16.86,PAID_OFF,2019.0
L0000007,C0000024,P012,021,2009,UYU,55000.0,60,FIXED,24.85,PAID_OFF,2013.0
L0000008,C0000024,P013,019,2009,USD,40000.0,36,FIXED,14.08,PAID_OFF,2012.0
L0000009,C0000025,P013,009,2015,UYU,355000.0,72,FIXED,18.99,PAID_OFF,2021.0
L0000010,C0000025,P013,017,2017,USD,27000.0,60,FIXED,13.34,PAID_OFF,2022.0
L0000011,C0000032,P012,019,2010,UYU,99000.0,48,VARIABLE,20.69,PAID_OFF,2012.0
L0000012,C0000032,P012,019,2008,UYU,18000.0,6,FIXED,25.7,PAID_OFF,2009.0
L0000013,C0000032,P014,017,2017,UYU,3230000.0,240,VARIABLE,19.68,ACTIVE,
L0000014,C0000032,P012,019,2009,UYU,90000.0,6,FIXED,20.05,PAID_OFF,2009.0
L0000015,C0000034,P012,007,1996,UYU,49000.0,60,FIXED,42.74,PAID_OFF,2001.0
L0000016,C0000034,P012,003,1991,UYU,34000.0,12,FIXED,50.96,PAID_OFF,1992.0
L0000017,C0000036,P012,014,2020,UYU,350000.0,12,FIXED,19.5,PAID_OFF,2021.0
L0000018,C0000036,P012,019,2020,UYU,245000.0,36,FIXED,21.9,PAID_OFF,2021.0
L0000019,C0000036,P013,020,2022,UYU,1040000.0,36,FIXED,19.76,PAID_OFF,2025.0
L0000020,C0000039,P015,020,2017,UYU,5520000.0,48,VARIABLE,19.53,PAID_OFF,2021.0
L0000021,C0000039,P016,017,2010,UYU,1570000.0,24,VARIABLE,16.03,PAID_OFF,2012.0
L0000022,C0000039,P016,021,2012,UYU,920000.0,12,VARIABLE,16.23,PAID_OFF,2013.0
