bank_id,bank_name,year,revenue,operating_costs,net_income,total_assets,total_deposits,total_loans,equity,reporting_currency
B000,BTYT,2021,48149695.14,34393918.77,5009953.49,1035257695.48,762896220.82,438932702.73,130812387.57,USD
B000,BTYT,2022,55423548.46,39261807.17,1212521.23,1086827509.53,847725457.43,484610038.21,136604957.72,USD
B000,BTYT,2023,52205729.61,37397705.8,9986687.62,1142672358.61,839913909.87,479966970.56,145343266.71,USD
B000,BTYT,2024,70643315.6,47550668.93,13049713.47,1252796016.07,977180892.54,535300886.89,141275365.55,USD
B000,BTYT,2025,75421749.19,54350533.0,13369635.04,1274089972.41,955250040.53,603766122.1,169219164.22,USD
B000,BTYT,2026,70155553.43,48714154.04,16816023.01,1275060581.45,950929068.61,583766356.36,158824758.48,USD
B001,BROU,2021,770452727.45,608657654.69,107780804.0,11853118883.92,7595590618.0,5653190907.5,1456389913.19,USD
B001,BROU,2022,745379574.15,588849863.58,91322856.74,12082635439.07,7732886681.0,5488368227.31,1374382277.58,USD
B001,BROU,2023,698967916.97,552184654.41,11958576.49,11850509746.0,7584326237.44,5375030868.8,1385941055.46,USD
B001,BROU,2024,729389385.08,576217614.22,123706383.63,11916036747.46,7959939481.0,5234258915.24,1589214573.22,USD
B001,BROU,2025,714608278.31,547589594.56,-4184920.13,11874168556.6,7599467876.22,4987150793.77,1415808714.65,USD
B001,BROU,2026,733071280.67,533903966.73,-114299343.66,11849467390.47,7723830632.58,5503924592.47,1411412337.8,USD
B002,BHU,2021,38199438.75,25674223.84,5564613.4,1106456496.64,553228248.32,734462006.01,120701035.65,USD
B002,BHU,2022,37327727.66,23375495.68,7336146.32,1146263438.23,553860681.3,741034623.77,127672000.73,USD
B002,BHU,2023,36642006.9,23507173.21,8419005.36,1128697494.49,545290195.75,738434478.2,119111018.6,USD
B002,BHU,2024,35517298.26,24549230.91,-7183017.68,1183909941.9,591954970.95,776226150.83,140298460.93,USD
B002,BHU,2025,36442616.35,24385549.02,6280438.13,1214753878.25,607376939.13,786534608.75,144403227.95,USD
B002,BHU,2026,37883480.31,25296785.31,6342776.81,1190854221.88,595427110.94,753403915.72,120534439.16,USD
B003,Bandes,2021,31689339.83,19739792.37,6163638.58,599130605.73,362938567.26,353904795.78,81432260.94,USD
B003,Bandes,2022,31839791.57,18251070.39,1391673.3,578412699.33,325803687.96,352668871.56,82103905.93,USD
B003,Bandes,2023,32331460.22,19639248.38,4912762.21,540394725.16,302085102.88,323819436.05,73123687.75,USD
B003,Bandes,2024,30276579.55,18859062.33,8154933.2,562421185.47,336023639.45,333873961.5,78330386.09,USD
B003,Bandes,2025,33010583.69,18602818.45,8633771.85,579751043.8,341814810.03,359681807.67,71912322.01,USD
B003,Bandes,2026,31626358.86,18548396.09,10130821.05,589659698.7,349239288.95,355932453.06,81560413.82,USD
B004,BBVA Uruguay,2021,517116440.82,275658630.16,146292678.69,9398498973.04,6255545557.59,4673184078.13,1222185856.9,USD
B004,BBVA Uruguay,2022,609382923.63,322846179.69,182251661.59,10159601714.6,6443551887.97,5168634043.82,1119963740.91,USD
B004,BBVA Uruguay,2023,595464742.99,324735959.26,236241649.62,10401571569.08,6653591407.06,5872602657.64,1351734092.32,USD
B004,BBVA Uruguay,2024,681151194.56,340575597.28,225938967.74,11353878651.49,7468626435.61,5873078420.29,1516906251.83,USD
B004,BBVA Uruguay,2025,636823386.41,342618031.89,123465190.92,11149511712.77,6863348336.22,5641166909.48,1672426756.92,USD
B004,BBVA Uruguay,2026,741296131.89,373543374.65,229761749.26,12236445549.36,8011932361.2,6359770396.46,1453483432.01,USD
B005,Banco Nación,2021,83998677.13,46428773.49,20729409.46,1724326589.47,910184049.93,973222317.33,292568375.05,USD
B005,Banco Nación,2022,106077366.96,68285428.33,16652536.23,1826219830.42,998628846.35,1009169427.14,262845830.21,USD
B005,Banco Nación,2023,104935558.25,67374409.12,33176386.18,1864631398.0,1123325104.72,1012777920.95,295909940.78,USD
B005,Banco Nación,2024,95455613.75,62097928.71,19939984.14,2025065542.08,1197132928.85,1082230981.1,334407429.49,USD
B005,Banco Nación,2025,101479134.55,61834941.95,24358610.87,2089433556.18,1132541961.63,1122386034.38,336848551.31,USD
B005,Banco Nación,2026,110943343.68,65635911.38,29538458.74,2178072393.44,1303800160.19,1311862496.25,348024044.65,USD
B006,Itaú Uruguay,2021,237674621.24,135382064.62,79955978.81,3525943228.61,2206892942.36,1651087442.7,488063486.61,USD
B006,Itaú Uruguay,2022,236211238.91,146186491.47,56768693.67,3573285554.1,2187431881.4,1726864001.4,398528696.18,USD
B006,Itaú Uruguay,2023,209610424.82,116955423.72,63445492.39,3607810268.21,2104368029.11,1821453759.22,442509239.3,USD
B006,Itaú Uruguay,2024,238718890.67,136620897.33,57860313.51,3595137088.03,2295245232.46,1771758273.52,472806303.98,USD
B006,Itaú Uruguay,2025,220574922.19,124486357.73,55046001.45,3704993964.55,2169731037.76,1723427334.95,518286383.77,USD
B006,Itaú Uruguay,2026,238774800.03,138591415.24,61783219.58,3764026376.79,2336774768.09,1875011783.09,513215751.62,USD
B007,Santander Uruguay,2021,681313819.22,396344446.76,181966932.1,9817065037.93,6565731426.22,4536711207.46,1441120363.35,USD
B007,Santander Uruguay,2022,746232068.55,461345789.25,105576442.35,10364334285.45,7603972365.62,4817284869.06,1377628442.17,USD
B007,Santander Uruguay,2023,687978400.92,402657766.66,215750874.47,11531279494.2,7905747192.77,5562230057.68,1729691924.13,USD
B007,Santander Uruguay,2024,827007463.02,478445452.82,141484963.95,11938551074.0,7499823854.2,5257371556.54,1699874952.38,USD
B007,Santander Uruguay,2025,826084372.38,486003054.25,-28584267.14,12760849986.99,8766979497.99,6214067153.02,1660720333.79,USD
B007,Santander Uruguay,2026,886656369.67,518750825.53,234875354.95,13324729363.9,9434271446.28,5916324609.95,1696686566.78,USD
B008,Banque Heritage Uruguay,2021,56646684.46,32586958.19,20500466.77,730779912.7,374752032.89,261497917.97,111099938.38,USD
B008,Banque Heritage Uruguay,2022,66552039.3,36241628.46,17186078.94,782965168.25,418845786.11,275103320.65,128451291.73,USD
B008,Banque Heritage Uruguay,2023,64878011.97,37690491.47,21596462.08,795849673.12,395711467.01,313899817.55,123052745.6,USD
B008,Banque Heritage Uruguay,2024,68482541.99,41861454.99,17789542.63,827065517.02,444825662.91,308999763.28,142563168.55,USD
B008,Banque Heritage Uruguay,2025,65735990.77,37685175.57,17213057.98,870178312.21,427361101.72,341093875.51,137968467.87,USD
B008,Banque Heritage Uruguay,2026,69314586.02,41145180.56,20578474.2,901707774.26,486791508.47,321817294.44,137396908.12,USD
B009,Citibank Uruguay,2021,117786122.33,58076786.69,-12662156.31,1853241063.69,880631027.82,582550761.14,228272844.68,USD
B009,Citibank Uruguay,2022,114026466.51,56836855.34,39314284.96,1903549726.87,874032779.64,615892432.63,244831466.35,USD
B009,Citibank Uruguay,2023,136453958.32,68898351.81,40253284.66,1951494859.3,887767769.84,634366185.27,251620745.54,USD
B009,Citibank Uruguay,2024,125114907.21,59191539.63,47473137.07,1923984102.87,888896066.94,612544609.52,245350402.86,USD
B009,Citibank Uruguay,2025,127850823.56,66357540.18,42821937.55,1989365238.03,874532285.83,711894137.5,267762763.45,USD
B009,Citibank Uruguay,2026,126146971.33,62415793.72,38805296.74,2008783069.82,920397371.58,628495500.77,282620052.04,USD
B010,HSBC Uruguay,2021,105369607.3,67436548.67,24406237.5,2524839258.57,1110679289.39,1010869669.69,263947620.34,USD
B010,HSBC Uruguay,2022,111480343.37,70424982.82,16925130.0,2426186840.79,1145814449.42,926965099.65,251620678.87,USD
B010,HSBC Uruguay,2023,115558148.71,72431857.25,25677089.41,2334190789.92,1051642247.82,920660535.68,233419078.99,USD
B010,HSBC Uruguay,2024,91282352.84,53434890.35,24681760.91,2282058821.08,1100400605.27,800193846.92,246491884.54,USD
B010,HSBC Uruguay,2025,91139321.77,53593870.87,26791407.86,2278483044.28,1031987222.69,937695025.46,245340779.63,USD
B010,BTG Pactual Uruguay,2026,102378495.24,61438161.78,11268796.54,2241555669.98,1056089129.65,919630570.56,224155567.0,USD
B011,Scotiabank Uruguay,2021,301996539.76,165934501.69,123669966.78,4982766482.5,3221668530.01,3210970437.35,672658619.41,USD
B011,Scotiabank Uruguay,2022,305588459.96,182092863.66,77193343.59,4585157479.37,3056942086.87,2950628284.46,577503346.87,USD
B011,Scotiabank Uruguay,2023,296353431.15,148176715.58,78325116.35,4634120766.13,3212996019.35,2683836321.97,651056418.13,USD
B011,Scotiabank Uruguay,2024,279544081.81,151563600.78,77448273.7,4697716994.36,3065964063.39,2929238777.06,673545196.91,USD
B011,Scotiabank Uruguay,2025,301026167.96,169382175.66,95484067.62,4917985748.32,3014072254.1,2880486931.0,737697862.25,USD
B011,Scotiabank Uruguay,2026,314861106.31,162636524.0,142778749.13,4922673121.79,3367836435.08,2982182724.52,646890019.45,USD
B101,JPMorgan Chase,2021,9792924630.42,4751629782.45,2608053141.63,379101005385.44,201688063918.46,160293545418.15,40603959683.25,USD
B101,JPMorgan Chase,2022,10073595079.23,4865515719.66,3917014304.12,359644674634.8,179823680303.58,156596951921.08,39743470791.72,USD
B101,JPMorgan Chase,2023,8840991423.53,4466767229.73,3779375228.85,353639656941.18,165797943123.34,169747035331.76,41995133767.99,USD
B101,JPMorgan Chase,2024,9084022005.04,4950918503.58,2493694565.87,363360880201.56,184520588428.24,170382116190.78,43004712958.62,USD
B101,JPMorgan Chase,2025,9705623911.91,5030702307.18,3277881007.02,349831545004.47,187561179531.45,152290528535.08,42226846582.34,USD
B101,JPMorgan Chase,2026,9345116505.97,4569288303.89,3028114402.29,362083287696.48,208027230782.61,166906036816.31,43646520404.64,USD
B102,Citibank International,2021,19111098511.05,11045305369.71,4946943355.19,477040130043.07,249028769988.74,217528107682.5,33392809103.01,USD
B102,Citibank International,2022,23089897322.05,13639044308.86,4219034311.44,527808902882.13,273786752074.74,235738600892.52,40209802231.09,USD
B102,Citibank International,2023,27044022512.23,16767293957.58,6537616055.25,561268027128.2,296656950740.84,251624749140.56,39288761898.97,USD
B102,Citibank International,2024,29695277133.43,15734244869.99,12232958881.25,625991247454.45,319415706845.31,287453055103.26,50678787768.06,USD
B102,Citibank International,2025,23051268195.53,13824943267.21,683435700.43,637797379726.23,322259924545.78,280772886868.43,57727976956.55,USD
B102,Citibank International,2026,34201853132.38,20656205838.43,9341686706.95,713640821845.0,371252018276.0,319713806151.85,58694486869.22,USD
B103,Bank of America,2021,564929124.14,225971649.66,205801721.74,7922802710.87,4183652150.14,3690014199.84,1037188548.9,USD
B103,Bank of America,2022,603659416.06,256372192.6,247589930.38,9113668665.89,4472684453.45,4001640521.59,1303571400.28,USD
B103,Bank of America,2023,633850432.24,253540172.89,328462817.6,8682882633.38,4388970979.91,4258170561.2,1328200463.79,USD
B103,Bank of America,2024,631522088.46,252768527.23,257522751.69,9070699226.1,4695932721.54,4454011113.8,1245211646.13,USD
B103,Bank of America,2025,623423989.59,258331986.59,278219285.17,9460407107.95,5179262852.77,4092806674.89,1255184534.44,USD
B103,Bank of America,2026,753859711.45,301882273.32,347178590.89,10326845362.36,5155049193.97,5004492849.79,1389596509.07,USD
B104,Deutsche Bank,2021,2472098151.51,1434873850.6,675299993.71,59058416533.91,21192086178.59,17848070866.81,5401231995.2,USD
B104,Deutsche Bank,2022,2609165196.85,1450081508.68,553236459.17,61398903064.8,22612153498.11,15349725766.2,4821181592.85,USD
B104,Deutsche Bank,2023,2663384445.41,1429716363.35,571639697.11,68627963667.55,24727388912.8,22000977744.36,5763834640.16,USD
B104,Deutsche Bank,2024,3340558809.84,1789536096.59,748901461.63,71360752703.36,25205222195.83,20623453872.45,5237634660.45,USD
B104,Deutsche Bank,2025,3574907400.76,1994872290.24,875302830.12,74335698770.9,26253219589.5,22353044235.31,6302805176.62,USD
B104,Deutsche Bank,2026,3246864920.36,1840750919.97,910548297.44,76169911664.78,28730840858.48,22637879092.25,6467332391.52,USD
B105,BNP Paribas,2021,2564543049.11,1303216382.76,680186622.18,61701695700.57,26333045512.16,29702971095.94,6145779197.13,USD
B105,BNP Paribas,2022,2484735923.88,1147140967.09,822904651.73,61365669380.25,23359270249.39,30682834690.13,6555359067.38,USD
B105,BNP Paribas,2023,2755897265.39,1255139615.54,-67009246.04,68139273307.52,28989285410.09,34069636653.76,6654485389.64,USD
B105,BNP Paribas,2024,2945963798.57,1202809401.16,1151568062.03,68431550973.94,30411806338.99,34215775486.97,7790026497.95,USD
B105,BNP Paribas,2025,2655780213.58,1121520082.85,1167760111.18,72054021324.78,33121335884.21,32157889308.29,7367462171.43,USD
B105,BNP Paribas,2026,2947730304.51,1282586196.93,1261165547.9,73468025906.97,31602993623.79,36734012953.48,8878666488.27,USD
B106,UBS,2021,8336732519.92,3394920282.23,4091571624.65,155837513267.44,85546708067.52,55920699976.42,15857665477.36,USD
B106,UBS,2022,9785671208.54,3718555059.24,4672333427.7,159372731309.28,88411801616.01,57869706484.08,19874666411.78,USD
B106,UBS,2023,10990806833.59,4843108386.87,4199284033.27,170610074271.64,98542217913.01,57322716317.15,18162296621.1,USD
B106,UBS,2024,9501715329.75,3868139145.95,3902443321.7,173747990631.84,98794440134.46,64862084329.94,14779236800.22,USD
B106,UBS,2025,9306934081.49,4084621511.46,3434485364.34,160677041156.97,92205820453.2,52530430304.17,19148072284.74,USD
B106,UBS,2026,9716683242.06,3692339631.98,5732843112.81,174495957239.6,92232274182.64,53533548942.51,19001915910.27,USD
B107,HSBC International,2021,3030773470.89,1354051278.83,138097767.82,63303800703.97,28169248312.61,18821635367.67,8548978480.52,USD
B107,HSBC International,2022,3355490148.86,1511596543.56,1317500216.72,61742128551.03,29493684346.39,16981538213.57,8869117005.15,USD
B107,HSBC International,2023,3282560228.78,1548613787.67,1389729134.06,62417908603.83,28348986616.55,17180592241.7,9044522685.95,USD
B107,HSBC International,2024,3130667622.32,1327058458.19,1173653426.5,59910261153.22,27399542657.86,18359775927.92,8286126517.76,USD
B107,HSBC International,2025,3154839800.74,1261935920.3,1509788906.98,57611622973.69,24959968143.75,13526777017.34,7822489998.57,USD
B107,HSBC International,2026,3343636515.56,1337454606.22,1240141445.48,59307501859.41,26331276478.99,17101710176.67,7668291927.26,USD
