year_month,active_customers,active_accounts,average_deposits,average_loan_balance,transaction_count,transaction_volume,branch_transaction_count,interest_income,interest_expense,net_interest_income,fee_income,total_revenue,personnel_cost,fixed_cost,variable_cost,operational_cost,total_operating_cost,credit_loss,pre_provision_profit,net_income
2021-01,4028,7633,7216719498.7,9937293250.13,68929,4172976491.32,16434,107911520.65,8183056.53,99728464.15,4387588.4,104116052.59,38677515.14,13731673.18,6879597.49,9616960.62,68905746.37,14531297.35,35210306.21,20679008.85
2021-02,4081,7708,7427835560.03,10104995480.72,73817,4852924569.09,17352,106911360.03,8198500.03,98712859.95,4456643.83,103169503.86,38967596.53,13834660.74,7270123.69,9689087.78,69761468.7,37708831.58,33408035.13,-4300796.46
2021-03,4126,7759,7704026108.6,10301835610.23,74392,4796988141.12,17007,104835601.98,8212743.53,96622858.54,4551875.07,101174733.57,39257677.88,13937648.27,7252033.19,9761215.0,70208574.36,49474863.45,30966159.23,-18508704.23
2021-04,4164,7808,7904057032.47,10458638102.85,73743,3891154254.39,16854,101282611.0,8281013.24,93001597.76,4493014.41,97494612.2,39547759.23,14040635.83,7305910.03,9833342.21,70727647.29,65912019.67,26766964.88,-39145054.8
2021-05,4203,7858,8196140995.74,10554409214.89,75891,5018374747.93,17625,98134031.54,8359217.14,89774814.36,4656522.08,94431336.45,39837840.6,14143623.37,7518403.94,9905469.4,71405337.37,54947796.93,23025999.11,-31921797.84
2021-06,4242,7901,8539577869.33,10774349984.19,74965,5095580844.68,17049,96626462.39,8384943.3,88241519.09,4618079.27,92859598.4,40127921.97,14246610.93,7477455.24,9977596.61,71829584.74,50489871.68,21030013.64,-29459858.03
2021-07,4273,7950,8694034027.0,10874354302.45,75421,4319823939.89,17185,94093513.27,8303636.43,85789876.79,4616584.44,90406461.25,40418003.34,14349598.48,7600534.78,10049723.81,72417860.43,48322345.62,17988600.83,-30333744.78
2021-08,4303,8001,8752716193.86,11090939133.14,77287,5205992100.64,17313,94575381.98,8269110.69,86306271.3,4724182.83,91030454.1,40708084.7,14452586.01,7712949.15,10121851.05,72995470.89,32376168.16,18034983.22,-14341184.9
2021-09,4324,8039,8906500779.93,11151385135.96,76522,4563409965.55,17231,91591537.95,8298931.36,83292606.57,4662507.25,87955113.83,40998166.1,14555573.55,7801077.26,10193978.22,73548795.11,50650317.47,14406318.71,-36243998.84
2021-10,4358,8109,9188890199.27,11257933992.14,78311,4807678289.54,17496,89158739.35,8331749.67,80826989.69,4766276.92,85593266.62,41288247.43,14658561.1,7931076.96,10266105.44,74143990.95,55438767.79,11449275.69,-43989492.12
2021-11,4372,8149,9378279928.21,11346657778.22,77835,4747808918.42,17267,89246332.19,8015677.89,81230654.33,4755010.11,85985664.4,41578328.79,14761548.66,7938330.84,10338232.66,74616440.92,15392023.11,11369223.49,-4022799.63
2021-12,4391,8178,9623719812.9,11448374601.1,86763,5078335312.47,19249,89429001.81,7712843.66,81716158.14,4882531.14,86598689.29,41868410.16,14864536.21,8622968.2,10410359.83,75766274.38,20735757.42,10832414.9,-9903342.57
2022-01,4432,8247,9796257188.59,11417457869.48,76989,6017982825.58,16929,89774145.07,8868507.28,80905637.78,5632237.72,86537875.47,42058855.89,14903579.69,7997150.25,10339984.07,75299569.84,1467336.15,11238305.64,9770969.52
2022-02,4460,8281,10199692749.76,11593230116.37,81685,5861950420.9,18036,92637851.22,8957767.05,83680084.17,5767892.3,89447976.51,42348251.67,14977641.8,8356514.91,10405951.54,76088359.9,4519217.5,13359616.56,8840399.12
2022-03,4517,8353,10646399252.91,11761482110.26,80254,5737070654.31,17433,95261174.47,9141712.5,86119461.95,5676730.94,91796192.91,42637647.44,15051703.99,8293467.82,10471919.02,76454738.29,2141459.81,15341454.62,13199994.84
2022-04,4543,8379,11049716343.63,11962718565.09,80222,5693748529.79,17459,96651514.13,9316301.49,87335212.65,5709922.87,93045135.56,42927043.25,15125766.08,8326806.58,10537886.51,76917502.44,21136321.14,16127633.09,-5008688.08
2022-05,4565,8410,11345017603.78,12058701948.72,80715,5276598839.7,17283,99017398.34,9406163.46,89611234.93,5710651.07,95321886.0,43216439.05,15199828.21,8396773.07,10603854.01,77416894.37,1206241.87,17904991.64,16698749.75
2022-06,4612,8468,11741502738.19,12157366084.46,82724,5712669478.58,17750,100403042.03,9465418.93,90937623.1,5753303.04,96690926.11,43505834.85,15273890.32,8644249.69,10669821.5,78093796.33,6709107.93,18597129.77,11888021.83
2022-07,4644,8519,12142407443.13,12314048984.45,83295,5882446123.38,17849,102293768.99,9518474.84,92775294.15,5821513.99,98596808.14,43795230.64,15347952.42,8721288.4,10735788.95,78600260.47,13436259.41,19996547.65,6560288.24
2022-08,4681,8567,12246403965.56,12444278709.25,84136,5751961707.39,18002,105467525.29,9568792.13,95898733.19,5851876.67,101750609.85,44084626.49,15422014.59,8833029.27,10801756.45,79141426.82,-11533348.18,22609183.04,34142531.25
2022-09,4711,8608,12426983692.11,12696469477.79,84322,5532788121.65,17863,105890992.56,9449407.11,96441585.47,5844985.65,102286571.1,44374022.25,15496076.71,8903535.0,10867723.98,79641357.93,41099228.11,22645213.21,-18454014.96
2022-10,4754,8678,12707214518.65,12768179616.35,84129,5293550243.53,17714,106050893.93,9339587.93,96711306.0,5870839.7,102582145.74,44663418.01,15570138.84,8923730.13,10933691.45,80090978.46,17082879.31,22491167.27,5408287.97
2022-11,4766,8706,12939323981.93,12954511181.83,85548,5577615285.48,17920,107444200.92,9343977.89,98100223.07,5931219.2,104031442.29,44952813.83,15644200.95,9051660.64,10999658.9,80648334.39,19597964.22,23383107.88,3785143.7
2022-12,4793,8765,13285327915.76,13209230109.89,95326,6338188337.06,19933,108761541.92,9374847.87,99386694.07,6147261.28,105533955.29,45242209.65,15718263.13,9832456.66,11065626.43,81858555.83,28830522.33,23675399.53,-5155122.8
2023-01,4829,8839,13685257908.59,13194890702.4,83015,7283153763.95,17121,112916591.16,10646904.93,102269686.24,6612191.12,108881877.35,45245746.49,15599756.2,8807806.41,10714884.3,80368193.34,-38939581.75,28513684.01,67453265.76
2023-02,4867,8895,14330522416.35,13403206083.75,88098,7031872617.14,18299,115994664.34,10812706.78,105181957.61,6732744.57,111914702.15,45533325.39,15672915.21,9265352.74,10778399.2,81249992.51,10861848.83,30664709.62,19802860.8
2023-03,4909,8938,14591960147.49,13598276918.5,88627,6616553347.14,18118,117143898.18,10929711.33,106214186.84,6738785.43,112952972.29,45820904.26,15746074.25,9311845.95,10841914.07,81720738.53,35986634.25,31232233.72,-4754400.54
2023-04,4956,8997,14877161106.37,13764080065.02,88998,7333450932.24,18356,118830647.62,11040692.5,107789955.1,6832760.15,114622715.26,46108483.17,15819233.26,9412868.38,10905428.98,82246013.81,14508766.06,32376701.46,17867935.38
2023-05,4988,9046,15100721172.83,13914228853.09,88159,7335875372.49,18234,121283068.43,11133468.5,110149599.92,6843671.9,116993271.81,46396062.07,15892392.34,9435047.4,10968943.89,82692445.64,14447383.99,34300826.18,19853442.17
2023-06,5015,9076,15398802082.41,13929446868.99,87737,6545835632.14,17525,121828319.35,11226274.71,110602044.63,6756227.62,117358272.31,46683640.97,15965551.33,9388752.9,11032458.79,83070403.96,4800482.55,34287868.34,29487385.78
2023-07,5048,9124,15724174792.11,14044717638.13,89984,7171825188.32,17929,123000846.29,11328244.19,111672602.1,6792221.47,118464823.55,46971219.85,16038710.35,9572174.21,11095973.69,83678078.1,13424138.39,34786745.45,21362607.03
2023-08,5068,9170,15771954674.29,14120139928.42,91330,7800121615.75,18384,123955519.04,11404883.88,112550635.19,7005876.46,119556511.66,47258798.75,16111869.38,9782141.95,11159488.55,84312298.67,6072192.1,35244212.98,29172020.84
2023-09,5091,9219,15931580322.19,14082796789.76,90576,6757481375.79,18229,123208026.6,11553082.29,111654944.31,6977405.11,118632349.41,47546377.66,16185028.42,9801754.92,11223003.46,84756164.49,526302.78,33876184.91,33349882.15
2023-10,5106,9249,16059176900.18,14154015034.28,92177,6967768742.51,18161,122443747.26,11714238.18,110729509.08,7004457.92,117733966.96,47833956.54,16258187.47,9887013.64,11286518.35,85265676.01,25106908.97,32468290.98,7361382.04
2023-11,5126,9285,16572480998.55,14338431994.27,92240,7504691002.35,18354,124358060.5,11724670.91,112633389.62,7019650.12,119653039.69,48121535.46,16331346.51,9989738.41,11350033.26,85792653.59,7263442.04,33860386.1,26596944.1
2023-12,5127,9306,17169773500.63,14345976618.45,100823,8500704093.72,20001,125062091.65,11757348.94,113304742.71,7293181.53,120597924.26,48409114.35,16404505.5,10646434.7,11413548.18,86873602.76,-2445214.84,33724321.54,36169536.37
2024-01,5164,9382,17692535080.39,14548391071.5,89855,6788050620.56,17641,127514714.17,10861397.95,116653316.2,7677055.08,124330371.25,48655121.08,16457245.06,9888904.04,11406033.36,86407303.6,2506133.81,37923067.7,35416933.95
2024-02,5205,9434,17888447455.93,14679275137.39,94722,8218245261.37,18370,129689611.95,10951103.27,118738508.67,7849159.44,126587668.11,48942454.49,16513451.52,10279743.4,11466192.29,87201841.63,-6690886.96,39385826.43,46076713.4
2024-03,5244,9496,17890390422.19,14753761445.47,94712,8036663450.74,18678,128866906.72,10867088.16,117999818.54,7897028.3,125896846.84,49229787.89,16569657.96,10400078.75,11526351.17,87725875.74,17732302.29,38170971.11,20438668.84
2024-04,5295,9560,18252964717.57,14738644863.21,96546,7651723263.32,18671,127092433.09,10828603.38,116263829.69,8003257.27,124267086.98,49517121.27,16625864.37,10535258.93,11586510.13,88264754.66,27813775.42,36002332.34,8188556.91
2024-05,5337,9599,18762009937.92,14849201294.05,96904,8806467255.33,18710,128021133.25,10934376.65,117086756.64,7979036.16,125065792.78,49804454.64,16682070.82,10577371.99,11646669.06,88710566.51,11559721.69,36355226.26,24795504.58
2024-06,5369,9644,19206149713.25,15066708764.7,96954,8598296069.09,18513,131576991.06,11052162.96,120524828.11,8088835.44,128613663.51,50091788.06,16738277.24,10632592.62,11706827.95,89169485.86,-10263718.73,39444177.68,49707896.39
2024-07,5404,9676,19621779749.8,15156191550.86,97984,9208813446.95,18398,131891461.86,11166559.19,120724902.68,8087051.35,128811954.07,50379121.45,16794483.66,10730752.98,11766986.89,89671344.96,16644522.72,39140609.1,22496086.38
2024-08,5431,9714,19809158221.07,15327669797.34,98089,8409282346.3,18354,133730383.64,11261838.13,122468545.56,8040382.96,130508928.48,50666454.83,16850690.14,10792428.06,11827145.78,90136718.81,6230195.35,40372209.69,34142014.29
2024-09,5437,9737,19784005594.34,15418666836.23,97081,7684771688.56,17949,137239946.47,11337245.72,125902700.68,8044671.02,133947371.7,50953788.24,16906896.54,10736905.63,11887304.67,90484895.13,-21128089.13,43462476.6,64590565.7
