shock_id,shock_name,shock_type,shock_scale,direction,region_scope,sector_scope,start_month,peak_month,end_month,recovery_end_month,duration_months,recovery_months,peak_magnitude,signed_peak_intensity,persistence,recovery_shape
ES001,Exchange-rate volatility,FX_SHOCK,SYSTEMIC,NEGATIVE,ALL,ALL,2023-11,2024-01,2024-04,2024-05,6,1,0.63024493,-0.63024493,0.8588181,1.61473409
ES002,National economic activity expansion,ACTIVITY_BOOM,SYSTEMIC,POSITIVE,ALL,ALL,2026-10,2026-11,2026-12,2026-12,3,3,0.95843792,0.95843792,0.72256945,1.4369437
ES003,National economic activity expansion,ACTIVITY_BOOM,SYSTEMIC,POSITIVE,ALL,ALL,2021-03,2021-06,2022-02,2022-07,12,5,0.52852827,0.52852827,0.87979028,2.05969525
ES004,Financial confidence shock,FINANCIAL_CONFIDENCE_SHOCK,SYSTEMIC,POSITIVE,ALL,ALL,2026-01,2026-02,2026-04,2026-08,4,4,0.68870643,0.68870643,0.69673696,1.53224633
ES005,Digital adoption acceleration,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,POSITIVE,ALL,ALL,2022-03,2022-09,2023-05,2023-12,15,7,0.6762935,0.6762935,0.76820478,1.3076835
ES006,Regional drought,REGIONAL_DROUGHT,REGIONAL,NEGATIVE,EAST,ALL,2023-09,2023-12,2024-01,2024-04,5,3,0.73142844,-0.73142844,0.85119562,1.23908277
ES007,Regional flooding,REGIONAL_FLOOD,REGIONAL,NEGATIVE,NORTH,ALL,2023-05,2023-08,2023-09,2024-04,5,7,0.85228799,-0.85228799,0.71692871,1.14386183
ES008,Regional flooding,REGIONAL_FLOOD,REGIONAL,NEGATIVE,LITORAL,ALL,2024-04,2024-05,2024-06,2024-11,3,5,0.93668146,-0.93668146,0.64706457,1.39888894
ES009,Regional tourism slump,REGIONAL_TOURISM_SLUMP,REGIONAL,NEGATIVE,LITORAL,ALL,2021-04,2021-04,2021-06,2021-10,3,4,0.88367575,-0.88367575,0.7562149,1.38957192
ES010,Regional infrastructure disruption,REGIONAL_INFRASTRUCTURE_DISRUPTION,REGIONAL,NEGATIVE,MONTEVIDEO,ALL,2021-12,2021-12,2021-12,2022-02,1,2,0.78784607,-0.78784607,0.62806958,1.58956974
ES011,Regional infrastructure disruption,REGIONAL_INFRASTRUCTURE_DISRUPTION,REGIONAL,NEGATIVE,METROPOLITAN,ALL,2023-02,2023-03,2023-03,2023-06,2,3,0.5951373,-0.5951373,0.58714538,1.53749739
ES012,Import cost pressure,IMPORT_COST_PRESSURE,SECTORAL,NEGATIVE,ALL,TRADE_IMPORT,2026-03,2026-04,2026-05,2026-08,3,3,0.42180409,-0.42180409,0.76569185,1.75817897
