transaction_id,account_id,transaction_datetime,transaction_type,direction,channel,amount,counterparty_type,transfer_scope,counterparty_bank_id,transaction_branch_id,transaction_status,merchant_category,failure_reason
T0000000001,A0000509,2021-01-01 00:26:42,SERVICE_PAYMENT,DEBIT,AUTOMATIC,1314.83,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000002,A0002073,2021-01-01 05:59:34,TRANSFER_OUT,DEBIT,MOBILE,2222.29,SUPPLIER,,,,COMPLETED,,
T0000000003,A0003714,2021-01-01 08:18:27,LOAN_PAYMENT,DEBIT,AUTOMATIC,3013.06,LOAN_ACCOUNT,,,,COMPLETED,,
T0000000004,A0007767,2021-01-01 08:18:34,TRANSFER_OUT,DEBIT,MOBILE,12017.41,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000005,A0008666,2021-01-01 08:18:34,TRANSFER_IN,CREDIT,MOBILE,12017.41,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000006,A0002073,2021-01-01 09:04:44,TRANSFER_IN,CREDIT,BRANCH,35015.54,BTYT_CUSTOMER,INTERNAL,B000,001,FAILED,,INSUFFICIENT_FUNDS
T0000000007,A0008665,2021-01-01 09:06:47,TRANSFER_IN,CREDIT,BRANCH,5100.56,OTHER_BANK,DOMESTIC_EXTERNAL,B007,008,COMPLETED,,
T0000000008,A0008325,2021-01-01 09:09:49,TRANSFER_IN,CREDIT,BRANCH,49136.44,EMPLOYER,,,028,COMPLETED,,
T0000000009,A0012171,2021-01-01 09:15:24,SERVICE_PAYMENT,DEBIT,MOBILE,5361.32,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000010,A0007634,2021-01-01 09:25:04,TRANSFER_OUT,DEBIT,BRANCH,6665.86,OTHER_BANK,DOMESTIC_EXTERNAL,B001,037,COMPLETED,,
T0000000011,A0002481,2021-01-01 09:25:55,CASH_DEPOSIT,CREDIT,BRANCH,11615.44,OTHER,,,017,COMPLETED,,
T0000000012,A0002346,2021-01-01 09:29:50,TRANSFER_IN,CREDIT,WEB,40195.88,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000013,A0002481,2021-01-01 09:29:50,TRANSFER_OUT,DEBIT,WEB,40195.88,BTYT_CUSTOMER,INTERNAL,B000,,COMPLETED,,
T0000000014,A0009797,2021-01-01 09:31:23,TRANSFER_IN,CREDIT,BRANCH,10052.37,EMPLOYER,,,005,COMPLETED,,
T0000000015,A0002481,2021-01-01 09:35:44,TRANSFER_OUT,DEBIT,BRANCH,54932.5,BTYT_CUSTOMER,INTERNAL,B000,022,COMPLETED,,
T0000000016,A0004186,2021-01-01 09:35:44,TRANSFER_IN,CREDIT,BRANCH,54932.5,BTYT_CUSTOMER,INTERNAL,B000,022,COMPLETED,,
T0000000017,A0002620,2021-01-01 09:36:27,TRANSFER_IN,CREDIT,BRANCH,29743.38,EMPLOYER,,,024,COMPLETED,,
T0000000018,A0011549,2021-01-01 09:39:25,TRANSFER_OUT,DEBIT,WEB,82.22,OTHER_BANK,DOMESTIC_EXTERNAL,B004,,COMPLETED,,
T0000000019,A0001337,2021-01-01 09:40:23,TRANSFER_IN,CREDIT,BRANCH,24384.56,EMPLOYER,,,024,COMPLETED,,
T0000000020,A0002481,2021-01-01 09:41:22,TRANSFER_OUT,DEBIT,MOBILE,30446.13,SUPPLIER,,,,COMPLETED,,
T0000000021,A0012171,2021-01-01 09:56:28,TRANSFER_IN,CREDIT,BRANCH,7809.58,EMPLOYER,,,005,COMPLETED,,
T0000000022,A0012172,2021-01-01 10:07:14,TRANSFER_IN,CREDIT,BRANCH,9551.07,BTYT_CUSTOMER,INTERNAL,B000,013,FAILED,,INSUFFICIENT_FUNDS
T0000000023,A0002620,2021-01-01 10:33:39,CASH_WITHDRAWAL,DEBIT,ATM,5449.85,OTHER,,,,COMPLETED,,
