account_id,customer_id,account_role
A0000100,C0000188,PRIMARY_TRANSACTIONAL
A0000220,C0000409,USD_RESERVE
A0014989,C0000409,PRIMARY_TRANSACTIONAL
A0000303,C0000510,PRIMARY_TRANSACTIONAL
A0000323,C0000533,USD_RESERVE
A0000324,C0000533,PAYROLL
A0000325,C0000533,PAYROLL
A0000326,C0000533,USD_RESERVE
A0015008,C0000533,USD_RESERVE
A0000509,C0000819,PRIMARY_TRANSACTIONAL
A0016330,C0000819,SECONDARY
A0000807,C0001319,PRIMARY_TRANSACTIONAL
A0000819,C0001329,PRIMARY_TRANSACTIONAL
A0000896,C0001441,PAYROLL
A0012662,C0001441,FIXED_TERM
A0000995,C0001546,PAYROLL
A0012668,C0001546,USD_RESERVE
A0001134,C0001727,PRIMARY_TRANSACTIONAL
A0001135,C0001727,SAVINGS
A0001309,C0002018,PRIMARY_TRANSACTIONAL
A0001337,C0002078,PRIMARY_TRANSACTIONAL
A0013800,C0002078,FIXED_TERM
A0017706,C0002078,USD_RESERVE
A0001485,C0002293,PAYROLL
A0001486,C0002293,USD_RESERVE
A0001487,C0002293,SECONDARY
A0001732,C0002685,PRIMARY_TRANSACTIONAL
A0001820,C0002828,FIXED_TERM
A0016460,C0002828,PAYROLL
A0001884,C0002949,USD_RESERVE
A0001885,C0002949,PRIMARY_TRANSACTIONAL
A0017760,C0002949,USD_RESERVE
A0001887,C0002955,PRIMARY_TRANSACTIONAL
A0001921,C0003012,PRIMARY_TRANSACTIONAL
A0001935,C0003052,PRIMARY_TRANSACTIONAL
A0001936,C0003052,USD_RESERVE
A0001937,C0003052,SAVINGS
A0002055,C0003211,PRIMARY_TRANSACTIONAL
A0016481,C0003211,USD_RESERVE
A0002070,C0003241,SAVINGS
A0002072,C0003241,BUSINESS_OPERATING
A0002073,C0003241,SECONDARY
A0019260,C0003241,SECONDARY
A0002089,C0003263,USD_RESERVE
A0019262,C0003263,PAYROLL
A0002346,C0003663,PRIMARY_TRANSACTIONAL
A0002481,C0003807,BUSINESS_OPERATING
A0002620,C0004037,PAYROLL
A0002622,C0004037,PAYROLL
A0002623,C0004037,SAVINGS
A0002624,C0004037,SAVINGS
A0002625,C0004037,FIXED_TERM
A0002627,C0004037,PAYROLL
A0002628,C0004038,USD_RESERVE
A0002629,C0004038,PRIMARY_TRANSACTIONAL
A0002630,C0004038,USD_RESERVE
A0002675,C0004102,BUSINESS_OPERATING
A0002676,C0004102,SECONDARY
A0015228,C0004102,FIXED_TERM
A0002755,C0004278,PRIMARY_TRANSACTIONAL
A0002819,C0004383,PRIMARY_TRANSACTIONAL
A0002825,C0004390,FIXED_TERM
A0002826,C0004390,PAYROLL
A0002835,C0004398,USD_RESERVE
