account_id,customer_id,account_role
A0000104,C0000192,USD_RESERVE
A0015271,C0000192,PRIMARY_TRANSACTIONAL
A0000126,C0000229,USD_RESERVE
A0019230,C0000229,PRIMARY_TRANSACTIONAL
A0000303,C0000475,PAYROLL
A0000304,C0000475,SAVINGS
A0012871,C0000475,SECONDARY
A0000309,C0000478,PAYROLL
A0016531,C0000478,PAYROLL
A0000336,C0000556,PAYROLL
A0000337,C0000556,USD_RESERVE
A0016536,C0000556,FIXED_TERM
A0000356,C0000594,PRIMARY_TRANSACTIONAL
A0000357,C0000594,SAVINGS
A0017857,C0000594,USD_RESERVE
A0000370,C0000607,PAYROLL
A0000371,C0000607,SECONDARY
A0000406,C0000669,PRIMARY_TRANSACTIONAL
A0000407,C0000669,USD_RESERVE
A0000417,C0000690,FIXED_TERM
A0000418,C0000690,PAYROLL
A0000420,C0000690,PAYROLL
A0000458,C0000720,PAYROLL
A0000459,C0000720,USD_RESERVE
A0000490,C0000745,USD_RESERVE
A0000491,C0000745,SAVINGS
A0000492,C0000745,SAVINGS
A0000493,C0000745,USD_RESERVE
A0014055,C0000745,FIXED_TERM
A0019259,C0000745,PRIMARY_TRANSACTIONAL
A0000523,C0000819,PAYROLL
A0000524,C0000819,SAVINGS
A0000525,C0000819,PAYROLL
A0014058,C0000819,FIXED_TERM
A0000556,C0000886,SAVINGS
A0000557,C0000886,PRIMARY_TRANSACTIONAL
A0000558,C0000886,SAVINGS
A0014063,C0000886,SECONDARY
A0000659,C0001024,PAYROLL
A0017881,C0001024,SECONDARY
A0000677,C0001053,SECONDARY
A0019285,C0001053,PAYROLL
A0000704,C0001098,FIXED_TERM
A0015323,C0001098,PAYROLL
A0019289,C0001098,FIXED_TERM
A0000786,C0001218,PAYROLL
A0000787,C0001218,PAYROLL
A0000854,C0001315,USD_RESERVE
A0000855,C0001315,PAYROLL
A0000856,C0001315,PAYROLL
A0000860,C0001320,PAYROLL
A0000861,C0001320,SECONDARY
A0000862,C0001320,SAVINGS
A0000864,C0001320,PAYROLL
A0000891,C0001347,PRIMARY_TRANSACTIONAL
A0012936,C0001347,SAVINGS
A0001188,C0001728,PRIMARY_TRANSACTIONAL
A0017924,C0001728,USD_RESERVE
A0001265,C0001853,USD_RESERVE
A0001267,C0001853,PRIMARY_TRANSACTIONAL
A0001275,C0001864,PRIMARY_TRANSACTIONAL
A0001327,C0001970,FIXED_TERM
A0001328,C0001970,PAYROLL
A0001329,C0001970,USD_RESERVE
A0015369,C0001970,SAVINGS
A0001368,C0002066,PRIMARY_TRANSACTIONAL
A0001397,C0002115,PAYROLL
A0017945,C0002115,USD_RESERVE
A0001413,C0002145,PAYROLL
A0001420,C0002158,PRIMARY_TRANSACTIONAL
A0012978,C0002158,USD_RESERVE
A0001460,C0002223,USD_RESERVE
A0001461,C0002223,PRIMARY_TRANSACTIONAL
A0001462,C0002223,FIXED_TERM
A0015379,C0002223,FIXED_TERM
