bank_id,bank_name,mean_2021,median_2021,p05_2021,p95_2021,leader_pct_2021,top3_pct_2021,mean_2026,median_2026,p05_2026,p95_2026,leader_pct_2026,top3_pct_2026,mean_change_2021_2026,median_change_2021_2026,gain_pct_2021_2026,loss_pct_2021_2026,mean_rank_2021,mean_rank_2026,mean_rank_change
B001,BROU,0.3017657546835253,0.3010520101499948,0.27786915096591536,0.3286071376848859,1.0,1.0,0.299292167944628,0.3002381327062494,0.24853944400527286,0.34682046446621245,0.9918,0.9999,-0.0024735867388973533,-0.0005786069524594817,0.4889,0.5111,1.0,1.0095,-0.0095
B007,Santander Uruguay,0.15135764173640887,0.1506755481932452,0.12881702629709604,0.1759447759636125,0.0,0.9934,0.15196996935074594,0.1508084776639766,0.12082218691039147,0.18674950665891518,0.006,0.9707,0.0006123276143370733,0.0001557115440728729,0.505,0.495,2.3192,2.3949,-0.0757
B006,Itaú Uruguay,0.1410979278091334,0.14034171076446805,0.12029237828465404,0.16448502835860818,0.0,0.9722,0.14211053069365615,0.14121247632457828,0.11259457336347628,0.17565715251848363,0.0021,0.9377,0.0010126028845227298,0.0005657586690212546,0.5156,0.4844,2.7198,2.713,0.0068
B004,BBVA Uruguay,0.1010236046045603,0.10047437505715795,0.08026598429810763,0.12399721532224142,0.0,0.0289,0.10145810882005174,0.10052416983537313,0.0767015740906838,0.12884948587586684,0.0001,0.0685,0.000434504215491438,0.0001525973870674588,0.506,0.494,4.2611,4.2394,0.0217
B011,Scotiabank Uruguay,0.09077065375515221,0.09011911633078346,0.07185115331589008,0.11199318765591089,0.0,0.0055,0.09155553173638149,0.09043555695694774,0.06960730777420904,0.11728317499555943,0.0,0.0232,0.0007848779812292978,0.00044966782672458544,0.5188,0.4812,4.7151,4.6658,0.0493
B000,BTYT,0.05049767717090202,0.04974804481842533,0.03257631040379932,0.07110449033291041,0.0,0.0,0.050868373122691005,0.04997518499441457,0.034689213069680876,0.07020236464778708,0.0,0.0,0.0003706959517889784,0.0003809062006862561,0.5189,0.4811,6.5446,6.3578,0.1868
B009,Citibank Uruguay,0.04059891485385687,0.04022563333182376,0.0228350186123588,0.060718200729195856,0.0,0.0,0.040655317189070485,0.03999177160487076,0.02665180196573802,0.056953018387480896,0.0,0.0,5.640233521361342e-05,0.0003234883348532218,0.5192,0.4808,7.5471,7.2846,0.2625
B010,BTG Pactual Uruguay,0.030689146786741846,0.030149070330878727,0.013962665740356497,0.04950322365391342,0.0,0.0,0.030559413153884395,0.029882926969661737,0.01860386967902169,0.04492355230239907,0.0,0.0,-0.00012973363285745054,0.0003278823489345842,0.5217,0.4783,8.852,8.7532,0.0988
B002,BHU,0.030517397161414276,0.029896197320871194,0.015000003870796594,0.04774498060008038,0.0,0.0,0.03036208262528902,0.029894990118803262,0.018801848149939293,0.04370437606215326,0.0,0.0,-0.00015531453612525737,0.00033116339103239807,0.5281,0.4719,8.8728,8.7658,0.107
B005,Banco Nación,0.02554579751317857,0.02498687945504203,0.0100000040906682,0.04253475323517395,0.0,0.0,0.025442640865374008,0.024836068234245612,0.015145030020774912,0.03848741524688556,0.0,0.0,-0.00010315664780456287,0.0003758492725317048,0.5279,0.4721,9.6501,9.66,-0.0099
B008,Banque Heritage Uruguay,0.020554713226888573,0.019971827469568403,0.005051401965825616,0.03793173686753309,0.0,0.0,0.020471122894820705,0.019713286401163342,0.011799979854467957,0.03188837673616415,0.0,0.0,-8.359033206786803e-05,0.00041116808644315814,0.5302,0.4698,10.3831,10.6057,-0.2226
B003,Bandes,0.015580770698237729,0.014834005311611095,0.00500000354191681,0.03040441076704827,0.0,0.0,0.015254741603407104,0.014705816694331774,0.008589637121077943,0.024192827290106085,0.0,0.0,-0.0003260290948306256,0.0003857827257132771,0.5328,0.4672,11.1268,11.5503,-0.4235
