campaign_id,campaign_name,campaign_type,eligible_customers,selected_customers,exposed_customers,not_exposed_customers,responding_customers,positive_responses,neutral_responses,negative_responses,no_response_customers,selection_rate,exposure_rate,response_rate_exposed,positive_rate_exposed,reach_propensity,design_quality,offer_attractiveness,execution_quality
M001,Your First BTYT Account,ACQUISITION,6416,1186,1005,181,207,97,63,47,798,0.1848503740648379,0.8473861720067454,0.20597014925373133,0.09651741293532339,0.13925605541146305,0.6680106308216717,0.42908834914798083,0.6929497806769955
M002,Rural Investment 2021,CROSS_SELL,89,19,15,4,2,1,0,1,13,0.21348314606741572,0.7894736842105263,0.13333333333333333,0.06666666666666667,0.12003717223414456,0.3993269442519874,0.25916537822976843,0.6496371666818553
M003,Payroll with BTYT 2021,ACQUISITION,5986,1510,1259,251,238,127,74,37,1021,0.2522552622786502,0.8337748344370861,0.18903891977760126,0.10087370929308975,0.17546381064731745,0.6646193808130724,0.17283491727249076,0.8080904642368714
M004,Save in USD 2021,CROSS_SELL,9570,2135,1745,390,286,139,96,51,1459,0.22309299895506793,0.8173302107728337,0.16389684813753583,0.07965616045845272,0.20296991265549316,0.42994767650521715,0.763734581066076,0.7000958058080313
M005,Back to University 2022,ACQUISITION,5499,1237,1137,100,268,150,85,33,869,0.22494999090743772,0.9191592562651576,0.2357080035180299,0.13192612137203166,0.20589187085840183,0.4295528857928019,0.6250771322667088,0.7964916637891177
M006,SME Growth 2022,CROSS_SELL,756,198,156,42,35,20,9,6,121,0.2619047619047619,0.7878787878787878,0.22435897435897437,0.1282051282051282,0.20687023949060057,0.5416978653566288,0.4964695438380382,0.7898106159990396
M007,BTYT Digital 2022,ACTIVATION,10875,1843,1694,149,296,143,92,61,1398,0.1694712643678161,0.919153553988063,0.17473435655253838,0.08441558441558442,0.1228425602255988,0.6918747873224518,0.24554977109629325,0.8402539353146893
M008,Your First Home 2023,CROSS_SELL,7198,2856,2431,425,456,234,148,74,1975,0.39677688246735204,0.8511904761904762,0.18757712875359933,0.0962566844919786,0.3900893939523982,0.7258744524261957,0.6024903807020949,0.8722008940955224
M009,Premium Upgrade 2023,UPSELL,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1716205416710146,0.6317184406870132,0.6015429861555834,0.6349749462365485
M010,Business Liquidity 2023,CROSS_SELL,831,232,191,41,30,17,7,6,161,0.27918170878459686,0.8232758620689655,0.15706806282722513,0.08900523560209424,0.21180856804898032,0.6754054632771981,0.3819518415037631,0.7690104626586254
M011,Summer East Coast 2024,ACQUISITION,139,24,22,2,7,3,1,3,15,0.17266187050359713,0.9166666666666666,0.3181818181818182,0.13636363636363635,0.13266608705049482,0.5408115116137869,0.619164228354515,0.8607213038429189
M012,Drive with BTYT 2024,CROSS_SELL,9622,2810,2489,321,511,250,143,118,1978,0.2920390771149449,0.8857651245551601,0.20530333467255926,0.1004419445560466,0.2908174412846333,0.8161806582613429,0.7479702566729575,0.85046499955098
M013,Stay with BTYT 2024,RETENTION,12441,2640,2336,304,442,216,160,66,1894,0.21220159151193635,0.8848484848484849,0.1892123287671233,0.09246575342465753,0.1875039356929474,0.6284333298247015,0.5264006460044363,0.8923222285179947
M014,Rural Investment 2025,CROSS_SELL,169,39,31,8,6,4,0,2,25,0.23076923076923078,0.7948717948717948,0.1935483870967742,0.12903225806451613,0.2241367851560263,0.6156106277213039,0.4063577861097508,0.800449500118834
M015,Business Equipment 2025,CROSS_SELL,1198,149,121,28,28,17,5,6,93,0.12437395659432388,0.8120805369127517,0.23140495867768596,0.14049586776859505,0.06245790550131838,0.7133942020538568,0.42669454110751637,0.8068519325218083
M016,Save in USD 2025,CROSS_SELL,12494,2727,2419,308,510,275,150,85,1909,0.21826476708820233,0.8870553722038871,0.21083092186854072,0.11368334022323275,0.19425864304419846,0.686694540092503,0.6917580962120824,0.7442980364002056
M017,Payroll with BTYT 2026,ACQUISITION,1085,348,314,34,75,43,18,14,239,0.3207373271889401,0.9022988505747126,0.23885350318471338,0.13694267515923567,0.26041049148512463,0.5915145248302973,0.2839542314772004,0.6823666611966519
M019,BTYT Eastern Roots 2026,CROSS_SELL,4047,1087,952,135,160,86,44,30,792,0.2685940202619224,0.8758049678012879,0.16806722689075632,0.09033613445378151,0.25070326871729354,0.6165852414799615,0.3157277196011896,0.7826210449661191
M020,BTYT Cerca 2026,ACTIVATION,388,147,130,17,14,5,7,2,116,0.3788659793814433,0.8843537414965986,0.1076923076923077,0.038461538461538464,0.3697643530986989,0.34896296775292984,0.2892040390795435,0.8887151790271068
M018,Premium Upgrade 2026,UPSELL,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05064910089226834,0.4389450653976656,0.35126534811632276,0.9278884765564513
