metric,value
inflow_reconciliation,0
outflow_reconciliation,0
balance_identity,0
continuity,0
negative_balances,0
duplicate_tx_id,0
duplicate_balance_pk,0
bad_nonbranch_fk,0
bad_branch_missing,0
bad_direction,0
completed_with_reason,0
failed_without_reason,0
internal_pair_size,0
internal_pair_direction,0
internal_pair_amount,0
internal_pair_timing,0
internal_pair_self_account,0
internal_pair_self_customer,0
internal_pair_currency,0
completed_internal_unpaired,0
nontransfer_scope_present,0
nontransfer_bank_present,0
bad_counterparty_bank_fk,0
bad_internal_scope,0
bad_internal_bank,0
external_scope_missing,0
bad_external_scope,0
external_bank_missing,0
external_btyt_bank,0
bad_domestic_bank_scope,0
bad_international_bank_scope,0
other_transfer_scope_present,0
other_transfer_bank_present,0
validation_pass,True
errors,
