world_seed,leader_2021_id,leader_2021_name,leader_2021_weight,leader_2026_id,leader_2026_name,leader_2026_weight,leadership_changed
20260901,B001,BROU,0.31192983784934614,B001,BROU,0.3167078160216289,False
20260902,B001,BROU,0.322793424925753,B001,BROU,0.25853242984069696,False
20260903,B001,BROU,0.30122408294954,B001,BROU,0.28769412653965803,False
20260904,B001,BROU,0.2893463471157558,B001,BROU,0.30311111815069747,False
20260905,B001,BROU,0.31007299203774696,B001,BROU,0.31350644368481906,False
20260906,B001,BROU,0.31441742064540007,B001,BROU,0.31329251614319475,False
20260907,B001,BROU,0.30898347140262056,B001,BROU,0.19660292567479742,False
20260908,B001,BROU,0.3020223363615599,B001,BROU,0.2959934397683432,False
20260909,B001,BROU,0.3127323665660239,B001,BROU,0.3239327405554193,False
20260910,B001,BROU,0.28507648980634903,B001,BROU,0.265855086613626,False
20260911,B001,BROU,0.3228014070446248,B001,BROU,0.3309280870344925,False
20260912,B001,BROU,0.32221663498066466,B001,BROU,0.3004728309831827,False
20260913,B001,BROU,0.3099607848356086,B001,BROU,0.28492705383630684,False
20260914,B001,BROU,0.3063883525531529,B001,BROU,0.2729623744866975,False
20260915,B001,BROU,0.30433572425407546,B001,BROU,0.29791984073276456,False
20260916,B001,BROU,0.28469158433923236,B007,Santander Uruguay,0.18942898750555306,True
20260917,B001,BROU,0.3182458931815718,B001,BROU,0.3221295569905026,False
20260918,B001,BROU,0.3357143886269911,B001,BROU,0.35363206264607033,False
20260919,B001,BROU,0.31546841920196744,B001,BROU,0.2987275650845357,False
20260920,B001,BROU,0.30747814513038285,B001,BROU,0.32735885443974583,False
20260921,B001,BROU,0.2832103518716238,B001,BROU,0.25879937828336463,False
20260922,B001,BROU,0.33661077881343604,B001,BROU,0.32565612388668586,False
20260923,B001,BROU,0.3096296434089266,B001,BROU,0.3206574208011366,False
20260924,B001,BROU,0.3070327903995951,B001,BROU,0.3075118411348425,False
20260925,B001,BROU,0.29431773742349143,B001,BROU,0.2882448904066885,False
20260926,B001,BROU,0.29214351529677307,B001,BROU,0.27027075778879245,False
20260927,B001,BROU,0.30574771119603217,B001,BROU,0.31527188482053015,False
20260928,B001,BROU,0.3082879913440418,B001,BROU,0.3177128088917177,False
20260929,B001,BROU,0.33271696584245647,B001,BROU,0.3323188078621551,False
