branch_id,branch_name,risk_group,structural_six_year_closure_prob,structural_six_year_closure_prob_pct,closures,closure_frequency_pct,mean_closing_year,local_shock_closures,shock_share_of_closures_pct,mean_closure_pressure
007,Santa Clara de Olimar,D_VULNERABLE,0.12,12.0,906,9.06,2022.887417218543,20,2.207505518763797,0.13410771862031837
014,Piriápolis,D_VULNERABLE,0.11,11.0,756,7.56,2023.0568783068784,19,2.513227513227513,0.12401896217982969
004,La Charqueada,D_VULNERABLE,0.095,9.5,748,7.48,2022.9625668449198,17,2.272727272727273,0.13829853207010967
011,Aceguá,D_VULNERABLE,0.1,10.0,722,7.22,2022.9432132963989,20,2.770083102493075,0.12983162455977806
016,La Paloma,D_VULNERABLE,0.095,9.5,699,6.99,2023.0214592274679,17,2.432045779685265,0.13920711406744354
006,Cerro Chato,D_VULNERABLE,0.09,9.0,696,6.96,2022.903735632184,24,3.4482758620689653,0.13447962336773195
009,Chuy,D_VULNERABLE,0.085,8.5,611,6.11,2023.0310965630115,10,1.6366612111292962,0.1320187490292337
002,Vergara,D_VULNERABLE,0.075,7.5,569,5.69,2022.9630931458698,16,2.81195079086116,0.14205493958367676
037,Colón,D_VULNERABLE,0.08,8.0,543,5.43,2022.95211786372,13,2.394106813996317,0.13520485216967892
025,Prado,C_STANDARD,0.048,4.8,338,3.38,2023.1568047337278,10,2.9585798816568047,0.10581856420157548
018,Pando,C_STANDARD,0.05,5.0,315,3.15,2023.0285714285715,8,2.5396825396825395,0.10344207849188265
010,Río Branco,C_STANDARD,0.045,4.5,312,3.12,2023.048076923077,7,2.2435897435897436,0.10969603943833671
028,Ciudad de la Costa,C_STANDARD,0.045,4.5,290,2.9,2022.9655172413793,7,2.413793103448276,0.10581627730644144
036,Artigas,C_STANDARD,0.04,4.0,257,2.57,2022.8988326848248,4,1.556420233463035,0.08865880053545531
033,Trinidad,C_STANDARD,0.038,3.8,249,2.49,2023.0602409638554,4,1.606425702811245,0.04093386778245685
023,Las Piedras,C_STANDARD,0.042,4.2,247,2.47,2023.093117408907,3,1.214574898785425,0.06481708050545862
026,Carrasco,C_STANDARD,0.035,3.5000000000000004,242,2.42,2023.099173553719,5,2.0661157024793386,0.09104133616905488
029,Florida,C_STANDARD,0.03,3.0,211,2.11,2023.0189573459716,7,3.3175355450236967,0.02981939746745114
035,Fray Bentos,C_STANDARD,0.032,3.2,199,1.99,2023.0854271356784,6,3.0150753768844223,0.05647992914927731
021,Durazno,C_STANDARD,0.03,3.0,197,1.97,2023.1675126903554,2,1.015228426395939,0.032067165668922086
003,José Pedro Varela,C_STANDARD,0.028,2.8000000000000003,174,1.74,2022.9885057471265,3,1.7241379310344827,0.02033685366927332
030,San José de Mayo,C_STANDARD,0.028,2.8000000000000003,157,1.57,2023.1210191082803,3,1.910828025477707,0.025995725637775777
012,Minas,B_STRATEGIC,0.012,1.2,88,0.88,2023.090909090909,2,2.272727272727273,-0.044314360323483154
024,Tacuarembó,B_STRATEGIC,0.013,1.3,79,0.79,2023.1518987341772,0,0.0,-0.03755084639738526
015,Punta del Este,B_STRATEGIC,0.01,1.0,74,0.74,2023.4054054054054,0,0.0,-0.030417598547173717
034,Paysandú,B_STRATEGIC,0.009,0.8999999999999999,69,0.69,2022.927536231884,0,0.0,-0.022115559912910518
031,Mercedes,B_STRATEGIC,0.011,1.0999999999999999,66,0.66,2023.469696969697,0,0.0,-0.0032908017951986668
027,Colonia del Sacramento,B_STRATEGIC,0.01,1.0,64,0.64,2023.34375,1,1.5625,-0.010014434460846485
020,Canelones,B_STRATEGIC,0.01,1.0,62,0.62,2023.1451612903227,1,1.6129032258064515,-0.021487388943502623
008,Rocha,B_STRATEGIC,0.011,1.0999999999999999,61,0.61,2023.049180327869,1,1.639344262295082,-0.02440586143108252
022,Rivera,B_STRATEGIC,0.012,1.2,57,0.57,2023.017543859649,2,3.508771929824561,-0.035643740360577526
019,WTC,B_STRATEGIC,0.009,0.8999999999999999,56,0.56,2023.1785714285713,0,0.0,0.006042709520943467
032,Salto,B_STRATEGIC,0.008,0.8,45,0.45,2022.8444444444444,0,0.0,-0.02391257586457016
005,Melo,B_STRATEGIC,0.006,0.6,35,0.35,2023.142857142857,0,0.0,-0.027460866345351526
013,Maldonado,B_STRATEGIC,0.006,0.6,32,0.32,2023.28125,0,0.0,-0.09937075468583666
017,Montevideo Centro,A_CORE,0.0015,0.15,6,0.06,2022.5,0,0.0,-0.19524449671810432
001,Treinta y Tres,A_CORE,6e-05,0.006,0,0.0,,0,,
