campaign_id,campaign_name,campaign_type,eligible_customers,selected_customers,exposed_customers,not_exposed_customers,responding_customers,positive_responses,neutral_responses,negative_responses,no_response_customers,selection_rate,exposure_rate,response_rate_exposed,positive_rate_exposed,reach_propensity,design_quality,offer_attractiveness,execution_quality
M001,Your First BTYT Account,ACQUISITION,3413,615,522,93,108,56,35,17,414,0.18019337825959567,0.848780487804878,0.20689655172413793,0.10727969348659004,0.12814440041693395,0.5515380059147558,0.33819647314972384,0.8756700025406491
M002,Rural Investment 2021,CROSS_SELL,37,18,13,5,3,1,0,2,10,0.4864864864864865,0.7222222222222222,0.23076923076923078,0.07692307692307693,0.5501720016150305,0.38023671495905154,0.7020720852564758,0.6519013987867575
M003,Payroll with BTYT 2021,ACQUISITION,3215,1552,1229,323,238,130,79,29,991,0.4827371695178849,0.791881443298969,0.193653376729048,0.10577705451586655,0.4735687447116475,0.35550749801738385,0.4487130256217196,0.5414999757749667
M004,Save in USD 2021,CROSS_SELL,4851,1300,1006,294,143,71,49,23,863,0.26798598227169657,0.7738461538461539,0.14214711729622267,0.0705765407554672,0.25053493458380716,0.6530519470785043,0.3295122625895882,0.5602029801075301
M005,Back to University 2022,ACQUISITION,2928,1071,971,100,239,138,69,32,732,0.36577868852459017,0.9066293183940243,0.24613800205973224,0.14212152420185376,0.3806845698224108,0.6560711599829162,0.7435136203046908,0.763888354566517
M006,SME Growth 2022,CROSS_SELL,356,162,128,34,22,11,7,4,106,0.4550561797752809,0.7901234567901234,0.171875,0.0859375,0.4708001596947681,0.2722860664379834,0.5806119876971613,0.8903893989558248
M007,BTYT Digital 2022,ACTIVATION,5390,2827,2558,269,545,297,171,77,2013,0.5244897959183673,0.9048461266360099,0.2130570758405004,0.11610633307271306,0.584435068501015,0.45765222393177385,0.6924762239432715,0.7140205241435496
M008,Your First Home 2023,CROSS_SELL,4379,1879,1563,316,196,105,58,33,1367,0.4290934003197077,0.8318254390633315,0.1253998720409469,0.0671785028790787,0.46986595201540393,0.2974668890910285,0.38088112896607523,0.8217887384744217
M009,Premium Upgrade 2023,UPSELL,1672,328,280,48,39,19,13,7,241,0.19617224880382775,0.8536585365853658,0.1392857142857143,0.06785714285714285,0.19090431794148935,0.684251038602212,0.5131197207114576,0.9229229830436467
M010,Business Liquidity 2023,CROSS_SELL,408,35,30,5,7,5,2,0,23,0.0857843137254902,0.8571428571428571,0.23333333333333334,0.16666666666666666,0.038363668387255606,0.2982922081247956,0.515334507000768,0.7648417195645566
M011,Summer East Coast 2024,ACQUISITION,58,16,16,0,4,2,1,1,12,0.27586206896551724,1.0,0.25,0.125,0.3060458414036929,0.6316401392658287,0.31720316119172887,0.5587921801517409
M012,Drive with BTYT 2024,CROSS_SELL,5383,1981,1761,220,332,166,103,63,1429,0.3680104031209363,0.8889449772841999,0.18852924474730268,0.09426462237365134,0.39784718538255276,0.5078039842766872,0.7782902437750174,0.9239266800928242
M013,Stay with BTYT 2024,RETENTION,6176,896,784,112,114,54,40,20,670,0.14507772020725387,0.875,0.14540816326530612,0.06887755102040816,0.11813953030952055,0.394192812084231,0.3871843180727666,0.774323967026785
M014,Rural Investment 2025,CROSS_SELL,71,12,12,0,2,2,0,0,10,0.16901408450704225,1.0,0.16666666666666666,0.16666666666666666,0.15592403816207054,0.7192589799106723,0.4573062149604553,0.7193342047406269
M015,Business Equipment 2025,CROSS_SELL,543,265,210,55,44,25,15,4,166,0.4880294659300184,0.7924528301886793,0.20952380952380953,0.11904761904761904,0.4537104468681041,0.6251493586812952,0.42796424430614677,0.6969198302119093
M016,Save in USD 2025,CROSS_SELL,6457,2655,2404,251,360,180,111,69,2044,0.4111816633111352,0.9054613935969869,0.1497504159733777,0.07487520798668885,0.4364788262691788,0.4662405968465042,0.45070012297567263,0.8423079208668559
M017,Payroll with BTYT 2026,ACQUISITION,613,218,201,17,32,23,8,1,169,0.3556280587275693,0.9220183486238532,0.15920398009950248,0.11442786069651742,0.28905098367617343,0.22765096006875848,0.32258687225281246,0.8574168522680269
M019,BTYT Eastern Roots 2026,CROSS_SELL,1992,717,645,72,109,53,36,20,536,0.35993975903614456,0.899581589958159,0.16899224806201552,0.08217054263565891,0.3707024490801516,0.6461638053273419,0.19276198318970927,0.7401793935067005
M020,BTYT Cerca 2026,ACTIVATION,189,61,49,12,10,6,3,1,39,0.32275132275132273,0.8032786885245902,0.20408163265306123,0.12244897959183673,0.26057014625979513,0.8017162339005828,0.1403491085695845,0.7543192675046382
M018,Premium Upgrade 2026,UPSELL,1978,371,322,49,38,22,10,6,284,0.18756319514661274,0.8679245283018868,0.11801242236024845,0.06832298136645963,0.177544315326487,0.4076624275173892,0.45296459712628423,0.681326161963306
