campaign_id,campaign_name,campaign_type,eligible_customers,production_selection_rate,selection_mean,selection_p05,selection_p50,selection_p95,production_exposure_rate,exposure_mean,exposure_p05,exposure_p50,exposure_p95,production_response_rate,response_mean,response_p05,response_p50,response_p95,production_events_per_exposed,events_per_exposed_mean,events_per_exposed_p05,events_per_exposed_p50,events_per_exposed_p95,zero_selected_world_share,zero_exposed_world_share,zero_response_world_share,all_selected_exposed_world_share,positive_mean,neutral_mean,negative_mean
M001,Your First BTYT Account,ACQUISITION,3413,0.18019337825959567,0.1801754761207149,0.11690594784646938,0.17755640199238207,0.25169938470553743,0.848780487804878,0.84853249551926,0.7814950659206673,0.8515544458762887,0.9048566072577712,0.20689655172413793,0.20622201193640657,0.1291425271078305,0.2035172064777328,0.29358309743869576,1.6781609195402298,1.6784085711975936,1.5378769579856537,1.6754492151643106,1.8278365287076483,0.0,0.0,0.0,0.0,54.6359,35.0377,17.899
M002,Rural Investment 2021,CROSS_SELL,37,0.4864864864864865,0.48641081081081083,0.32432432432432434,0.4864864864864865,0.6486486486486487,0.7222222222222222,0.7239703348743518,0.5263157894736842,0.7307692307692307,0.9,0.23076923076923078,0.23182414997504922,0.0,0.2222222222222222,0.46153846153846156,1.5384615384615385,1.5358339291050116,1.2,1.5,1.9166666666666667,0.0,0.0,0.0562,0.0081,0.9985,0.0517,1.966
M003,Payroll with BTYT 2021,ACQUISITION,3215,0.4827371695178849,0.4833242301710731,0.39502332814930013,0.48367029548989116,0.5726283048211509,0.791881443298969,0.7916193698164006,0.7221812610084837,0.7934534199615817,0.8539791390179163,0.193653376729048,0.194133481876442,0.12130208617861697,0.19121048573631458,0.27654787202693704,1.4759967453213996,1.4759343013878823,1.3813322656670495,1.4733299694565645,1.5802671642123625,0.0,0.0,0.0,0.0,127.5501,79.535,31.6749
M004,Save in USD 2021,CROSS_SELL,4851,0.26798598227169657,0.2682151102865389,0.19541331684188828,0.26613069470212325,0.34736136878994006,0.7738461538461539,0.7744172559038527,0.7040578992307182,0.7759941505491996,0.8400016077170418,0.14214711729622267,0.14188163070924278,0.07946970223497524,0.138261822258459,0.21570814837005362,1.55168986083499,1.5505084251226924,1.4406433322892502,1.5470702677958343,1.6708348321342925,0.0,0.0,0.0,0.0,69.8461,48.8427,24.292
M005,Back to University 2022,ACQUISITION,2928,0.36577868852459017,0.365326468579235,0.28276980874316937,0.3637295081967213,0.45150273224043713,0.9066293183940243,0.9064756324615464,0.8543291053550434,0.9092608735747383,0.9500030450669914,0.24613800205973224,0.24664049525564555,0.16666666666666666,0.24426662672532862,0.3340714186169207,1.631307929969104,1.6312642455558115,1.506688898180118,1.626942802307339,1.7693065970574275,0.0,0.0,0.0,0.0,134.9929,69.6792,34.4754
M006,SME Growth 2022,CROSS_SELL,356,0.4550561797752809,0.455583988764045,0.35674157303370785,0.4550561797752809,0.5533707865168539,0.7901234567901234,0.7898965048310339,0.7027027027027027,0.7925531914893617,0.867653135634419,0.171875,0.17208309467216248,0.0890979097909791,0.167911071488271,0.26811594202898553,1.6484375,1.6485456567521843,1.4811320754716981,1.644927536231884,1.8314097398111902,0.0,0.0,0.0,0.0,10.8293,7.0288,4.1927
M007,BTYT Digital 2022,ACTIVATION,5390,0.5244897959183673,0.5241268645640074,0.4365491651205937,0.5241187384044527,0.6105751391465677,0.9048461266360099,0.9044037918182303,0.8537355178149488,0.9064288589495078,0.9471081802600047,0.2130570758405004,0.21275355716199187,0.1388587576247671,0.2105162253793994,0.2944555975322669,1.7541047693510554,1.7536313717668182,1.607908959556483,1.7505732475638067,1.9090280370684662,0.0,0.0,0.0,0.0,290.3822,171.3323,81.8083
M008,Your First Home 2023,CROSS_SELL,4379,0.4290934003197077,0.42920490979675724,0.34345741036766386,0.42840831240009136,0.5165562913907285,0.8318254390633315,0.831366695296664,0.7685314731248482,0.833514784627778,0.8870232201603373,0.1253998720409469,0.12527788574563611,0.06782087798398324,0.12202735816887669,0.19555567922623013,1.6327575175943698,1.6314294882810576,1.5094603150223236,1.6281366411686564,1.76443160177449,0.0,0.0,0.0,0.0,102.7963,58.3934,34.4712
M009,Premium Upgrade 2023,UPSELL,1672,0.19617224880382775,0.19620316985645933,0.12858851674641147,0.194377990430622,0.27093301435406697,0.8536585365853658,0.8545203862316432,0.7860225496925706,0.8571428571428571,0.9135464475041805,0.1392857142857143,0.1391241111880478,0.07079509870660314,0.13543741699867196,0.21905414220482705,1.6857142857142857,1.6846858492097774,1.5326605855363775,1.6823781873264327,1.845131689704058,0.0,0.0,0.0,0.0,18.7109,13.0602,7.2111
M010,Business Liquidity 2023,CROSS_SELL,408,0.0857843137254902,0.08608455882352942,0.0392156862745098,0.08333333333333333,0.14460784313725492,0.8571428571428571,0.8577674832637152,0.7333333333333333,0.8636363636363636,0.9629629629629629,0.23333333333333334,0.23383843795777604,0.08333333333333333,0.22857142857142856,0.4,1.6333333333333333,1.635747581596878,1.368421052631579,1.625,1.9375,0.0,0.0,0.0097,0.0247,4.8985,2.032,0.1239
