world,eligible_relationships,selected_relationships,exposed_relationships,responding_relationships,positive_responses,neutral_responses,negative_responses,exposure_events,overall_selection_rate,overall_exposure_rate,overall_response_rate_exposed,events_per_exposed_relationship
1,50109,16760,14478,2697,1437,818,442,24357,0.33447085353928435,0.8638424821002386,0.1862826357231662,1.6823456278491504
2,50109,17674,14989,2605,1236,896,473,24064,0.35271108982418325,0.8480819282561955,0.17379411568483555,1.6054439922609913
3,50109,17105,14813,2433,1285,709,439,24365,0.34135584425951426,0.8660040923706519,0.16424762033349086,1.6448389927766152
4,50109,17602,15438,2352,1262,712,378,25360,0.35127422219561355,0.8770594250653335,0.15235134084726001,1.6426998315844021
5,50109,15890,13644,2312,1255,706,351,22188,0.31710870302740024,0.8586532410320956,0.16945177367340955,1.6262093227792436
6,50109,17298,15161,2596,1320,827,449,25189,0.34520744776387474,0.8764597063244306,0.17122881076446145,1.6614339423520876
7,50109,17031,14668,2588,1372,840,376,24128,0.339879063641262,0.8612530092184839,0.17643850559040086,1.6449413689664576
8,50109,16921,14688,2517,1250,801,466,24129,0.33768384920872496,0.868033804148691,0.17136437908496732,1.6427696078431373
9,50109,17680,15384,2626,1365,849,412,26097,0.35283082879323074,0.8701357466063349,0.17069682787311494,1.6963728549141965
10,50109,17493,15164,2650,1396,849,405,25193,0.34909896425791775,0.8668610301263362,0.17475600105513056,1.6613690319177
11,50109,17347,15052,2405,1187,744,474,24885,0.3461853160110958,0.8677004669395284,0.15977943130480998,1.6532686686154663
12,50109,16134,13910,2515,1276,835,404,22817,0.3219780877686643,0.8621544564274204,0.18080517613227895,1.640330697340043
13,50109,16850,14216,2628,1425,825,378,23084,0.3362669380749965,0.843679525222552,0.18486212718064154,1.6238041643218908
14,50109,17103,14756,2388,1103,856,429,24698,0.3413159312698318,0.8627726129918728,0.16183247492545405,1.6737598265112497
15,50109,17402,14890,2275,1208,702,365,24951,0.34728292322736437,0.8556487760027583,0.15278710543989255,1.67568838146407
16,50109,17232,14817,2926,1478,891,557,25287,0.3438903191043525,0.8598537604456824,0.19747587230883445,1.7066207734359182
17,50109,16987,14700,2535,1339,758,438,24393,0.33900097786824723,0.8653676340731148,0.17244897959183675,1.6593877551020408
18,50109,16767,14592,2454,1295,755,404,24118,0.3346105490031731,0.8702809089282519,0.16817434210526316,1.6528234649122806
19,50109,15800,13655,2851,1452,949,450,22195,0.3153126184916881,0.864240506329114,0.2087879897473453,1.625411937019407
20,50109,16513,14327,2435,1229,789,417,24147,0.3295415993134966,0.8676194513413674,0.1699588190130523,1.6854191386891884
21,50109,17480,15015,2707,1417,870,420,24928,0.34883952982498156,0.8589816933638444,0.18028638028638028,1.6602064602064601
22,50109,16158,14143,2579,1406,733,440,22876,0.3224570436448542,0.8752939720262408,0.1823516934172382,1.6174786113271584
23,50109,17295,15066,2510,1279,827,404,24757,0.345147578279351,0.8711188204683434,0.16660029204832072,1.6432364263905483
24,50109,16547,14343,2484,1287,787,410,23725,0.3302201201380989,0.866803650208497,0.1731855260405773,1.654116990866625
25,50109,17168,14776,2652,1307,893,452,25064,0.3426131034345128,0.8606710158434296,0.17948023822414727,1.6962642122360585
26,50109,15866,13584,2419,1217,745,457,22526,0.31662974715121034,0.8561704273288794,0.17807714958775028,1.6582744405182568
27,50109,18388,16093,2855,1410,934,511,27633,0.366960027140833,0.8751903415270829,0.17740632573168458,1.7170819611011
28,50109,16758,14529,2497,1220,823,454,23149,0.3344309405496019,0.8669889008234873,0.17186317021130154,1.5932961662881133
29,50109,17777,15167,2493,1217,892,384,25008,0.3547666087928316,0.8531810766721044,0.16437001384584954,1.6488428825740093
30,50109,16880,14475,2422,1231,705,486,23859,0.3368656329202339,0.8575236966824644,0.16732297063903281,1.6482901554404146
31,50109,18016,15569,3011,1647,865,499,25779,0.3595362110598894,0.8641762877442274,0.1933971353330336,1.6557903526238038
32,50109,17001,14625,2174,1149,725,300,23636,0.3392803687960247,0.8602435150873478,0.14864957264957265,1.6161367521367522
33,50109,17120,14882,2799,1374,999,426,24557,0.34165519168213293,0.8692757009345794,0.18807955919903238,1.6501142319580702
