loan_id,origination_month_internal,lifecycle_seed,resolution_month_internal,terminal_event_internal,pre2021_inherited_state
L0000001,2026-05,700001,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000002,2021-05,700002,2024-04,EARLY_PREPAYMENT,CURRENT
L0000003,2026-06,700003,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000004,2016-09,700004,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000005,2018-02,700005,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
L0000006,2022-05,700006,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000007,2024-12,700007,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000008,2025-08,700008,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000009,2011-03,700009,2026-06,SEVERE_RECOGNIZED_AT_CUTOFF,SEVERE_DELINQUENCY
L0000010,2012-08,700010,2022-05,EARLY_PREPAYMENT,CURRENT
L0000011,2013-03,700011,2018-05,SCHEDULED_MATURITY,CURRENT
L0000012,2016-06,700012,2021-03,EARLY_PREPAYMENT,CURRENT
L0000013,2021-03,700013,2023-03,EARLY_PREPAYMENT,CURRENT
L0000014,2021-10,700014,2026-07,SEVERE_RECOGNIZED_AT_CUTOFF,CURRENT
L0000015,2021-06,700015,2021-06,EARLY_PREPAYMENT,CURRENT
L0000016,2024-01,700016,2024-12,EARLY_PREPAYMENT,CURRENT
L0000017,2025-05,700017,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000018,2006-04,700018,2009-09,SCHEDULED_MATURITY,CURRENT
L0000019,2011-07,700019,2026-08,SEVERE_RECOGNIZED_AT_CUTOFF,SEVERE_DELINQUENCY
L0000020,2014-04,700020,2016-12,SCHEDULED_MATURITY,CURRENT
L0000021,2019-04,700021,2020-11,SCHEDULED_MATURITY,CURRENT
L0000022,2024-09,700022,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000023,2013-05,700023,2018-08,SCHEDULED_MATURITY,CURRENT
L0000024,2015-11,700024,2019-07,EARLY_PREPAYMENT,CURRENT
L0000025,2018-09,700025,2020-12,SCHEDULED_MATURITY,CURRENT
L0000026,2024-01,700026,2026-03,RESTRUCTURE_AFTER_DEFAULT,CURRENT
L0000027,2026-08,700027,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000028,2023-07,700028,2026-05,SCHEDULED_MATURITY,CURRENT
L0000029,2025-11,700029,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000030,2026-10,700030,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000031,1999-06,700031,2024-03,WRITE_OFF,SEVERE_DELINQUENCY
L0000032,2000-06,700032,2010-05,SCHEDULED_MATURITY,CURRENT
L0000033,2001-06,700033,2026-04,RESTRUCTURE_AFTER_DEFAULT,EARLY_DELINQUENCY
L0000034,2004-08,700034,2004-08,EARLY_PREPAYMENT,CURRENT
L0000035,2007-08,700035,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
L0000036,2017-10,700036,2026-03,SEVERE_RECOGNIZED_AT_CUTOFF,EARLY_DELINQUENCY
L0000037,2018-04,700037,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000038,2019-09,700038,2023-03,EARLY_PREPAYMENT,CURRENT
L0000039,2022-11,700039,2023-10,SCHEDULED_MATURITY,CURRENT
L0000040,2025-02,700040,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000041,2018-12,700041,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000042,2023-07,700042,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000043,2026-03,700043,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000044,2022-06,700044,2026-03,EARLY_PREPAYMENT,CURRENT
L0000045,2022-03,700045,2025-07,SCHEDULED_MATURITY,CURRENT
L0000046,2023-03,700046,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000047,2023-03,700047,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000048,2026-02,700048,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000049,2020-09,700049,2021-09,FACILITY_EXPIRY,CURRENT
L0000050,2025-05,700050,2026-05,SCHEDULED_MATURITY,CURRENT
L0000051,2017-12,700051,2020-01,EARLY_PREPAYMENT,EARLY_DELINQUENCY
L0000052,2020-05,700052,2023-02,EARLY_PREPAYMENT,CURRENT
L0000053,2026-12,700053,2026-12,EARLY_PREPAYMENT,CURRENT
L0000054,2022-02,700054,2023-10,SCHEDULED_MATURITY,CURRENT
L0000055,2022-10,700055,2024-03,EARLY_PREPAYMENT,CURRENT
L0000056,2024-09,700056,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000057,2025-10,700057,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000058,2017-02,700058,2022-10,SCHEDULED_MATURITY,CURRENT
L0000059,2020-07,700059,2025-04,EARLY_PREPAYMENT,CURRENT
L0000060,2026-01,700060,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000061,2003-03,700061,2011-06,EARLY_PREPAYMENT,CURRENT
L0000062,2004-09,700062,2010-10,EARLY_PREPAYMENT,CURRENT
L0000063,2006-02,700063,2008-03,EARLY_PREPAYMENT,EARLY_DELINQUENCY
L0000064,2005-10,700064,2011-07,EARLY_PREPAYMENT,CURRENT
L0000065,2015-01,700065,2020-03,SCHEDULED_MATURITY,CURRENT
L0000066,2016-02,700066,2026-05,SCHEDULED_MATURITY,CURRENT
L0000067,2020-02,700067,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000068,2019-12,700068,2020-10,EARLY_PREPAYMENT,CURRENT
L0000069,2022-07,700069,2024-03,EARLY_PREPAYMENT,CURRENT
L0000070,2023-07,700070,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000071,2024-06,700071,2026-05,EARLY_PREPAYMENT,CURRENT
L0000072,2025-09,700072,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000073,2025-03,700073,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000074,2020-12,700074,2021-03,EARLY_PREPAYMENT,CURRENT
L0000075,2016-03,700075,2018-11,SCHEDULED_MATURITY,EARLY_DELINQUENCY
L0000076,2017-01,700076,2020-01,SCHEDULED_MATURITY,CURRENT
L0000077,2026-01,700077,2026-09,SEVERE_RECOGNIZED_AT_CUTOFF,CURRENT
L0000078,2026-03,700078,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000079,2004-02,700079,2006-12,SCHEDULED_MATURITY,CURRENT
L0000080,2010-07,700080,2014-06,SCHEDULED_MATURITY,CURRENT
L0000081,2014-11,700081,2019-06,EARLY_PREPAYMENT,EARLY_DELINQUENCY
L0000082,2018-04,700082,2019-02,SCHEDULED_MATURITY,EARLY_DELINQUENCY
L0000083,2020-08,700083,2021-11,SCHEDULED_MATURITY,EARLY_DELINQUENCY
L0000084,2023-01,700084,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000085,2024-03,700085,2026-06,EARLY_PREPAYMENT,CURRENT
L0000086,2025-12,700086,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000087,2022-12,700087,2026-09,EARLY_PREPAYMENT,CURRENT
L0000088,2023-01,700088,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000089,2022-07,700089,2026-01,EARLY_PREPAYMENT,CURRENT
L0000090,2023-07,700090,,OPEN_DEFAULT_AT_CUTOFF,CURRENT
L0000091,2012-10,700091,2013-10,SCHEDULED_MATURITY,EARLY_DELINQUENCY
L0000092,2013-06,700092,2014-05,SCHEDULED_MATURITY,CURRENT
L0000093,2025-10,700093,2025-10,EARLY_PREPAYMENT,CURRENT
L0000094,2024-12,700094,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000095,2025-08,700095,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000096,2021-08,700096,2022-08,FACILITY_EXPIRY,CURRENT
L0000097,2021-02,700097,2025-06,SCHEDULED_MATURITY,CURRENT
L0000098,2022-10,700098,2024-02,EARLY_PREPAYMENT,CURRENT
L0000099,2022-04,700099,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000100,2025-03,700100,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000101,2000-08,700101,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
L0000102,2004-03,700102,2009-10,SCHEDULED_MATURITY,CURRENT
L0000103,2006-12,700103,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
