realized_shocks,systemic_shocks,regional_shocks,sectoral_shocks,positive_shocks,negative_shocks,active_months,quiet_months,overlap_months,max_simultaneous_shocks,mean_abs_net_intensity,audit_world,world_seed
7,4,1,2,2,5,49,23,16,3,0.22058630166666665,1,20261001
6,3,2,1,1,5,28,44,19,3,0.2655115797222222,2,20268920
4,1,0,3,2,2,23,49,9,3,0.0722701936111111,3,20276839
5,1,3,1,0,5,46,26,1,2,0.16975103416666668,4,20284758
5,0,4,1,1,4,31,41,15,2,0.16987058666666666,5,20292677
7,6,0,1,5,2,50,22,23,2,0.2943349047222223,6,20300596
10,5,3,2,5,5,69,3,37,3,0.25815961125,7,20308515
4,2,2,0,2,2,33,39,2,2,0.10666438555555555,8,20316434
6,4,0,2,1,5,59,13,8,2,0.26912385125000005,9,20324353
7,3,3,1,2,5,37,35,5,2,0.12618390069444443,10,20332272
7,3,0,4,5,2,27,45,13,6,0.13689324916666668,11,20340191
6,4,1,1,1,5,49,23,21,3,0.21346594069444447,12,20348110
6,3,1,2,4,2,47,25,13,3,0.23721422430555558,13,20356029
2,2,0,0,0,2,14,58,7,2,0.06310071402777778,14,20363948
7,2,2,3,3,4,55,17,20,3,0.12813444847222222,15,20371867
7,5,1,1,2,5,58,14,4,2,0.2639632463888889,16,20379786
4,1,2,1,1,3,26,46,0,1,0.12739539833333335,17,20387705
2,0,2,0,0,2,22,50,0,1,0.08044483055555557,18,20395624
5,3,2,0,3,2,44,28,17,2,0.1921997479166667,19,20403543
6,3,2,1,2,4,28,44,17,3,0.23870546180555557,20,20411462
10,3,6,1,4,6,67,5,27,3,0.3572901484722222,21,20419381
6,3,1,2,1,5,42,30,18,3,0.1959197145833333,22,20427300
8,6,2,0,3,5,48,24,35,4,0.2483370604166667,23,20435219
8,3,2,3,5,3,48,24,22,4,0.19145408819444446,24,20443138
6,2,3,1,3,3,31,41,12,2,0.16770096777777777,25,20451057
8,4,1,3,2,6,57,15,32,4,0.4028960065277778,26,20458976
5,2,3,0,1,4,48,24,14,2,0.22810830569444443,27,20466895
11,8,2,1,7,4,64,8,35,4,0.30220649402777783,28,20474814
8,4,2,2,2,6,62,10,20,2,0.33837071569444443,29,20482733
7,3,1,3,2,5,50,22,12,3,0.28360285944444447,30,20490652
7,3,2,2,4,3,41,31,22,3,0.17028087972222222,31,20498571
4,2,2,0,3,1,33,39,16,2,0.12096910666666666,32,20506490
6,2,2,2,3,3,44,28,7,2,0.1706567834722222,33,20514409
6,3,3,0,5,1,37,35,9,2,0.16995378375000003,34,20522328
5,4,0,1,4,1,35,37,15,2,0.11380970944444445,35,20530247
4,4,0,0,3,1,29,43,11,2,0.10028952680555556,36,20538166
8,4,3,1,2,6,29,43,19,4,0.16221685083333334,37,20546085
11,7,2,2,4,7,59,13,37,4,0.36434311777777784,38,20554004
5,3,1,1,2,3,37,35,8,2,0.21098447402777776,39,20561923
7,4,2,1,3,4,50,22,12,2,0.2158073954166667,40,20569842
4,1,2,1,1,3,23,49,15,2,0.07502528125,41,20577761
5,4,0,1,2,3,33,39,10,3,0.11281683875,42,20585680
7,4,3,0,3,4,50,22,20,3,0.22380932819444446,43,20593599
6,4,2,0,3,3,46,26,22,3,0.22503196902777775,44,20601518
10,3,4,3,3,7,48,24,38,4,0.2563362183333333,45,20609437
9,7,1,1,3,6,61,11,29,4,0.31287786305555554,46,20617356
3,1,2,0,3,0,23,49,4,2,0.09321801861111112,47,20625275
10,3,4,3,4,6,48,24,36,5,0.20593531736111112,48,20633194
5,2,2,1,1,4,38,34,11,2,0.21980187222222222,49,20641113
5,1,2,2,1,4,41,31,11,2,0.1573955638888889,50,20649032
8,6,1,1,5,3,59,13,36,4,0.21147175333333332,51,20656951
8,4,3,1,4,4,58,14,18,4,0.22306237333333334,52,20664870
8,2,3,3,3,5,56,16,21,3,0.19487012916666668,53,20672789
4,3,1,0,1,3,29,43,9,2,0.11910177097222224,54,20680708
7,4,1,2,1,6,52,20,30,3,0.27008494055555554,55,20688627
6,4,1,1,3,3,32,40,9,2,0.14135612652777776,56,20696546
7,5,0,2,3,4,48,24,15,3,0.1478202911111111,57,20704465
13,5,4,4,9,4,61,11,36,4,0.32818079638888886,58,20712384
9,5,2,2,3,6,62,10,29,3,0.4971475679166666,59,20720303
9,4,4,1,1,8,36,36,21,4,0.2637263926388889,60,20728222
9,4,2,3,4,5,53,19,32,3,0.22225151888888892,61,20736141
6,4,0,2,1,5,46,26,20,3,0.16992153430555557,62,20744060
5,2,2,1,0,5,43,29,7,2,0.2460260861111111,63,20751979
5,4,1,0,2,3,38,34,12,3,0.3211551379166667,64,20759898
3,1,2,0,1,2,17,55,0,1,0.058030758749999994,65,20767817
11,8,2,1,3,8,57,15,38,4,0.46334289611111107,66,20775736
7,3,2,2,5,2,46,26,18,3,0.12487009847222222,67,20783655
4,2,1,1,2,2,36,36,15,2,0.1041993325,68,20791574
7,3,3,1,0,7,55,17,12,3,0.2686698402777778,69,20799493
8,5,3,0,2,6,53,19,21,3,0.4091430919444444,70,20807412
7,4,2,1,3,4,44,28,23,4,0.21190599930555556,71,20815331
4,4,0,0,1,3,29,43,8,2,0.08217529305555556,72,20823250
7,4,3,0,2,5,38,34,11,3,0.1786429715277778,73,20831169
8,5,2,1,3,5,62,10,16,3,0.37389529180555553,74,20839088
9,4,2,3,4,5,53,19,31,3,0.37341739027777776,75,20847007
7,4,2,1,2,5,46,26,22,3,0.18813426375,76,20854926
10,4,2,4,7,3,50,22,30,6,0.2409640088888889,77,20862845
9,4,4,1,4,5,64,8,43,3,0.34025287625,78,20870764
7,3,3,1,2,5,51,21,18,3,0.1954369688888889,79,20878683
7,5,2,0,2,5,62,10,17,3,0.3255880868055556,80,20886602
9,4,2,3,7,2,51,21,31,3,0.3452671111111111,81,20894521
9,5,2,2,2,7,49,23,27,4,0.24407453708333332,82,20902440
3,1,0,2,3,0,32,40,0,1,0.12901620069444447,83,20910359
8,5,0,3,5,3,50,22,33,4,0.24589615069444445,84,20918278
2,1,0,1,1,1,23,49,5,2,0.08428757972222223,85,20926197
7,4,2,1,4,3,47,25,15,4,0.22943586416666667,86,20934116
8,4,2,2,4,4,61,11,23,4,0.2522765736111111,87,20942035
6,5,1,0,2,4,51,21,18,3,0.2285963686111111,88,20949954
4,3,1,0,2,2,21,51,10,2,0.1730447125,89,20957873
5,2,2,1,3,2,34,38,12,2,0.10971236041666667,90,20965792
2,2,0,0,0,2,16,56,2,2,0.12059992791666667,91,20973711
6,4,0,2,2,4,37,35,12,3,0.23203913986111113,92,20981630
3,0,3,0,0,3,32,40,1,2,0.1417791698611111,93,20989549
6,2,2,2,2,4,52,20,21,2,0.2675662790277778,94,20997468
8,2,2,4,4,4,58,14,29,2,0.27897425666666664,95,21005387
8,3,3,2,2,6,54,18,18,3,0.2638563747222222,96,21013306
9,6,2,1,2,7,62,10,29,5,0.35501143888888886,97,21021225
5,3,1,1,4,1,45,27,15,2,0.2090582726388889,98,21029144
7,4,3,0,0,7,33,39,25,4,0.27679807486111113,99,21037063
9,4,5,0,4,5,51,21,22,5,0.25687192986111107,100,21044982
9,5,3,1,1,8,48,24,28,3,0.3440647044444444,101,21052901
5,2,2,1,1,4,25,47,6,3,0.1071739515277778,102,21060820
