shock_id,year_month,shock_type,shock_scale,phase,direction,profile_intensity,realized_intensity,directional_state
ES001,2023-11,FX_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.22692707,0.14301964,-0.14301964
ES001,2023-12,FX_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.57846462,0.36457439,-0.36457439
ES001,2024-01,FX_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,1.0,0.63024493,-0.63024493
ES001,2024-02,FX_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.8588181,0.54126575,-0.54126575
ES001,2024-03,FX_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.73756852,0.46484882,-0.46484882
ES001,2024-04,FX_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.6334372,0.39922058,-0.39922058
ES001,2024-05,FX_SHOCK,SYSTEMIC,RECOVERY,NEGATIVE,0.57009348,0.35929852,-0.35929852
ES002,2026-10,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.39229205,0.37598758,0.37598758
ES002,2026-11,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,1.0,0.95843792,0.95843792
ES002,2026-12,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.72256945,0.69253796,0.69253796
ES003,2021-03,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.15389305,0.08133683,0.08133683
ES003,2021-04,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.39229205,0.20733744,0.20733744
ES003,2021-05,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.67816084,0.35842717,0.35842717
ES003,2021-06,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,1.0,0.52852827,0.52852827
ES003,2021-07,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.87979028,0.46499403,0.46499403
ES003,2021-08,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.77403093,0.40909723,0.40909723
ES003,2021-09,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.68098489,0.35991977,0.35991977
ES003,2021-10,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.59912389,0.31665391,0.31665391
ES003,2021-11,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.52710337,0.27858903,0.27858903
ES003,2021-12,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.46374042,0.24509992,0.24509992
ES003,2022-01,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.40799431,0.21563653,0.21563653
ES003,2022-02,ACTIVITY_BOOM,SYSTEMIC,ACTIVE,POSITIVE,0.35894943,0.18971492,0.18971492
ES003,2022-03,ACTIVITY_BOOM,SYSTEMIC,RECOVERY,POSITIVE,0.32305449,0.17074343,0.17074343
ES003,2022-04,ACTIVITY_BOOM,SYSTEMIC,RECOVERY,POSITIVE,0.20401903,0.10782983,0.10782983
ES003,2022-05,ACTIVITY_BOOM,SYSTEMIC,RECOVERY,POSITIVE,0.11280672,0.05962154,0.05962154
ES003,2022-06,ACTIVITY_BOOM,SYSTEMIC,RECOVERY,POSITIVE,0.04893737,0.02586478,0.02586478
ES003,2022-07,ACTIVITY_BOOM,SYSTEMIC,RECOVERY,POSITIVE,0.01173845,0.0062041,0.0062041
ES004,2026-01,FINANCIAL_CONFIDENCE_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.39229205,0.27017406,0.27017406
ES004,2026-02,FINANCIAL_CONFIDENCE_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,1.0,0.68870643,0.68870643
ES004,2026-03,FINANCIAL_CONFIDENCE_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.69673696,0.47984722,0.47984722
ES004,2026-04,FINANCIAL_CONFIDENCE_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.48544239,0.33432729,0.33432729
ES004,2026-05,FINANCIAL_CONFIDENCE_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.43689815,0.30089456,0.30089456
ES004,2026-06,FINANCIAL_CONFIDENCE_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.28115336,0.19363213,0.19363213
ES004,2026-07,FINANCIAL_CONFIDENCE_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.15105256,0.10403087,0.10403087
ES004,2026-08,FINANCIAL_CONFIDENCE_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.0522247,0.03596749,0.03596749
ES005,2022-03,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.07229656,0.04889369,0.04889369
ES005,2022-04,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.1842927,0.12463596,0.12463596
ES005,2022-05,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.31858941,0.21545995,0.21545995
ES005,2022-06,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.46978445,0.31771217,0.31771217
ES005,2022-07,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.63493191,0.42940032,0.42940032
ES005,2022-08,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.81212304,0.54923354,0.54923354
ES005,2022-09,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,1.0,0.6762935,0.6762935
ES005,2022-10,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.76820478,0.5195319,0.5195319
ES005,2022-11,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.59013858,0.39910689,0.39910689
ES005,2022-12,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.45334728,0.30659582,0.30659582
ES005,2023-01,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.34826354,0.23552837,0.23552837
ES005,2023-02,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.26753772,0.18093402,0.18093402
ES005,2023-03,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.20552375,0.13899438,0.13899438
ES005,2023-04,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.15788433,0.10677615,0.10677615
ES005,2023-05,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.1212875,0.08202594,0.08202594
ES005,2023-06,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.10915875,0.07382335,0.07382335
ES005,2023-07,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.0892305,0.06034601,0.06034601
ES005,2023-08,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.07030227,0.04754496,0.04754496
ES005,2023-09,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.05250996,0.03551215,0.03551215
ES005,2023-10,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.03604636,0.02437792,0.02437792
ES005,2023-11,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.0212124,0.01434581,0.01434581
ES005,2023-12,DIGITAL_ACCELERATION_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.00856915,0.00579526,0.00579526
ES006,2023-09,REGIONAL_DROUGHT,REGIONAL,ACTIVE,NEGATIVE,0.15389305,0.11256176,-0.11256176
ES006,2023-10,REGIONAL_DROUGHT,REGIONAL,ACTIVE,NEGATIVE,0.39229205,0.28693356,-0.28693356
ES006,2023-11,REGIONAL_DROUGHT,REGIONAL,ACTIVE,NEGATIVE,0.67816084,0.49602613,-0.49602613
ES006,2023-12,REGIONAL_DROUGHT,REGIONAL,ACTIVE,NEGATIVE,1.0,0.73142844,-0.73142844
ES006,2024-01,REGIONAL_DROUGHT,REGIONAL,ACTIVE,NEGATIVE,0.85119562,0.62258868,-0.62258868
ES006,2024-02,REGIONAL_DROUGHT,REGIONAL,RECOVERY,NEGATIVE,0.76607605,0.56032982,-0.56032982
ES006,2024-03,REGIONAL_DROUGHT,REGIONAL,RECOVERY,NEGATIVE,0.46353256,0.3390409,-0.3390409
ES006,2024-04,REGIONAL_DROUGHT,REGIONAL,RECOVERY,NEGATIVE,0.19637182,0.14363193,-0.14363193
ES007,2023-05,REGIONAL_FLOOD,REGIONAL,ACTIVE,NEGATIVE,0.15389305,0.1311612,-0.1311612
ES007,2023-06,REGIONAL_FLOOD,REGIONAL,ACTIVE,NEGATIVE,0.39229205,0.3343458,-0.3343458
ES007,2023-07,REGIONAL_FLOOD,REGIONAL,ACTIVE,NEGATIVE,0.67816084,0.57798833,-0.57798833
ES007,2023-08,REGIONAL_FLOOD,REGIONAL,ACTIVE,NEGATIVE,1.0,0.85228799,-0.85228799
ES007,2023-09,REGIONAL_FLOOD,REGIONAL,ACTIVE,NEGATIVE,0.71692871,0.61102973,-0.61102973
ES007,2023-10,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.64523584,0.54992676,-0.54992676
ES007,2023-11,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.54092943,0.46102765,-0.46102765
ES007,2023-12,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.43910482,0.37424376,-0.37424376
ES007,2024-01,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.34018608,0.28993651,-0.28993651
ES007,2024-02,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.24479576,0.20863648,-0.20863648
ES007,2024-03,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.15395004,0.13120977,-0.13120977
ES007,2024-04,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.06966956,0.05937853,-0.05937853
ES008,2024-04,REGIONAL_FLOOD,REGIONAL,ACTIVE,NEGATIVE,0.39229205,0.36745269,-0.36745269
ES008,2024-05,REGIONAL_FLOOD,REGIONAL,ACTIVE,NEGATIVE,1.0,0.93668146,-0.93668146
ES008,2024-06,REGIONAL_FLOOD,REGIONAL,ACTIVE,NEGATIVE,0.64706457,0.60609338,-0.60609338
ES008,2024-07,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.58235811,0.54548404,-0.54548404
ES008,2024-08,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.42621014,0.39922314,-0.39922314
ES008,2024-09,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.2850023,0.26695637,-0.26695637
ES008,2024-10,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.16162787,0.15139383,-0.15139383
ES008,2024-11,REGIONAL_FLOOD,REGIONAL,RECOVERY,NEGATIVE,0.0612927,0.05741173,-0.05741173
ES009,2021-04,REGIONAL_TOURISM_SLUMP,REGIONAL,ACTIVE,NEGATIVE,1.0,0.88367575,-0.88367575
ES009,2021-05,REGIONAL_TOURISM_SLUMP,REGIONAL,ACTIVE,NEGATIVE,0.7562149,0.66824877,-0.66824877
ES009,2021-06,REGIONAL_TOURISM_SLUMP,REGIONAL,ACTIVE,NEGATIVE,0.57186097,0.50533967,-0.50533967
ES009,2021-07,REGIONAL_TOURISM_SLUMP,REGIONAL,RECOVERY,NEGATIVE,0.51467487,0.4548057,-0.4548057
ES009,2021-08,REGIONAL_TOURISM_SLUMP,REGIONAL,RECOVERY,NEGATIVE,0.34508144,0.3049401,-0.3049401
ES009,2021-09,REGIONAL_TOURISM_SLUMP,REGIONAL,RECOVERY,NEGATIVE,0.1964401,0.17358935,-0.17358935
ES009,2021-10,REGIONAL_TOURISM_SLUMP,REGIONAL,RECOVERY,NEGATIVE,0.07497687,0.06625524,-0.06625524
ES010,2021-12,REGIONAL_INFRASTRUCTURE_DISRUPTION,REGIONAL,ACTIVE,NEGATIVE,1.0,0.78784607,-0.78784607
ES010,2022-01,REGIONAL_INFRASTRUCTURE_DISRUPTION,REGIONAL,RECOVERY,NEGATIVE,0.9,0.70906147,-0.70906147
ES010,2022-02,REGIONAL_INFRASTRUCTURE_DISRUPTION,REGIONAL,RECOVERY,NEGATIVE,0.29904348,0.23560023,-0.23560023
ES011,2023-02,REGIONAL_INFRASTRUCTURE_DISRUPTION,REGIONAL,ACTIVE,NEGATIVE,0.39229205,0.23346763,-0.23346763
ES011,2023-03,REGIONAL_INFRASTRUCTURE_DISRUPTION,REGIONAL,ACTIVE,NEGATIVE,1.0,0.5951373,-0.5951373
ES011,2023-04,REGIONAL_INFRASTRUCTURE_DISRUPTION,REGIONAL,RECOVERY,NEGATIVE,0.9,0.53562357,-0.53562357
ES011,2023-05,REGIONAL_INFRASTRUCTURE_DISRUPTION,REGIONAL,RECOVERY,NEGATIVE,0.48250593,0.28715728,-0.28715728
ES011,2023-06,REGIONAL_INFRASTRUCTURE_DISRUPTION,REGIONAL,RECOVERY,NEGATIVE,0.16621485,0.09892066,-0.09892066
ES012,2026-03,IMPORT_COST_PRESSURE,SECTORAL,ACTIVE,NEGATIVE,0.39229205,0.16547039,-0.16547039
ES012,2026-04,IMPORT_COST_PRESSURE,SECTORAL,ACTIVE,NEGATIVE,1.0,0.42180409,-0.42180409
ES012,2026-05,IMPORT_COST_PRESSURE,SECTORAL,ACTIVE,NEGATIVE,0.76569185,0.32297195,-0.32297195
ES012,2026-06,IMPORT_COST_PRESSURE,SECTORAL,RECOVERY,NEGATIVE,0.68912266,0.29067476,-0.29067476
ES012,2026-07,IMPORT_COST_PRESSURE,SECTORAL,RECOVERY,NEGATIVE,0.33782873,0.14249754,-0.14249754
ES012,2026-08,IMPORT_COST_PRESSURE,SECTORAL,RECOVERY,NEGATIVE,0.09986929,0.04212528,-0.04212528
