customer_id,agent_type,region,sector,resilience_score,vulnerability_score,resilience_band
C0000001,HOUSEHOLD,CENTER,HOUSEHOLD,0.64960599,0.35039401,HIGH
C0000002,HOUSEHOLD,CENTER,HOUSEHOLD,0.5794548,0.4205452,MEDIUM
C0000003,HOUSEHOLD,CENTER,HOUSEHOLD,0.26004172,0.73995828,VERY_LOW
C0000004,HOUSEHOLD,CENTER,HOUSEHOLD,0.67745281,0.32254719,HIGH
C0000005,HOUSEHOLD,CENTER,HOUSEHOLD,0.74327128,0.25672872,HIGH
C0000006,HOUSEHOLD,CENTER,HOUSEHOLD,0.74121011,0.25878989,HIGH
C0000007,BUSINESS,CENTER,SME_GENERAL,0.22063117,0.77936883,VERY_LOW
C0000008,HOUSEHOLD,CENTER,HOUSEHOLD,0.51755806,0.48244194,MEDIUM
C0000009,HOUSEHOLD,CENTER,HOUSEHOLD,0.55516669,0.44483331,MEDIUM
C0000010,BUSINESS,CENTER,SME_GENERAL,0.28898107,0.71101893,VERY_LOW
C0000011,HOUSEHOLD,CENTER,HOUSEHOLD,0.3756539,0.6243461,LOW
C0000012,BUSINESS,CENTER,SME_GENERAL,0.42834184,0.57165816,LOW
C0000013,HOUSEHOLD,CENTER,HOUSEHOLD,0.74809681,0.25190319,HIGH
C0000014,HOUSEHOLD,CENTER,HOUSEHOLD,0.52952564,0.47047436,MEDIUM
C0000015,HOUSEHOLD,CENTER,HOUSEHOLD,0.37130266,0.62869734,LOW
C0000016,HOUSEHOLD,CENTER,HOUSEHOLD,0.6047013,0.3952987,HIGH
C0000017,HOUSEHOLD,CENTER,HOUSEHOLD,0.28368326,0.71631674,VERY_LOW
C0000018,HOUSEHOLD,CENTER,HOUSEHOLD,0.71795616,0.28204384,HIGH
C0000019,HOUSEHOLD,CENTER,HOUSEHOLD,0.57989807,0.42010193,MEDIUM
C0000020,HOUSEHOLD,CENTER,HOUSEHOLD,0.27308395,0.72691605,VERY_LOW
C0000021,HOUSEHOLD,CENTER,HOUSEHOLD,0.43256457,0.56743543,LOW
C0000022,HOUSEHOLD,CENTER,HOUSEHOLD,0.68042513,0.31957487,HIGH
C0000023,HOUSEHOLD,CENTER,HOUSEHOLD,0.62790764,0.37209236,HIGH
C0000024,HOUSEHOLD,CENTER,HOUSEHOLD,0.2352392,0.7647608,VERY_LOW
C0000025,HOUSEHOLD,CENTER,HOUSEHOLD,0.54407212,0.45592788,MEDIUM
C0000026,HOUSEHOLD,CENTER,HOUSEHOLD,0.64012337,0.35987663,HIGH
C0000027,HOUSEHOLD,CENTER,HOUSEHOLD,0.57355098,0.42644902,MEDIUM
C0000028,HOUSEHOLD,CENTER,HOUSEHOLD,0.48984667,0.51015333,MEDIUM
