internal_transfer_id,transaction_datetime,currency,amount,sender_account_id,receiver_account_id,sender_transaction_id,receiver_transaction_id
IT0000000001,2021-01-01 08:18:34,UYU,12017.41,A0007767,A0008666,T0000000004,T0000000005
IT0000000002,2021-01-01 09:29:50,USD,40195.88,A0002481,A0002346,T0000000013,T0000000012
IT0000000003,2021-01-01 09:35:44,USD,54932.5,A0002481,A0004186,T0000000015,T0000000016
IT0000000004,2021-01-01 10:55:28,USD,131.65,A0007739,A0003065,T0000000025,T0000000024
IT0000000005,2021-01-01 13:44:25,UYU,18337.52,A0003106,A0006926,T0000000047,T0000000048
IT0000000006,2021-01-01 15:36:42,UYU,50664.8,A0003781,A0009797,T0000000065,T0000000066
IT0000000007,2021-01-01 16:25:02,USD,383.17,A0008370,A0002073,T0000000080,T0000000079
IT0000000008,2021-01-01 16:49:37,UYU,622004.44,A0002675,A0005179,T0000000084,T0000000085
IT0000000009,2021-01-01 17:02:20,UYU,26520.03,A0012520,A0003106,T0000000088,T0000000087
IT0000000010,2021-01-01 17:53:48,UYU,13963.09,A0007740,A0003010,T0000000092,T0000000091
IT0000000011,2021-01-01 19:15:47,UYU,30554.03,A0002675,A0009609,T0000000096,T0000000097
IT0000000012,2021-01-02 14:15:16,UYU,30067.63,A0001337,A0005820,T0000000121,T0000000122
IT0000000013,2021-01-02 20:37:47,UYU,3133.47,A0007763,A0005284,T0000000146,T0000000145
IT0000000014,2021-01-02 23:37:30,UYU,1314.16,A0008634,A0011465,T0000000147,T0000000148
IT0000000015,2021-01-03 12:06:40,UYU,24582.55,A0005087,A0001134,T0000000163,T0000000162
IT0000000016,2021-01-03 23:47:35,UYU,6330.1,A0011561,A0009610,T0000000187,T0000000186
IT0000000017,2021-01-04 09:10:23,UYU,1597.33,A0012172,A0002627,T0000000201,T0000000200
IT0000000018,2021-01-04 10:47:35,USD,710.18,A0004186,A0002481,T0000000209,T0000000208
IT0000000019,2021-01-04 11:24:50,UYU,4987.83,A0006926,A0007740,T0000000213,T0000000214
IT0000000020,2021-01-04 15:08:43,UYU,4209.48,A0005284,A0001487,T0000000241,T0000000240
IT0000000021,2021-01-04 15:46:26,UYU,10514.69,A0010259,A0011889,T0000000243,T0000000244
IT0000000022,2021-01-04 17:24:53,UYU,29786.01,A0010259,A0001935,T0000000264,T0000000263
IT0000000023,2021-01-04 18:09:52,UYU,19119.65,A0009797,A0005790,T0000000266,T0000000265
IT0000000024,2021-01-04 18:27:49,UYU,23621.75,A0010228,A0009795,T0000000270,T0000000269
IT0000000025,2021-01-04 20:37:03,USD,2362.02,A0002481,A0001887,T0000000278,T0000000277
IT0000000026,2021-01-05 07:13:55,UYU,153062.31,A0002675,A0011464,T0000000290,T0000000291
IT0000000027,2021-01-05 07:19:07,USD,8137.01,A0002481,A0002628,T0000000292,T0000000293
IT0000000028,2021-01-05 08:20:33,UYU,10738.4,A0007634,A0001885,T0000000297,T0000000296
IT0000000029,2021-01-05 09:34:05,UYU,5905.58,A0002622,A0008372,T0000000303,T0000000304
IT0000000030,2021-01-05 13:10:24,UYU,5484.85,A0002755,A0000807,T0000000327,T0000000326
IT0000000031,2021-01-05 13:56:12,UYU,30719.6,A0007743,A0002675,T0000000337,T0000000336
IT0000000032,2021-01-05 15:46:01,USD,495.63,A0005086,A0010279,T0000000341,T0000000342
IT0000000033,2021-01-05 17:04:27,USD,18852.22,A0002481,A0011466,T0000000346,T0000000347
IT0000000034,2021-01-05 17:56:06,UYU,34541.02,A0002755,A0008634,T0000000353,T0000000354
IT0000000035,2021-01-05 21:13:25,UYU,7629.43,A0009797,A0011095,T0000000363,T0000000364
IT0000000036,2021-01-06 09:03:15,UYU,30027.99,A0011256,A0009949,T0000000380,T0000000379
