internal_transfer_id,transaction_datetime,currency,amount,sender_account_id,receiver_account_id,sender_transaction_id,receiver_transaction_id
IT0000000001,2021-01-01 08:39:45,UYU,9982.53,A0003752,A0003100,T0000000007,T0000000005
IT0000000002,2021-01-01 09:14:27,UYU,16164.12,A0000659,A0001275,T0000000012,T0000000013
IT0000000003,2021-01-01 10:35:22,UYU,3188.23,A0005941,A0004044,T0000000031,T0000000030
IT0000000004,2021-01-01 10:42:15,UYU,4174.06,A0010547,A0004044,T0000000034,T0000000033
IT0000000005,2021-01-01 12:12:18,UYU,4061.64,A0002662,A0001413,T0000000054,T0000000053
IT0000000006,2021-01-01 12:25:16,UYU,9469.23,A0007932,A0000370,T0000000060,T0000000059
IT0000000007,2021-01-01 12:31:36,UYU,2797.72,A0001267,A0005702,T0000000063,T0000000064
IT0000000008,2021-01-01 15:09:47,UYU,4486.28,A0002920,A0011352,T0000000101,T0000000102
IT0000000009,2021-01-01 15:36:04,UYU,8664.31,A0008585,A0004529,T0000000108,T0000000107
IT0000000010,2021-01-01 15:53:29,UYU,4478.97,A0007871,A0002920,T0000000113,T0000000112
IT0000000011,2021-01-01 15:56:21,USD,62.78,A0005464,A0008596,T0000000114,T0000000115
IT0000000012,2021-01-01 15:58:20,USD,22.74,A0009008,A0013680,T0000000117,T0000000118
IT0000000013,2021-01-01 16:14:54,UYU,4581.95,A0007902,A0005187,T0000000126,T0000000125
IT0000000014,2021-01-01 17:12:07,UYU,10470.13,A0009941,A0001534,T0000000136,T0000000135
IT0000000015,2021-01-01 18:40:14,UYU,8128.82,A0005176,A0003518,T0000000142,T0000000141
IT0000000016,2021-01-02 05:27:26,UYU,10234.2,A0000370,A0012778,T0000000160,T0000000161
IT0000000017,2021-01-02 06:22:24,UYU,12732.77,A0006809,A0000860,T0000000164,T0000000163
IT0000000018,2021-01-02 08:26:04,UYU,11655.57,A0010718,A0000861,T0000000167,T0000000166
IT0000000019,2021-01-02 09:16:00,UYU,4639.37,A0008733,A0011403,T0000000168,T0000000169
IT0000000020,2021-01-02 14:23:12,UYU,9621.75,A0001413,A0002324,T0000000197,T0000000198
IT0000000021,2021-01-02 14:51:14,USD,56.18,A0005722,A0009008,T0000000201,T0000000202
IT0000000022,2021-01-02 16:54:57,UYU,798.74,A0005983,A0004528,T0000000213,T0000000212
IT0000000023,2021-01-02 18:05:18,UYU,13276.95,A0010875,A0005983,T0000000220,T0000000219
IT0000000024,2021-01-02 18:06:57,UYU,11175.02,A0005176,A0005702,T0000000221,T0000000222
IT0000000025,2021-01-03 12:32:08,USD,27.66,A0001726,A0000406,T0000000272,T0000000271
IT0000000026,2021-01-03 14:54:31,UYU,3691.21,A0010999,A0005176,T0000000289,T0000000288
IT0000000027,2021-01-03 15:00:20,UYU,409.09,A0000891,A0010516,T0000000291,T0000000292
IT0000000028,2021-01-03 15:10:56,UYU,5828.03,A0001397,A0002325,T0000000296,T0000000297
IT0000000029,2021-01-04 09:26:38,UYU,12031.03,A0007902,A0007703,T0000000347,T0000000346
IT0000000030,2021-01-04 10:57:08,UYU,3843.03,A0011389,A0003518,T0000000363,T0000000362
IT0000000031,2021-01-04 10:57:18,UYU,3567.79,A0010594,A0007932,T0000000365,T0000000364
IT0000000032,2021-01-04 11:38:58,USD,158.36,A0001420,A0008597,T0000000371,T0000000372
IT0000000033,2021-01-04 13:01:46,UYU,4628.43,A0003135,A0002347,T0000000387,T0000000386
IT0000000034,2021-01-04 13:29:10,UYU,10865.04,A0002160,A0010337,T0000000391,T0000000392
IT0000000035,2021-01-04 13:30:50,UYU,5042.35,A0004529,A0009786,T0000000393,T0000000394
IT0000000036,2021-01-04 13:47:06,UYU,1202.76,A0007027,A0005933,T0000000397,T0000000396
IT0000000037,2021-01-04 15:41:02,USD,30.6,A0003507,A0010593,T0000000417,T0000000418
