loan_id,origination_month_internal,lifecycle_seed,resolution_month_internal,terminal_event_internal,pre2021_inherited_state
L0000001,2022-09,21272842,2023-03,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000002,2022-04,22272845,2024-04,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000003,2026-01,23272848,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000004,2026-04,24272851,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000005,1999-10,25272854,2000-04,PAID_OFF,COMPRESSED_CURRENT
L0000006,2017-08,26272857,2019-08,PAID_OFF,COMPRESSED_CURRENT
L0000007,2009-02,27272860,2013-02,PAID_OFF,COMPRESSED_CURRENT
L0000008,2009-12,28272863,2012-12,PAID_OFF,COMPRESSED_CURRENT
L0000009,2015-05,29272866,2021-05,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000010,2017-12,30272869,2022-12,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000011,2010-06,31272872,2012-06,PAID_OFF,COMPRESSED_CURRENT
L0000012,2008-12,32272875,2009-06,PAID_OFF,COMPRESSED_CURRENT
L0000013,2017-04,33272878,,OPEN_CURRENT_AT_CUTOFF,INHERITED_CURRENT
L0000014,2009-03,34272881,2009-09,PAID_OFF,COMPRESSED_CURRENT
L0000015,1996-11,35272884,2001-11,PAID_OFF,COMPRESSED_CURRENT
L0000016,1991-04,36272887,1992-04,PAID_OFF,COMPRESSED_CURRENT
L0000017,2020-11,37272890,2021-11,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000018,2020-02,38272893,2021-06,EARLY_PREPAYMENT,INHERITED_CURRENT
L0000019,2022-06,39272896,2025-06,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000020,2017-08,40272899,2021-08,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000021,2010-06,41272902,2012-06,PAID_OFF,COMPRESSED_REVOLVING
L0000022,2012-10,42272905,2013-10,PAID_OFF,COMPRESSED_REVOLVING
L0000023,2024-12,43272908,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000024,2026-04,44272911,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000025,2015-02,45272914,2018-02,PAID_OFF,COMPRESSED_CURRENT
L0000026,2024-02,46272917,,OPEN_EARLY_AT_CUTOFF,NOT_APPLICABLE
L0000027,2026-07,47272920,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000028,1999-04,48272923,2019-04,PAID_OFF,COMPRESSED_CURRENT
L0000029,1987-10,49272926,1989-04,PAID_OFF,COMPRESSED_CURRENT
L0000030,1983-11,50272929,1986-11,PAID_OFF,COMPRESSED_CURRENT
L0000031,2022-11,51272932,2024-11,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000032,2024-02,52272935,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000033,2026-09,53272938,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000034,2020-06,54272941,2021-06,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000035,2025-05,55272944,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000036,1995-08,56272947,2005-08,PAID_OFF,COMPRESSED_RECOVERED
L0000037,2000-03,57272950,2001-09,PAID_OFF,COMPRESSED_CURRENT
L0000038,2017-10,58272953,2022-10,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000039,2024-02,59272956,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000040,2013-05,60272959,2016-05,PAID_OFF,COMPRESSED_CURRENT
L0000041,2020-10,61272962,2021-04,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000042,2024-06,62272965,2025-06,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000043,2008-12,63272968,2013-12,PAID_OFF,COMPRESSED_CURRENT
L0000044,2012-07,64272971,2013-07,PAID_OFF,COMPRESSED_CURRENT
L0000045,2010-02,65272974,,OPEN_CURRENT_AT_CUTOFF,INHERITED_CURRENT
L0000046,2017-04,66272977,,OPEN_CURRENT_AT_CUTOFF,INHERITED_CURRENT
L0000047,2023-07,67272980,2026-07,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000048,2024-12,68272983,2025-12,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000049,2026-09,69272986,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000050,2023-10,70272989,2025-10,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000051,2026-11,71272992,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000052,2016-05,72272995,2017-05,PAID_OFF,COMPRESSED_CURRENT
L0000053,2012-10,73272998,2014-04,PAID_OFF,COMPRESSED_CURRENT
L0000054,2012-12,74273001,2014-06,PAID_OFF,COMPRESSED_CURRENT
L0000055,2021-05,75273004,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000056,2024-07,76273007,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000057,2020-10,77273010,,OPEN_CURRENT_AT_CUTOFF,INHERITED_CURRENT
L0000058,2019-06,78273013,2020-12,PAID_OFF,COMPRESSED_CURRENT
L0000059,2023-08,79273016,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000060,2021-01,80273019,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000061,2026-10,81273022,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000062,2023-05,82273025,2024-05,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000063,2023-11,83273028,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000064,2020-05,84273031,2024-02,RELATIONSHIP_EXIT_RESOLUTION,INHERITED_CURRENT
L0000065,1994-01,85273034,1995-01,PAID_OFF,COMPRESSED_CURRENT
L0000066,2019-03,86273037,2024-03,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000067,1991-01,87273040,1994-01,PAID_OFF,COMPRESSED_CURRENT
L0000068,2019-03,88273043,2021-03,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000069,2016-10,89273046,2018-10,PAID_OFF,COMPRESSED_CURRENT
L0000070,2013-06,90273049,2014-12,PAID_OFF,COMPRESSED_CURRENT
L0000071,2020-02,91273052,2024-02,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000072,2021-06,92273055,2025-06,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000073,2023-06,93273058,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000074,2016-03,94273061,2019-03,PAID_OFF,COMPRESSED_RECOVERED
L0000075,2024-05,95273064,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000076,2020-11,96273067,2021-05,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000077,2020-06,97273070,2021-06,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000078,2019-11,98273073,2021-05,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000079,2023-01,99273076,2025-01,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000080,2007-06,100273079,2008-06,PAID_OFF,COMPRESSED_REVOLVING
L0000081,2020-04,101273082,2021-08,EARLY_PREPAYMENT,INHERITED_CURRENT
L0000082,2020-05,102273085,2021-11,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000083,2022-11,103273088,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000084,2025-12,104273091,2026-06,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000085,2024-12,105273094,2025-12,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000086,2025-02,106273097,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000087,2026-11,107273100,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000088,2015-01,108273103,2016-01,PAID_OFF,COMPRESSED_CURRENT
L0000089,2019-02,109273106,2023-02,SCHEDULED_MATURITY,INHERITED_EARLY
L0000090,2021-04,110273109,2025-04,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000091,2025-12,111273112,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000092,2019-08,112273115,2023-08,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000093,2021-12,113273118,2026-12,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000094,2024-05,114273121,2026-05,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000095,2006-07,115273124,2009-07,PAID_OFF,COMPRESSED_CURRENT
L0000096,1996-03,116273127,2000-03,PAID_OFF,COMPRESSED_CURRENT
L0000097,2015-01,117273130,2021-01,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000098,2021-10,118273133,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000099,2024-07,119273136,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000100,2016-10,120273139,,OPEN_CURRENT_AT_CUTOFF,INHERITED_CURRENT
L0000101,2026-12,121273142,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000102,2022-02,122273145,2026-04,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000103,2020-04,123273148,,OPEN_CURRENT_AT_CUTOFF,INHERITED_CURRENT
L0000104,2016-02,124273151,2020-02,PAID_OFF,COMPRESSED_CURRENT
L0000105,2021-04,125273154,2026-04,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000106,2023-01,126273157,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000107,2020-12,127273160,2025-12,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000108,2022-08,128273163,2024-08,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000109,2022-12,129273166,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000110,2015-03,130273169,2016-03,PAID_OFF,COMPRESSED_CURRENT
L0000111,2020-04,131273172,2024-04,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000112,2012-05,132273175,2016-05,PAID_OFF,COMPRESSED_RECOVERED
L0000113,2025-01,133273178,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000114,2023-05,134273181,2024-11,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000115,2023-10,135273184,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000116,2025-12,136273187,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000117,2024-05,137273190,,OPEN_CURRENT_AT_CUTOFF,NOT_APPLICABLE
L0000118,2016-12,138273193,2020-12,PAID_OFF,COMPRESSED_CURRENT
L0000119,2020-03,139273196,2023-03,SCHEDULED_MATURITY,INHERITED_CURRENT
L0000120,2025-05,140273199,2025-11,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000121,2017-02,141273202,2020-02,PAID_OFF,COMPRESSED_CURRENT
L0000122,2024-09,142273205,2026-03,SCHEDULED_MATURITY,NOT_APPLICABLE
L0000123,2024-12,143273208,2026-12,SCHEDULED_MATURITY,NOT_APPLICABLE
