account_id,customer_id,account_role
A0000004,C0000020,PRIMARY_TRANSACTIONAL
A0000014,C0000036,PAYROLL
A0000015,C0000039,BUSINESS_OPERATING
A0000016,C0000039,SECONDARY
A0000017,C0000040,FIXED_TERM
A0012846,C0000040,PRIMARY_TRANSACTIONAL
A0012847,C0000040,SAVINGS
A0000026,C0000050,USD_RESERVE
A0000027,C0000050,PRIMARY_TRANSACTIONAL
A0000028,C0000050,SAVINGS
A0013996,C0000050,USD_RESERVE
A0000029,C0000051,USD_RESERVE
A0000030,C0000051,PAYROLL
A0000031,C0000051,FIXED_TERM
A0000032,C0000051,SECONDARY
A0013997,C0000051,PAYROLL
A0000033,C0000052,USD_RESERVE
A0019222,C0000052,PAYROLL
A0000034,C0000053,SAVINGS
A0000035,C0000053,SAVINGS
A0013998,C0000053,BUSINESS_OPERATING
A0000036,C0000055,PRIMARY_TRANSACTIONAL
A0012849,C0000055,FIXED_TERM
A0000037,C0000056,SECONDARY
A0000038,C0000056,SAVINGS
A0000039,C0000056,PAYROLL
A0013999,C0000056,USD_RESERVE
A0016506,C0000056,FIXED_TERM
A0000040,C0000057,FIXED_TERM
A0014000,C0000057,PRIMARY_TRANSACTIONAL
A0000041,C0000061,FIXED_TERM
A0000043,C0000062,PRIMARY_TRANSACTIONAL
A0000045,C0000070,PRIMARY_TRANSACTIONAL
A0012851,C0000070,USD_RESERVE
A0000046,C0000077,SAVINGS
A0000047,C0000077,SAVINGS
A0014004,C0000077,FIXED_TERM
A0017821,C0000077,PRIMARY_TRANSACTIONAL
A0000048,C0000080,PRIMARY_TRANSACTIONAL
A0000049,C0000082,PRIMARY_TRANSACTIONAL
A0000053,C0000115,USD_RESERVE
A0019223,C0000115,PRIMARY_TRANSACTIONAL
A0000054,C0000120,PAYROLL
A0000056,C0000120,USD_RESERVE
A0000060,C0000131,PRIMARY_TRANSACTIONAL
A0000061,C0000131,USD_RESERVE
A0000062,C0000131,USD_RESERVE
A0012853,C0000131,SAVINGS
A0016508,C0000131,FIXED_TERM
A0000063,C0000133,SAVINGS
A0000064,C0000133,SAVINGS
A0000065,C0000133,BUSINESS_OPERATING
A0000066,C0000133,SECONDARY
A0000067,C0000133,USD_RESERVE
A0000068,C0000134,PAYROLL
A0000069,C0000134,PAYROLL
A0000070,C0000134,SAVINGS
A0000072,C0000137,USD_RESERVE
A0000073,C0000137,SAVINGS
A0000074,C0000137,PRIMARY_TRANSACTIONAL
A0000076,C0000137,SAVINGS
A0000077,C0000137,SAVINGS
A0000078,C0000137,SAVINGS
A0000079,C0000137,FIXED_TERM
A0012854,C0000137,USD_RESERVE
A0014009,C0000137,SECONDARY
A0000080,C0000142,SAVINGS
A0000081,C0000142,SECONDARY
A0000082,C0000142,PAYROLL
A0000089,C0000160,PRIMARY_TRANSACTIONAL
A0015268,C0000160,USD_RESERVE
A0000091,C0000161,FIXED_TERM
A0000092,C0000161,SECONDARY
A0012855,C0000161,PRIMARY_TRANSACTIONAL
A0000093,C0000163,PAYROLL
A0000094,C0000163,FIXED_TERM
A0000095,C0000170,PAYROLL
A0000096,C0000170,SAVINGS
A0000097,C0000174,PAYROLL
A0000098,C0000176,PRIMARY_TRANSACTIONAL
A0000099,C0000176,FIXED_TERM
A0000100,C0000176,FIXED_TERM
A0000101,C0000179,PRIMARY_TRANSACTIONAL
A0000103,C0000188,PRIMARY_TRANSACTIONAL
A0000104,C0000192,USD_RESERVE
A0015271,C0000192,PRIMARY_TRANSACTIONAL
A0000105,C0000196,SECONDARY
A0000106,C0000196,PAYROLL
A0000107,C0000196,SECONDARY
A0000109,C0000201,PRIMARY_TRANSACTIONAL
A0000110,C0000207,USD_RESERVE
A0000111,C0000207,SAVINGS
A0000113,C0000207,PAYROLL
A0000114,C0000207,SECONDARY
A0000117,C0000219,PRIMARY_TRANSACTIONAL
A0000119,C0000220,FIXED_TERM
A0000120,C0000223,PAYROLL
A0017828,C0000223,PAYROLL
A0000121,C0000224,SAVINGS
A0000122,C0000224,PRIMARY_TRANSACTIONAL
A0000123,C0000226,FIXED_TERM
A0000124,C0000226,PRIMARY_TRANSACTIONAL
A0000125,C0000227,PRIMARY_TRANSACTIONAL
A0000126,C0000229,USD_RESERVE
A0019230,C0000229,PRIMARY_TRANSACTIONAL
A0000129,C0000236,PRIMARY_TRANSACTIONAL
A0000130,C0000236,USD_RESERVE
A0000136,C0000245,PRIMARY_TRANSACTIONAL
A0000137,C0000246,PAYROLL
A0000138,C0000247,SAVINGS
A0014017,C0000247,PAYROLL
A0017830,C0000247,PAYROLL
A0017831,C0000247,FIXED_TERM
A0000140,C0000251,PAYROLL
A0017832,C0000251,SAVINGS
A0000141,C0000257,SAVINGS
A0000142,C0000257,SAVINGS
A0000143,C0000257,SAVINGS
A0000144,C0000257,USD_RESERVE
A0000145,C0000257,FIXED_TERM
A0000146,C0000257,USD_RESERVE
A0000147,C0000257,SECONDARY
A0000148,C0000257,PAYROLL
A0000151,C0000269,PAYROLL
A0000152,C0000269,USD_RESERVE
A0000153,C0000269,SAVINGS
A0012857,C0000269,SAVINGS
A0000154,C0000271,PRIMARY_TRANSACTIONAL
A0000155,C0000272,SECONDARY
A0000156,C0000272,PAYROLL
A0000158,C0000274,PRIMARY_TRANSACTIONAL
A0000159,C0000276,PRIMARY_TRANSACTIONAL
A0000160,C0000277,SAVINGS
A0000161,C0000277,PRIMARY_TRANSACTIONAL
A0000162,C0000277,USD_RESERVE
A0015276,C0000277,SAVINGS
A0015277,C0000277,SECONDARY
A0000166,C0000285,PRIMARY_TRANSACTIONAL
A0000171,C0000297,PAYROLL
A0000172,C0000297,SAVINGS
A0000173,C0000297,SECONDARY
A0000174,C0000299,FIXED_TERM
A0000175,C0000299,PRIMARY_TRANSACTIONAL
A0000176,C0000299,SAVINGS
A0000178,C0000300,PRIMARY_TRANSACTIONAL
A0016520,C0000300,FIXED_TERM
A0019233,C0000300,USD_RESERVE
A0000180,C0000305,PAYROLL
A0000181,C0000307,PRIMARY_TRANSACTIONAL
A0012858,C0000307,USD_RESERVE
A0000182,C0000310,PAYROLL
A0000183,C0000315,SECONDARY
A0000184,C0000315,PAYROLL
A0000185,C0000315,SAVINGS
A0000188,C0000321,PAYROLL
A0000189,C0000321,SAVINGS
A0000190,C0000321,SAVINGS
A0000191,C0000326,PAYROLL
A0015283,C0000326,SAVINGS
A0000192,C0000339,FIXED_TERM
A0000193,C0000340,PAYROLL
A0000194,C0000340,SAVINGS
A0000195,C0000340,USD_RESERVE
A0000203,C0000345,SAVINGS
A0000204,C0000345,PRIMARY_TRANSACTIONAL
A0000205,C0000350,PRIMARY_TRANSACTIONAL
A0000207,C0000350,SAVINGS
A0016525,C0000350,FIXED_TERM
A0000208,C0000353,PAYROLL
A0000209,C0000356,SAVINGS
A0000210,C0000356,SAVINGS
A0000211,C0000356,SAVINGS
A0000212,C0000356,USD_RESERVE
A0000214,C0000356,SAVINGS
A0012860,C0000356,SAVINGS
A0016526,C0000356,PAYROLL
A0000216,C0000358,PAYROLL
A0000217,C0000360,SAVINGS
A0012861,C0000360,SAVINGS
A0019237,C0000360,PAYROLL
A0000218,C0000367,SAVINGS
A0000219,C0000367,USD_RESERVE
A0000220,C0000367,PAYROLL
A0000221,C0000367,SAVINGS
A0000222,C0000367,SAVINGS
A0000223,C0000370,PAYROLL
A0000224,C0000370,PAYROLL
A0000225,C0000371,PRIMARY_TRANSACTIONAL
A0000231,C0000389,PRIMARY_TRANSACTIONAL
A0000234,C0000397,PRIMARY_TRANSACTIONAL
A0000236,C0000402,PAYROLL
A0000238,C0000402,SAVINGS
A0000240,C0000409,PAYROLL
A0000248,C0000413,PRIMARY_TRANSACTIONAL
A0000249,C0000416,PAYROLL
A0015285,C0000416,PAYROLL
A0000250,C0000420,BUSINESS_OPERATING
A0016527,C0000420,USD_RESERVE
A0000253,C0000429,PAYROLL
A0017844,C0000429,USD_RESERVE
A0000261,C0000434,SECONDARY
A0000262,C0000434,SAVINGS
A0000263,C0000434,PAYROLL
A0000264,C0000435,PAYROLL
A0000267,C0000440,PAYROLL
A0000270,C0000440,USD_RESERVE
A0000271,C0000441,BUSINESS_OPERATING
A0000272,C0000441,SAVINGS
A0000273,C0000441,SAVINGS
A0000274,C0000442,PRIMARY_TRANSACTIONAL
A0000275,C0000442,USD_RESERVE
A0000276,C0000442,USD_RESERVE
A0000277,C0000447,PRIMARY_TRANSACTIONAL
A0000278,C0000450,PRIMARY_TRANSACTIONAL
A0012865,C0000450,FIXED_TERM
A0000279,C0000451,PRIMARY_TRANSACTIONAL
A0014028,C0000451,SAVINGS
A0000280,C0000454,BUSINESS_OPERATING
A0015288,C0000454,SECONDARY
A0019244,C0000454,SECONDARY
A0000282,C0000457,BUSINESS_OPERATING
A0000283,C0000457,SECONDARY
A0000284,C0000457,USD_RESERVE
A0000288,C0000457,SECONDARY
A0000289,C0000457,FIXED_TERM
A0000290,C0000457,SECONDARY
A0000291,C0000464,PRIMARY_TRANSACTIONAL
A0000293,C0000464,SECONDARY
A0000294,C0000464,FIXED_TERM
A0000295,C0000464,SECONDARY
A0012868,C0000464,USD_RESERVE
A0016529,C0000464,SAVINGS
A0000300,C0000468,SAVINGS
A0012869,C0000468,PRIMARY_TRANSACTIONAL
A0000303,C0000475,PAYROLL
A0000304,C0000475,SAVINGS
A0012871,C0000475,SECONDARY
A0000309,C0000478,PAYROLL
A0016531,C0000478,PAYROLL
A0000310,C0000485,PRIMARY_TRANSACTIONAL
A0000312,C0000493,SAVINGS
A0012873,C0000493,PRIMARY_TRANSACTIONAL
A0015292,C0000493,USD_RESERVE
A0000313,C0000502,PRIMARY_TRANSACTIONAL
A0016533,C0000502,USD_RESERVE
A0000314,C0000510,SAVINGS
A0000315,C0000510,PAYROLL
A0017849,C0000510,SAVINGS
A0000316,C0000511,PAYROLL
A0000317,C0000518,SAVINGS
A0000318,C0000518,BUSINESS_OPERATING
A0000319,C0000518,SECONDARY
A0000320,C0000521,PRIMARY_TRANSACTIONAL
A0000322,C0000524,PRIMARY_TRANSACTIONAL
A0000323,C0000527,FIXED_TERM
A0000325,C0000533,PAYROLL
A0000326,C0000533,SAVINGS
A0014034,C0000533,USD_RESERVE
A0000329,C0000540,BUSINESS_OPERATING
A0000330,C0000542,FIXED_TERM
A0000334,C0000555,PRIMARY_TRANSACTIONAL
A0000336,C0000556,PAYROLL
A0000337,C0000556,USD_RESERVE
A0016536,C0000556,FIXED_TERM
A0000339,C0000557,USD_RESERVE
A0000341,C0000557,PRIMARY_TRANSACTIONAL
A0000342,C0000568,PAYROLL
A0000344,C0000572,FIXED_TERM
A0000345,C0000572,PAYROLL
A0019253,C0000572,PAYROLL
A0000347,C0000583,USD_RESERVE
A0000348,C0000583,PRIMARY_TRANSACTIONAL
A0000349,C0000583,FIXED_TERM
A0000350,C0000583,SAVINGS
A0000351,C0000586,PRIMARY_TRANSACTIONAL
A0000352,C0000586,SAVINGS
A0014039,C0000586,USD_RESERVE
A0017856,C0000586,USD_RESERVE
A0000353,C0000590,PAYROLL
A0000354,C0000590,USD_RESERVE
A0000355,C0000590,SECONDARY
A0000356,C0000594,PRIMARY_TRANSACTIONAL
A0000357,C0000594,SAVINGS
A0017857,C0000594,USD_RESERVE
A0000359,C0000599,USD_RESERVE
A0000360,C0000599,PRIMARY_TRANSACTIONAL
A0000361,C0000602,FIXED_TERM
A0000362,C0000602,SECONDARY
A0000363,C0000602,USD_RESERVE
A0000364,C0000602,BUSINESS_OPERATING
A0000366,C0000602,FIXED_TERM
A0000368,C0000605,PRIMARY_TRANSACTIONAL
A0000370,C0000607,PAYROLL
A0000371,C0000607,SECONDARY
A0000374,C0000610,PAYROLL
A0012880,C0000610,PAYROLL
A0000376,C0000613,PAYROLL
A0000377,C0000618,SAVINGS
A0000378,C0000618,SAVINGS
A0000379,C0000618,PAYROLL
A0000384,C0000624,PRIMARY_TRANSACTIONAL
A0000385,C0000626,PRIMARY_TRANSACTIONAL
A0000386,C0000626,SECONDARY
A0000388,C0000626,USD_RESERVE
A0017858,C0000626,SAVINGS
A0000391,C0000641,PRIMARY_TRANSACTIONAL
A0000393,C0000642,USD_RESERVE
A0012883,C0000642,PRIMARY_TRANSACTIONAL
A0017859,C0000642,SAVINGS
A0000395,C0000647,PAYROLL
A0000396,C0000649,USD_RESERVE
A0000397,C0000649,PRIMARY_TRANSACTIONAL
A0019255,C0000649,SAVINGS
A0000398,C0000651,PRIMARY_TRANSACTIONAL
A0000399,C0000653,USD_RESERVE
A0015297,C0000653,PRIMARY_TRANSACTIONAL
A0000401,C0000657,PRIMARY_TRANSACTIONAL
