idio_event_id,customer_id,agent_type,region,sector,event_type,event_name,direction,start_month,end_month,recovery_end_month,duration_months,recovery_months,raw_magnitude,mediated_share,residual_idiosyncratic_intensity,shared_stress_at_start,shared_positive_at_start,realized_probability
IE0000001,C0000317,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-01,2021-03,2021-10,3,7,1.15593781,0.14158399,-0.99227552,0.0,0.0,0.0025350486
IE0000002,C0000486,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-01,2021-02,2021-05,2,3,0.60771826,0.15115092,-0.51586109,0.0,0.0,0.0025350486
IE0000003,C0001152,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-01,2021-05,2021-10,5,5,0.91693559,0.13911286,-0.78937806,0.0,0.0,0.0025350486
IE0000004,C0001564,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-01,2021-08,2021-12,8,4,0.84307193,0.08310804,-0.77300588,0.0,0.0,0.0025350486
IE0000005,C0002397,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-01,2021-06,2021-09,6,3,1.0621212,0.08968843,-0.96686121,0.0,0.0,0.0025350486
IE0000006,C0003107,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-01,2021-03,2021-09,3,6,0.68100611,0.20197153,-0.54346227,0.0,0.0,0.0025350486
IE0000007,C0003846,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-01,2021-07,2021-10,7,3,0.8689949,0.16170265,-0.72847612,0.0,0.0,0.0025350486
IE0000008,C0003910,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-01,2021-02,2021-05,2,3,0.59086745,0.16214776,-0.49505962,0.0,0.0,0.0025350486
IE0000009,C0004175,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-01,2021-03,2021-10,3,7,0.86299174,0.08887224,-0.78629574,0.0,0.0,0.0025350486
IE0000010,C0004691,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-01,2021-05,2021-09,5,4,1.0070543,0.14038735,-0.86567661,0.0,0.0,0.0025350486
