shock_id,scope_type,scope_value,exposure_multiplier
ES001,REGION,MONTEVIDEO,0.95273132
ES001,REGION,METROPOLITAN,1.08040677
ES001,REGION,EAST,1.12608275
ES001,REGION,NORTH,1.16626968
ES001,REGION,CENTER,1.09715515
ES001,REGION,LITORAL,1.02490793
ES001,SECTOR,HOUSEHOLD,0.98114434
ES001,SECTOR,RETAIL_SERVICES,0.87507854
ES001,SECTOR,TOURISM,1.05045797
ES001,SECTOR,AGRICULTURE,1.04107386
ES001,SECTOR,TRADE_IMPORT,1.38703305
ES001,SECTOR,TRADE_EXPORT,0.90095394
ES001,SECTOR,SME_GENERAL,1.14317835
ES001,PRODUCT_GROUP,DEPOSITS,0.82804918
ES001,PRODUCT_GROUP,CARDS,1.13565596
ES001,PRODUCT_GROUP,PERSONAL_CREDIT,0.99032744
ES001,PRODUCT_GROUP,MORTGAGES,1.05160898
ES001,PRODUCT_GROUP,SME_CREDIT,0.91346819
ES001,PRODUCT_GROUP,AGRICULTURAL_CREDIT,0.91713419
ES001,PRODUCT_GROUP,BUSINESS_CREDIT_LINES,0.90801508
ES001,TRANSMISSION,transaction_activity,-0.04623452
ES001,TRANSMISSION,transaction_amount,0.08366612
ES001,TRANSMISSION,cash_preference,0.0
ES001,TRANSMISSION,digital_preference,0.0
ES001,TRANSMISSION,deposit_growth,-0.08333148
ES001,TRANSMISSION,deposit_withdrawal_pressure,0.10855687
ES001,TRANSMISSION,loan_demand,-0.0963004
ES001,TRANSMISSION,payment_stress,0.17360921
ES001,TRANSMISSION,delinquency_entry,0.14933283
ES001,TRANSMISSION,cure_probability,-0.09287075
ES001,TRANSMISSION,branch_operating_cost,0.17755829
ES001,TRANSMISSION,business_activity,-0.08850139
ES001,TRANSMISSION,interest_rate_pressure,0.29538594
ES001,TRANSMISSION,usd_preference,0.08935364
ES002,REGION,MONTEVIDEO,1.17366902
ES002,REGION,METROPOLITAN,1.20155842
ES002,REGION,EAST,0.94967116
ES002,REGION,NORTH,1.06126636
ES002,REGION,CENTER,0.94166548
ES002,REGION,LITORAL,1.09705002
ES002,SECTOR,HOUSEHOLD,0.88228167
ES002,SECTOR,RETAIL_SERVICES,1.1520419
ES002,SECTOR,TOURISM,0.92409464
ES002,SECTOR,AGRICULTURE,1.29491113
ES002,SECTOR,TRADE_IMPORT,1.12507796
ES002,SECTOR,TRADE_EXPORT,1.1677407
ES002,SECTOR,SME_GENERAL,0.86499428
ES002,PRODUCT_GROUP,DEPOSITS,1.14221673
ES002,PRODUCT_GROUP,CARDS,1.01855482
ES002,PRODUCT_GROUP,PERSONAL_CREDIT,1.15004257
ES002,PRODUCT_GROUP,MORTGAGES,1.01005309
ES002,PRODUCT_GROUP,SME_CREDIT,1.12988355
ES002,PRODUCT_GROUP,AGRICULTURAL_CREDIT,0.80665982
ES002,PRODUCT_GROUP,BUSINESS_CREDIT_LINES,1.09338531
ES002,TRANSMISSION,transaction_activity,-0.02079162
ES002,TRANSMISSION,transaction_amount,0.04099511
ES002,TRANSMISSION,cash_preference,0.0
ES002,TRANSMISSION,digital_preference,0.0
ES002,TRANSMISSION,deposit_growth,-0.02708389
ES002,TRANSMISSION,deposit_withdrawal_pressure,0.06243946
ES002,TRANSMISSION,loan_demand,-0.04140528
ES002,TRANSMISSION,payment_stress,0.10529707
ES002,TRANSMISSION,delinquency_entry,0.06261456
ES002,TRANSMISSION,cure_probability,-0.04365002
ES002,TRANSMISSION,branch_operating_cost,0.0
ES002,TRANSMISSION,business_activity,-0.04289367
ES002,TRANSMISSION,interest_rate_pressure,0.07704885
ES002,TRANSMISSION,usd_preference,0.23429735
ES003,REGION,MONTEVIDEO,1.10703786
ES003,REGION,METROPOLITAN,0.94633028
ES003,REGION,EAST,0.9714928
ES003,REGION,NORTH,0.92446603
ES003,REGION,CENTER,0.99264793
ES003,REGION,LITORAL,0.85854445
ES003,SECTOR,HOUSEHOLD,0.95175814
ES003,SECTOR,RETAIL_SERVICES,1.01708633
ES003,SECTOR,TOURISM,0.97828774
ES003,SECTOR,AGRICULTURE,1.02537263
ES003,SECTOR,TRADE_IMPORT,1.4732798
ES003,SECTOR,TRADE_EXPORT,1.27190392
ES003,SECTOR,SME_GENERAL,1.11717844
ES003,PRODUCT_GROUP,DEPOSITS,0.98924761
ES003,PRODUCT_GROUP,CARDS,0.99443083
ES003,PRODUCT_GROUP,PERSONAL_CREDIT,0.95607915
ES003,PRODUCT_GROUP,MORTGAGES,0.97024949
ES003,PRODUCT_GROUP,SME_CREDIT,1.1973326
ES003,PRODUCT_GROUP,AGRICULTURAL_CREDIT,1.08947791
ES003,PRODUCT_GROUP,BUSINESS_CREDIT_LINES,1.20882816
ES003,TRANSMISSION,transaction_activity,-0.02177496
ES003,TRANSMISSION,transaction_amount,0.04058531
ES003,TRANSMISSION,cash_preference,0.0
ES003,TRANSMISSION,digital_preference,0.0
ES003,TRANSMISSION,deposit_growth,-0.0289687
ES003,TRANSMISSION,deposit_withdrawal_pressure,0.07204421
ES003,TRANSMISSION,loan_demand,-0.0393596
ES003,TRANSMISSION,payment_stress,0.09860683
ES003,TRANSMISSION,delinquency_entry,0.06300467
ES003,TRANSMISSION,cure_probability,-0.03951762
ES003,TRANSMISSION,branch_operating_cost,0.0
ES003,TRANSMISSION,business_activity,-0.05298293
ES003,TRANSMISSION,interest_rate_pressure,0.06501446
ES003,TRANSMISSION,usd_preference,0.25847759
ES004,REGION,MONTEVIDEO,0.94935352
