customer_id,agent_type,region,sector,resilience_score,vulnerability_score,resilience_band
C0000001,BUSINESS,CENTER,SME_GENERAL,0.41401093,0.58598907,LOW
C0000002,HOUSEHOLD,CENTER,HOUSEHOLD,0.74168519,0.25831481,HIGH
C0000003,HOUSEHOLD,CENTER,HOUSEHOLD,0.64358472,0.35641528,HIGH
C0000004,HOUSEHOLD,CENTER,HOUSEHOLD,0.34286015,0.65713985,LOW
C0000005,HOUSEHOLD,CENTER,HOUSEHOLD,0.4845945,0.5154055,MEDIUM
C0000006,HOUSEHOLD,CENTER,HOUSEHOLD,0.43114456,0.56885544,LOW
C0000007,HOUSEHOLD,CENTER,HOUSEHOLD,0.49384663,0.50615337,MEDIUM
C0000008,BUSINESS,CENTER,SME_GENERAL,0.29863689,0.70136311,VERY_LOW
C0000009,HOUSEHOLD,CENTER,HOUSEHOLD,0.3598051,0.6401949,LOW
C0000010,HOUSEHOLD,CENTER,HOUSEHOLD,0.43514423,0.56485577,LOW
C0000011,HOUSEHOLD,CENTER,HOUSEHOLD,0.64159554,0.35840446,HIGH
C0000012,HOUSEHOLD,CENTER,HOUSEHOLD,0.25588389,0.74411611,VERY_LOW
C0000013,HOUSEHOLD,CENTER,HOUSEHOLD,0.5113204,0.4886796,MEDIUM
C0000014,HOUSEHOLD,CENTER,HOUSEHOLD,0.19550025,0.80449975,VERY_LOW
C0000015,HOUSEHOLD,CENTER,HOUSEHOLD,0.59866492,0.40133508,MEDIUM
C0000016,HOUSEHOLD,CENTER,HOUSEHOLD,0.36572385,0.63427615,LOW
C0000017,HOUSEHOLD,CENTER,HOUSEHOLD,0.58703882,0.41296118,MEDIUM
C0000018,HOUSEHOLD,CENTER,HOUSEHOLD,0.30204861,0.69795139,LOW
C0000019,HOUSEHOLD,CENTER,HOUSEHOLD,0.46695136,0.53304864,MEDIUM
C0000020,HOUSEHOLD,CENTER,HOUSEHOLD,0.66787969,0.33212031,HIGH
C0000021,BUSINESS,CENTER,SME_GENERAL,0.32877454,0.67122546,LOW
C0000022,HOUSEHOLD,CENTER,HOUSEHOLD,0.48504344,0.51495656,MEDIUM
C0000023,HOUSEHOLD,CENTER,HOUSEHOLD,0.76101736,0.23898264,VERY_HIGH
C0000024,HOUSEHOLD,CENTER,HOUSEHOLD,0.6819489,0.3180511,HIGH
C0000025,HOUSEHOLD,CENTER,HOUSEHOLD,0.47793222,0.52206778,MEDIUM
C0000026,HOUSEHOLD,CENTER,HOUSEHOLD,0.53845553,0.46154447,MEDIUM
C0000027,HOUSEHOLD,CENTER,HOUSEHOLD,0.35304376,0.64695624,LOW
C0000028,HOUSEHOLD,CENTER,HOUSEHOLD,0.34313904,0.65686096,LOW
C0000029,HOUSEHOLD,CENTER,HOUSEHOLD,0.59359361,0.40640639,MEDIUM
C0000030,HOUSEHOLD,CENTER,HOUSEHOLD,0.55583417,0.44416583,MEDIUM
C0000031,HOUSEHOLD,CENTER,HOUSEHOLD,0.68033585,0.31966415,HIGH
C0000032,HOUSEHOLD,CENTER,HOUSEHOLD,0.48332545,0.51667455,MEDIUM
C0000033,HOUSEHOLD,CENTER,HOUSEHOLD,0.68535263,0.31464737,HIGH
C0000034,HOUSEHOLD,CENTER,HOUSEHOLD,0.81004372,0.18995628,VERY_HIGH
C0000035,HOUSEHOLD,CENTER,HOUSEHOLD,0.62369532,0.37630468,HIGH
C0000036,HOUSEHOLD,CENTER,HOUSEHOLD,0.41459907,0.58540093,LOW
C0000037,HOUSEHOLD,CENTER,HOUSEHOLD,0.37872753,0.62127247,LOW
C0000038,HOUSEHOLD,CENTER,HOUSEHOLD,0.52326589,0.47673411,MEDIUM
C0000039,HOUSEHOLD,CENTER,HOUSEHOLD,0.63801506,0.36198494,HIGH
C0000040,HOUSEHOLD,CENTER,HOUSEHOLD,0.35875137,0.64124863,LOW
C0000041,HOUSEHOLD,CENTER,HOUSEHOLD,0.60710199,0.39289801,HIGH
C0000042,HOUSEHOLD,CENTER,HOUSEHOLD,0.44888236,0.55111764,LOW
C0000043,HOUSEHOLD,CENTER,HOUSEHOLD,0.52388972,0.47611028,MEDIUM
C0000044,HOUSEHOLD,CENTER,HOUSEHOLD,0.66218933,0.33781067,HIGH
C0000045,HOUSEHOLD,CENTER,HOUSEHOLD,0.50956683,0.49043317,MEDIUM
