campaign_id,geography_level,geography_value
M001,NATIONAL,URUGUAY
M002,DEPARTMENT,Cerro Largo
M002,DEPARTMENT,Treinta y Tres
M002,DEPARTMENT,Rocha
M003,NATIONAL,URUGUAY
M004,NATIONAL,URUGUAY
M005,NATIONAL,URUGUAY
M006,NATIONAL,URUGUAY
M007,NATIONAL,URUGUAY
M008,NATIONAL,URUGUAY
M009,NATIONAL,URUGUAY
M010,NATIONAL,URUGUAY
M011,LOCALITY,Punta del Este
M011,LOCALITY,Piriápolis
M011,LOCALITY,La Paloma
M011,LOCALITY,Chuy
M012,NATIONAL,URUGUAY
M013,NATIONAL,URUGUAY
M014,DEPARTMENT,Cerro Largo
M014,DEPARTMENT,Treinta y Tres
M014,DEPARTMENT,Rocha
M014,DEPARTMENT,Tacuarembó
M015,NATIONAL,URUGUAY
M016,NATIONAL,URUGUAY
M017,NATIONAL,URUGUAY
M018,NATIONAL,URUGUAY
M019,REGION,EAST
M020,LOCALITY,Vergara
M020,LOCALITY,La Charqueada
M020,LOCALITY,Cerro Chato
M020,LOCALITY,José Pedro Varela
M020,LOCALITY,Río Branco
M020,LOCALITY,Aceguá
