branch_id,branch_name,branch_type,branch_size,status,opening_year,opening_reason,closing_year,closure_reason,parent_branch_id,department,locality,region,latitude,longitude
1,Treinta y Tres,BRANCH,LARGE,OPEN,1969,FOUNDING,,,,Treinta y Tres,Treinta y Tres,EAST,,
2,Vergara,AGENCY,SMALL,OPEN,1974,LOCAL_EXPANSION,,,1.0,Treinta y Tres,Vergara,EAST,,
3,José Pedro Varela,BRANCH,MEDIUM,OPEN,1974,REGIONAL_EXPANSION,,,,Lavalleja,José Pedro Varela,EAST,,
4,La Charqueada,AGENCY,SMALL,OPEN,1978,LOCAL_EXPANSION,,,1.0,Treinta y Tres,La Charqueada,EAST,,
5,Melo,BRANCH,LARGE,OPEN,1982,REGIONAL_EXPANSION,,,,Cerro Largo,Melo,EAST,,
6,Cerro Chato,AGENCY,SMALL,OPEN,1983,LOCAL_EXPANSION,,,1.0,Treinta y Tres,Cerro Chato,EAST,,
7,Santa Clara de Olimar,AGENCY,SMALL,OPEN,1983,LOCAL_EXPANSION,,,1.0,Treinta y Tres,Santa Clara de Olimar,EAST,,
8,Rocha,BRANCH,MEDIUM,OPEN,1987,REGIONAL_EXPANSION,,,,Rocha,Rocha,EAST,,
9,Chuy,AGENCY,SMALL,OPEN,1988,BORDER_EXPANSION,,,8.0,Rocha,Chuy,EAST,,
10,Río Branco,AGENCY,SMALL,OPEN,1990,BORDER_EXPANSION,,,5.0,Cerro Largo,Río Branco,EAST,,
11,Aceguá,AGENCY,SMALL,OPEN,1990,BORDER_EXPANSION,,,5.0,Cerro Largo,Aceguá,EAST,,
12,Minas,BRANCH,MEDIUM,OPEN,1994,REGIONAL_EXPANSION,,,,Lavalleja,Minas,EAST,,
13,Maldonado,BRANCH,LARGE,OPEN,1997,REGIONAL_EXPANSION,,,,Maldonado,Maldonado,EAST,,
14,Piriápolis,AGENCY,SMALL,OPEN,1998,REGIONAL_EXPANSION,,,13.0,Maldonado,Piriápolis,EAST,,
15,Punta del Este,AGENCY,MEDIUM,OPEN,1999,REGIONAL_EXPANSION,,,13.0,Maldonado,Punta del Este,EAST,,
16,La Paloma,AGENCY,SMALL,OPEN,1999,REGIONAL_EXPANSION,,,8.0,Rocha,La Paloma,EAST,,
17,Montevideo Centro,BRANCH,LARGE,OPEN,2005,METROPOLITAN_EXPANSION,,,,Montevideo,Montevideo,METROPOLITAN,,
18,Pando,AGENCY,SMALL,OPEN,2006,METROPOLITAN_EXPANSION,,,17.0,Canelones,Pando,METROPOLITAN,,
19,WTC,AGENCY,MEDIUM,OPEN,2006,METROPOLITAN_EXPANSION,,,17.0,Montevideo,Montevideo,METROPOLITAN,,
20,Canelones,BRANCH,MEDIUM,OPEN,2008,METROPOLITAN_EXPANSION,,,,Canelones,Canelones,METROPOLITAN,,
21,Durazno,BRANCH,MEDIUM,OPEN,2009,NATIONAL_EXPANSION,,,,Durazno,Durazno,CENTRAL,,
22,Rivera,BRANCH,MEDIUM,OPEN,2010,NATIONAL_EXPANSION,,,,Rivera,Rivera,NORTH,,
23,Las Piedras,AGENCY,MEDIUM,OPEN,2010,METROPOLITAN_EXPANSION,,,20.0,Canelones,Las Piedras,METROPOLITAN,,
24,Tacuarembó,BRANCH,MEDIUM,OPEN,2010,NATIONAL_EXPANSION,,,,Tacuarembó,Tacuarembó,CENTRAL,,
25,Prado,AGENCY,SMALL,OPEN,2011,METROPOLITAN_EXPANSION,,,17.0,Montevideo,Montevideo,METROPOLITAN,,
26,Carrasco,AGENCY,SMALL,OPEN,2013,METROPOLITAN_EXPANSION,,,17.0,Montevideo,Montevideo,METROPOLITAN,,
27,Colonia del Sacramento,BRANCH,MEDIUM,OPEN,2014,NATIONAL_EXPANSION,,,,Colonia,Colonia del Sacramento,LITTORAL,,
28,Ciudad de la Costa,AGENCY,SMALL,OPEN,2015,METROPOLITAN_EXPANSION,,,17.0,Canelones,Ciudad de la Costa,METROPOLITAN,,
29,Florida,BRANCH,MEDIUM,OPEN,2015,NATIONAL_EXPANSION,,,,Florida,Florida,CENTRAL,,
30,San José de Mayo,BRANCH,MEDIUM,OPEN,2016,NATIONAL_EXPANSION,,,,San José,San José de Mayo,METROPOLITAN,,
31,Mercedes,BRANCH,MEDIUM,OPEN,2016,NATIONAL_EXPANSION,,,,Soriano,Mercedes,LITTORAL,,
32,Salto,BRANCH,MEDIUM,OPEN,2017,NATIONAL_EXPANSION,,,,Salto,Salto,NORTH,,
33,Trinidad,AGENCY,MEDIUM,OPEN,2017,NATIONAL_EXPANSION,,,21.0,Flores,Trinidad,CENTRAL,,
34,Paysandú,BRANCH,MEDIUM,OPEN,2018,NATIONAL_EXPANSION,,,,Paysandú,Paysandú,LITTORAL,,
35,Fray Bentos,BRANCH,MEDIUM,OPEN,2019,NATIONAL_EXPANSION,,,,Río Negro,Fray Bentos,LITTORAL,,
36,Artigas,BRANCH,SMALL,OPEN,2019,NATIONAL_EXPANSION,,,,Artigas,Artigas,NORTH,,
37,Colón,AGENCY,SMALL,OPEN,2019,METROPOLITAN_EXPANSION,,,17.0,Montevideo,Montevideo,METROPOLITAN,,
