campaign_id,customer_id,selection_date,exposure_status,exposure_date,response_status,response_date
M001,C0003423,2021-02-01,EXPOSED,2021-03-24,NO_RESPONSE,
M001,C0002210,2021-02-02,EXPOSED,2021-02-14,NO_RESPONSE,
M001,C0008668,2021-02-02,EXPOSED,2021-02-15,NO_RESPONSE,
M001,C0015370,2021-02-02,EXPOSED,2021-04-03,NO_RESPONSE,
M001,C0000644,2021-02-03,EXPOSED,2021-02-14,NO_RESPONSE,
M001,C0001014,2021-02-03,EXPOSED,2021-03-07,NO_RESPONSE,
M001,C0003109,2021-02-03,EXPOSED,2021-02-14,NO_RESPONSE,
M001,C0012587,2021-02-03,NOT_EXPOSED,,,
M001,C0012719,2021-02-03,EXPOSED,2021-02-23,NO_RESPONSE,
M001,C0015837,2021-02-03,NOT_EXPOSED,,,
M001,C0017294,2021-02-03,EXPOSED,2021-02-04,NO_RESPONSE,
M001,C0018603,2021-02-03,EXPOSED,2021-04-01,POSITIVE,2021-04-02
M001,C0018692,2021-02-03,EXPOSED,2021-02-24,NEGATIVE,2021-03-01
M001,C0002057,2021-02-04,EXPOSED,2021-02-27,NO_RESPONSE,
M001,C0008840,2021-02-04,EXPOSED,2021-03-31,NO_RESPONSE,
M001,C0016933,2021-02-04,EXPOSED,2021-03-12,NEGATIVE,2021-03-13
M001,C0019853,2021-02-04,EXPOSED,2021-03-20,NEUTRAL,2021-03-20
M001,C0000308,2021-02-05,EXPOSED,2021-02-17,NO_RESPONSE,
M001,C0002545,2021-02-05,EXPOSED,2021-02-08,NO_RESPONSE,
M001,C0006958,2021-02-05,EXPOSED,2021-03-07,NO_RESPONSE,
M001,C0008344,2021-02-05,EXPOSED,2021-02-20,NO_RESPONSE,
M001,C0010466,2021-02-05,NOT_EXPOSED,,,
M001,C0013407,2021-02-05,NOT_EXPOSED,,,
M001,C0015511,2021-02-05,EXPOSED,2021-02-17,NO_RESPONSE,
M001,C0017851,2021-02-05,NOT_EXPOSED,,,
M001,C0000072,2021-02-06,EXPOSED,2021-03-02,POSITIVE,2021-03-07
M001,C0000106,2021-02-06,EXPOSED,2021-03-24,NO_RESPONSE,
M001,C0001181,2021-02-06,NOT_EXPOSED,,,
M001,C0007829,2021-02-06,EXPOSED,2021-03-18,NO_RESPONSE,
M001,C0010144,2021-02-06,NOT_EXPOSED,,,
M001,C0019844,2021-02-06,EXPOSED,2021-04-20,NO_RESPONSE,
M001,C0000112,2021-02-07,EXPOSED,2021-03-07,NO_RESPONSE,
M001,C0006977,2021-02-07,EXPOSED,2021-03-11,NO_RESPONSE,
M001,C0011671,2021-02-07,EXPOSED,2021-03-08,NO_RESPONSE,
M001,C0013064,2021-02-07,EXPOSED,2021-02-19,NO_RESPONSE,
