exposure_id,campaign_id,customer_id,exposure_datetime,channel
E000481,M001,C0017294,2021-02-04 10:04:40,EMAIL
E000299,M001,C0002545,2021-02-08 12:52:52,EMAIL
E000633,M001,C0018223,2021-02-14 11:09:44,BRANCH
E000282,M001,C0000644,2021-02-14 14:08:50,WEB
E000020,M001,C0002210,2021-02-14 14:51:14,SOCIAL_MEDIA
E000103,M001,C0003109,2021-02-14 17:53:26,SOCIAL_MEDIA
E000804,M001,C0016489,2021-02-15 12:17:59,EMAIL
E000107,M001,C0008668,2021-02-15 16:01:43,BRANCH
E000542,M001,C0003799,2021-02-15 21:26:17,EMAIL
E000182,M001,C0003081,2021-02-17 09:16:28,WEB
E000656,M001,C0015997,2021-02-17 09:40:44,WEB
E000429,M001,C0000308,2021-02-17 12:15:19,EMAIL
E000093,M001,C0015511,2021-02-17 19:53:42,SOCIAL_MEDIA
E000741,M001,C0013112,2021-02-18 15:38:58,BRANCH
E000374,M001,C0004314,2021-02-19 09:24:57,WEB
E000086,M001,C0017213,2021-02-19 11:28:34,EMAIL
E000853,M001,C0013064,2021-02-19 13:46:27,EMAIL
E000599,M001,C0011351,2021-02-19 14:04:54,EMAIL
E000548,M001,C0013899,2021-02-20 07:27:45,SOCIAL_MEDIA
E000201,M001,C0002427,2021-02-20 08:51:26,WEB
E000390,M001,C0008344,2021-02-20 12:37:05,EMAIL
E000259,M001,C0000235,2021-02-20 15:56:25,WEB
E000466,M001,C0016615,2021-02-21 07:22:42,WEB
E000192,M001,C0007164,2021-02-22 17:50:57,EMAIL
E000694,M001,C0012719,2021-02-23 15:17:34,BRANCH
E000337,M001,C0018692,2021-02-24 11:54:22,EMAIL
E000531,M001,C0006402,2021-02-24 14:19:30,BRANCH
E000434,M001,C0015616,2021-02-24 18:03:46,WEB
E000723,M001,C0011272,2021-02-24 18:37:39,WEB
E000838,M001,C0003532,2021-02-25 07:23:36,EMAIL
E000118,M001,C0007730,2021-02-25 10:58:16,BRANCH
E000411,M001,C0007305,2021-02-25 11:41:02,BRANCH
E000070,M001,C0007147,2021-02-25 13:45:27,EMAIL
E000586,M001,C0019283,2021-02-25 22:44:59,SOCIAL_MEDIA
E000108,M001,C0012169,2021-02-26 11:29:59,EMAIL
E000814,M001,C0010828,2021-02-26 13:32:49,BRANCH
E000292,M001,C0002057,2021-02-27 12:03:27,WEB
E000772,M001,C0011840,2021-02-28 12:15:00,EMAIL
E000717,M001,C0017781,2021-02-28 12:27:39,BRANCH
E000138,M001,C0011677,2021-02-28 14:16:15,SOCIAL_MEDIA
E000052,M001,C0007091,2021-02-28 14:54:03,SOCIAL_MEDIA
E000618,M001,C0013353,2021-02-28 15:00:53,WEB
E000678,M001,C0013547,2021-03-01 07:00:33,SOCIAL_MEDIA
E000704,M001,C0010868,2021-03-01 15:20:34,SOCIAL_MEDIA
E000780,M001,C0009702,2021-03-01 18:03:08,SOCIAL_MEDIA
E000255,M001,C0014663,2021-03-01 20:33:44,EMAIL
E000113,M001,C0003614,2021-03-01 21:01:11,WEB
E000114,M001,C0005600,2021-03-01 21:05:07,WEB
E000226,M001,C0013343,2021-03-01 22:39:41,SOCIAL_MEDIA
E000346,M001,C0004816,2021-03-02 07:04:08,EMAIL
E000413,M001,C0014197,2021-03-02 08:51:24,EMAIL
E000824,M001,C0002637,2021-03-02 10:07:54,WEB
E000054,M001,C0018026,2021-03-02 11:21:40,WEB
E000646,M001,C0000072,2021-03-02 12:38:21,EMAIL
E000682,M001,C0010535,2021-03-02 15:23:42,SOCIAL_MEDIA
E000857,M001,C0003396,2021-03-02 16:11:02,BRANCH
E000003,M001,C0015742,2021-03-02 17:59:58,SOCIAL_MEDIA
E000336,M001,C0016027,2021-03-02 20:44:17,SOCIAL_MEDIA
E000525,M001,C0001291,2021-03-04 07:40:48,EMAIL
E000153,M001,C0013832,2021-03-04 08:25:46,EMAIL
E000257,M001,C0006581,2021-03-04 09:34:42,WEB
E000343,M001,C0008633,2021-03-04 12:29:38,WEB
E000293,M001,C0013484,2021-03-04 19:57:38,SOCIAL_MEDIA
E000021,M001,C0002210,2021-03-05 11:21:23,WEB
E000015,M001,C0005035,2021-03-05 12:19:34,EMAIL
E000245,M001,C0004656,2021-03-05 14:49:58,BRANCH
E000217,M001,C0012468,2021-03-05 17:22:34,EMAIL
E000657,M001,C0015997,2021-03-05 17:31:29,SOCIAL_MEDIA
E000863,M001,C0008350,2021-03-05 19:56:24,WEB
E000614,M001,C0008568,2021-03-06 12:02:51,BRANCH
E000736,M001,C0012591,2021-03-06 13:28:14,WEB
E000184,M001,C0018953,2021-03-06 21:23:16,EMAIL
E000489,M001,C0010713,2021-03-07 07:38:44,EMAIL
E000016,M001,C0006958,2021-03-07 07:57:25,WEB
E000634,M001,C0003075,2021-03-07 14:25:35,WEB
E000545,M001,C0003128,2021-03-07 16:36:09,BRANCH
E000391,M001,C0000112,2021-03-07 17:58:25,EMAIL
E000381,M001,C0000362,2021-03-07 19:41:57,WEB
E000176,M001,C0001014,2021-03-07 21:40:56,EMAIL
E000450,M001,C0012502,2021-03-08 08:10:11,SOCIAL_MEDIA
E000852,M001,C0013414,2021-03-08 12:37:21,EMAIL
