role,relative_path,format,size_bytes,rows,columns,sha256
canonical,data/generated/world/macro_environment.csv,csv,1072,6,10,db9819cc327c1055f8a66cac448cdccfd0c0c98582d96ca84d2c604c75ca0e95
canonical,data/generated/core/banks.csv,csv,1995,19,10,0fbd1c406b56d1c48b6c06b62b90179ffff3747ddcc2a027f0ea5115c14ce176
canonical,data/generated/performance/bank_market_weights.csv,csv,13407,72,15,fb2c7669ea584183b47dd62db872c50ffd86509a73b1a714d0d101a9d3cd486f
canonical,data/generated/performance/bank_financials.csv,csv,14148,114,11,40bc59c65bed9a9ae276696308e10c7b00fd020aef74f31abc2f0bac0798e3b5
canonical,data/generated/performance/bank_world_parameters.csv,csv,2973,19,11,17214612a599acd1ea25cd61b90fa8cbe24d339db96700834890fcbcd1da4e0d
canonical,data/generated/world/financial_institutions.csv,csv,1746,23,9,b0cd4bc4f197013b7ed73cabd7405d365c6d4c7b0d4dcf7244bc05e94ccea50d
canonical,data/generated/core/branches.csv,csv,3684,37,15,4931bd1b35508bde9cb06465e49ca620cbb27862eabedbd74d77a314a7a53620
canonical,data/generated/core/customers.parquet,parquet,548116,20000,23,5e064d6205e47f27560945e6f65ea359bee62bc0f8fb1c3cc13adbcf408b4db6
canonical,data/generated/core/accounts.parquet,parquet,299180,42594,8,a612b80cdcffeb756df9ef1c4f518e2e5466ffb63a72fca81a2e7c4c1a9b5fd4
canonical,data/generated/core/cards.parquet,parquet,489491,55639,8,aba42c8f7b05ac8de9c83edd0837a86ee2628ab9391a1e71e88c8ae4d16c048f
canonical,data/generated/core/loans.parquet,parquet,461737,42852,12,3eccc857f78b068707f3a4b1298bbfdc3484f8e4acf526eb3f3b5561f29ed171
canonical,data/generated/credit/loan_monthly_snapshot.parquet,parquet,21904046,921029,9,9f23c1d456cb9ed2483574002e0e28f62030dd2825e5214aa2d56c4759014aa8
canonical,data/generated/performance/external_shocks.csv,csv,2197,12,17,334cbceb379196343d3fe4492f7bd0a654277f3555ea50fcce751eb87861a772
canonical,data/generated/transactions/transactions.parquet,parquet,6898388,354119,14,19623043c5bc0ce8d6240292271979415b1b6d038895ad918beba343aa069be8
canonical,data/generated/core/account_balances.parquet,parquet,1072289,35639,6,e578f18c1275967ba1e0e330b02e0ff143f3f26905a22abed85839800dcf99da
canonical,data/generated/campaigns/campaigns.csv,csv,1549,20,7,931b3faa3fa7cfa213d7d285da18e8a963405cd859d11ab821ce257741bb3500
canonical,data/generated/campaigns/campaign_customers.parquet,parquet,147040,21187,7,055ed54a4f20abc4a17ee996e4b1e1b289f23f4bbe8628e505ef33cff80d04d9
canonical,data/generated/campaigns/campaign_exposures.parquet,parquet,535688,30892,5,68b1031dd1de9c52c879be2235c066f209c17d8d8a6e197cdf1dbdf469e69401
canonical,data/generated/performance/branch_monthly_performance.parquet,parquet,346284,2664,22,25684b0cb598b5076d8f5b31b7383d6c8a0cd700ba4cdae17260a86f374ec266
canonical,data/generated/performance/bank_monthly_performance.parquet,parquet,24844,72,21,a322abb3d339aec0c822c93a3ff30878bf77a3c4e32fa757b51f9234345cb34b
operational,data/operational/customers.csv,csv,2832407,20000,23,af81bb9bb032219ae891b7e9b8220c0abfc27aed12375b4865b7ab93126697f6
operational,data/operational/accounts.csv,csv,2184994,42594,8,813fc542152ba9b9745b84c3f3bc07c70676fe47e1d7c3b0a01770566c9ae329
operational,data/operational/cards.csv,csv,2994839,55639,8,6a2afe6979cc6d6bade84e645d1fb467e931a41647c973c23be02db3371256c9
operational,data/operational/loans.csv,csv,3277526,42852,12,5b6dc8f251620142e8747beea92805c8ad0d80e0a76dd9286684284caa120974
operational,data/operational/branches.csv,csv,3650,37,15,cdc4f7aeda4d0a78e522eedc35a568f79a45b797bca711bc81e9f79b2c6ef181
operational,data/operational/transactions.csv,csv,40517244,354119,14,05f9fbaeed2352bfe2fae0e741e619d5e18235298173ea860cba3caf0210beae
operational,data/operational/campaign_customers.csv,csv,1206261,21187,7,f4e11709905d0f141b18f8cd07f9a19491a7ea5e201d128dfcae5201c97b77d1
operational,data/operational/campaign_exposures.csv,csv,1883672,30925,5,a04ecbd0d06c9d46d3e1b27e8dfac4768ba30d2413dd3fdd1e2ef5a643e1c63b
provenance,data/interim/data_reliability_world.csv,csv,1129,6,11,e738115225930fa21ca0b5388cfca84e0522e079ffb43275bee88ac2afc116b9
provenance,data/interim/data_reliability_audit.csv,csv,353,5,5,0dfca7a17e6807df743652f05787816338e91c5697534a0ac8e944ed202c9f06
provenance,data/interim/operational_export_sources.csv,csv,3328,8,9,429a41996744eec2a8dc9480e630a9244072d3a67ec1df729c5e8b4ee0b62735
provenance,data/interim/audits/cross_system_audit_results.csv,csv,4521,69,4,59ad70386b694dbd06c9b8398303b5e6f8b3bc5d549b1c192ca2f8f7b3339420
provenance,data/interim/audits/cross_system_resolved_sources.csv,csv,5645,31,5,706f1e5a3310840f517b7177bbb9ace2e8a2e650c7bcef8f8d9b9581be3bab49
