campaign_id,channel
M001,EMAIL
M001,SOCIAL_MEDIA
M001,WEB
M001,BRANCH
M002,BRANCH
M002,PHONE
M002,DIRECT_MAIL
M002,EMAIL
M003,EMAIL
M003,PHONE
M003,BRANCH
M004,EMAIL
M004,WEB
M004,BRANCH
M005,SOCIAL_MEDIA
M005,MOBILE_APP
M005,WEB
M005,EMAIL
M006,EMAIL
M006,PHONE
M006,BRANCH
M006,WEB
M007,EMAIL
M007,SMS
M007,MOBILE_APP
M007,WEB
M008,EMAIL
M008,WEB
M008,BRANCH
M008,PHONE
M009,EMAIL
M009,PHONE
M009,BRANCH
M009,DIRECT_MAIL
M010,EMAIL
M010,PHONE
M010,WEB
M010,BRANCH
M011,SOCIAL_MEDIA
M011,MOBILE_APP
M011,BRANCH
M011,SMS
M012,SOCIAL_MEDIA
M012,WEB
M012,EMAIL
M012,MOBILE_APP
M013,EMAIL
M013,PHONE
M013,SMS
M013,BRANCH
M014,BRANCH
M014,PHONE
M014,EMAIL
M014,DIRECT_MAIL
M015,EMAIL
M015,PHONE
M015,WEB
M015,BRANCH
M016,EMAIL
M016,MOBILE_APP
M016,WEB
M017,EMAIL
M017,MOBILE_APP
M017,PHONE
M017,BRANCH
M018,EMAIL
M018,MOBILE_APP
M018,PHONE
M018,DIRECT_MAIL
M019,BRANCH
M019,EMAIL
M019,MOBILE_APP
M019,SOCIAL_MEDIA
M020,BRANCH
M020,PHONE
M020,DIRECT_MAIL
M020,SMS
