account_id,customer_id,product_id,branch_id,opening_year,account_status,closing_year,opening_channel
A0000001,C0000001,P002,017,2011,ACTIVE,,BRANCH
A0000002,C0000001,P003,017,2011,CLOSED,2019,BRANCH
A0000003,C0000001,P007,017,2014,ACTIVE,,BRANCH
A0000004,C0000001,P004,031,2016,ACTIVE,,BRANCH
A0000005,C0000001,P004,017,2014,CLOSED,2016,BRANCH
A0000006,C0000001,P001,022,2021,ACTIVE,,DIGITAL
A0000007,C0000002,P006,023,2021,ACTIVE,,BRANCH
A0000008,C0000003,P001,001,2018,CLOSED,2024,BRANCH
A0000009,C0000004,P005,009,2013,ACTIVE,,BRANCH
A0000010,C0000004,P003,024,2010,CLOSED,2014,BRANCH
A0000011,C0000004,P001,009,2022,ACTIVE,,BRANCH
A0000012,C0000005,P003,014,2016,CLOSED,2018,BRANCH
A0000013,C0000005,P001,024,2024,ACTIVE,,DIGITAL
A0000014,C0000006,P002,017,2017,CLOSED,2023,REMOTE_ASSISTED
A0000015,C0000006,P002,017,2018,CLOSED,2020,BRANCH
A0000016,C0000006,P001,017,2025,ACTIVE,,BRANCH
A0000017,C0000007,P008,019,2018,ACTIVE,,REMOTE_ASSISTED
A0000018,C0000007,P001,019,2020,ACTIVE,,REMOTE_ASSISTED
A0000019,C0000007,P007,012,2018,CLOSED,2019,BRANCH
A0000020,C0000007,P001,019,2018,ACTIVE,,BRANCH
A0000021,C0000007,P002,019,2021,ACTIVE,,BRANCH
A0000022,C0000007,P003,019,2022,ACTIVE,,BRANCH
A0000023,C0000007,P004,012,2023,CLOSED,2025,BRANCH
A0000024,C0000007,P007,019,2024,ACTIVE,,REMOTE_ASSISTED
A0000025,C0000008,P003,023,2026,ACTIVE,,BRANCH
A0000026,C0000009,P003,020,2020,ACTIVE,,DIGITAL
A0000027,C0000009,P002,022,2025,ACTIVE,,DIGITAL
A0000028,C0000009,P007,020,2026,ACTIVE,,BRANCH
A0000029,C0000010,P002,024,2018,ACTIVE,,BRANCH
A0000030,C0000011,P005,037,2025,ACTIVE,,DIGITAL
A0000031,C0000013,P005,022,2024,ACTIVE,,DIGITAL
A0000032,C0000013,P001,022,2024,ACTIVE,,REMOTE_ASSISTED
A0000033,C0000014,P002,031,2026,CLOSED,2026,DIGITAL
A0000034,C0000015,P003,023,2021,CLOSED,2025,DIGITAL
A0000035,C0000016,P007,008,2021,CLOSED,2025,BRANCH
A0000036,C0000017,P005,002,2026,ACTIVE,,BRANCH
A0000037,C0000018,P002,022,2021,ACTIVE,,BRANCH
A0000038,C0000018,P001,016,2022,CLOSED,2025,REMOTE_ASSISTED
A0000039,C0000019,P004,034,2021,ACTIVE,,BRANCH
A0000040,C0000020,P007,018,2018,CLOSED,2022,BRANCH
A0000041,C0000021,P004,012,2021,ACTIVE,,BRANCH
A0000042,C0000021,P001,003,2026,ACTIVE,,DIGITAL
A0000043,C0000022,P001,025,2023,ACTIVE,,DIGITAL
A0000044,C0000022,P001,025,2023,ACTIVE,,REMOTE_ASSISTED
A0000045,C0000023,P001,005,2004,CLOSED,2018,BRANCH
A0000046,C0000023,P001,007,2007,CLOSED,2015,BRANCH
A0000047,C0000023,P002,007,2003,CLOSED,2007,BRANCH
A0000048,C0000023,P002,007,2005,CLOSED,2012,BRANCH
A0000049,C0000024,P005,005,2002,CLOSED,2004,BRANCH
A0000050,C0000024,P005,017,2005,CLOSED,2007,BRANCH
A0000051,C0000024,P005,019,2006,CLOSED,2007,BRANCH
A0000052,C0000024,P001,008,2001,CLOSED,2005,BRANCH
A0000053,C0000026,P005,017,2010,CLOSED,2012,BRANCH
A0000054,C0000027,P001,011,2008,CLOSED,2023,BRANCH
A0000055,C0000028,P005,019,2011,CLOSED,2019,BRANCH
A0000056,C0000029,P002,024,2015,ACTIVE,,BRANCH
A0000057,C0000029,P005,019,2026,ACTIVE,,DIGITAL
A0000058,C0000030,P005,016,2012,ACTIVE,,BRANCH
A0000059,C0000030,P001,019,2011,CLOSED,2019,BRANCH
A0000060,C0000030,P003,019,2017,ACTIVE,,BRANCH
A0000061,C0000030,P005,019,2015,CLOSED,2024,BRANCH
A0000062,C0000030,P002,019,2017,CLOSED,2021,REMOTE_ASSISTED
A0000063,C0000031,P001,004,2005,ACTIVE,,BRANCH
A0000064,C0000031,P001,004,2009,ACTIVE,,BRANCH
A0000065,C0000031,P001,019,2024,CLOSED,2025,DIGITAL
A0000066,C0000032,P005,024,2024,ACTIVE,,DIGITAL
A0000067,C0000033,P005,019,2017,ACTIVE,,BRANCH
A0000068,C0000034,P007,015,2022,ACTIVE,,BRANCH
A0000069,C0000035,P005,010,2025,ACTIVE,,BRANCH
A0000070,C0000036,P005,035,2026,ACTIVE,,DIGITAL
A0000071,C0000037,P001,023,2019,ACTIVE,,DIGITAL
A0000072,C0000038,P003,027,2017,ACTIVE,,BRANCH
A0000073,C0000039,P002,025,2019,ACTIVE,,BRANCH
A0000074,C0000040,P005,019,2026,ACTIVE,,REMOTE_ASSISTED
A0000075,C0000041,P006,025,2025,ACTIVE,,DIGITAL
A0000076,C0000042,P004,005,2011,CLOSED,2014,BRANCH
A0000077,C0000043,P005,008,2022,CLOSED,2025,DIGITAL
A0000078,C0000044,P004,017,2025,ACTIVE,,BRANCH
A0000079,C0000045,P001,033,2026,ACTIVE,,REMOTE_ASSISTED
A0000080,C0000046,P003,026,2020,CLOSED,2025,REMOTE_ASSISTED
A0000081,C0000046,P005,026,2020,CLOSED,2025,BRANCH
A0000082,C0000046,P002,026,2021,CLOSED,2025,DIGITAL
A0000083,C0000046,P001,026,2024,CLOSED,2025,DIGITAL
A0000084,C0000047,P007,001,1989,CLOSED,1991,BRANCH
A0000085,C0000047,P002,001,1991,CLOSED,1992,BRANCH
A0000086,C0000047,P007,001,1990,CLOSED,1994,BRANCH
A0000087,C0000047,P001,008,1990,CLOSED,1993,BRANCH
A0000088,C0000048,P007,019,2022,CLOSED,2022,BRANCH
A0000089,C0000049,P003,031,2025,ACTIVE,,REMOTE_ASSISTED
A0000090,C0000050,P001,036,2019,ACTIVE,,BRANCH
A0000091,C0000050,P005,037,2023,ACTIVE,,REMOTE_ASSISTED
A0000092,C0000050,P001,025,2023,ACTIVE,,REMOTE_ASSISTED
A0000093,C0000050,P004,026,2025,ACTIVE,,REMOTE_ASSISTED
A0000094,C0000050,P002,025,2025,ACTIVE,,REMOTE_ASSISTED
