product_id,product_name,product_family,currency,target_customer_type,launch_year
P001,Savings Account UYU,TRANSACTIONAL_ACCOUNT,UYU,BOTH,1969
P002,Savings Account USD,TRANSACTIONAL_ACCOUNT,USD,BOTH,1976
P003,Current Account UYU,TRANSACTIONAL_ACCOUNT,UYU,BOTH,1969
P004,Current Account USD,TRANSACTIONAL_ACCOUNT,USD,BOTH,1982
P005,Payroll Account,TRANSACTIONAL_ACCOUNT,UYU,INDIVIDUAL,2001
P006,Youth / Student Account,TRANSACTIONAL_ACCOUNT,UYU,INDIVIDUAL,2014
P007,Fixed-Term Deposit UYU,SAVINGS_DEPOSIT,UYU,BOTH,1971
P008,Fixed-Term Deposit USD,SAVINGS_DEPOSIT,USD,BOTH,1978
P009,Debit Card,CARD,MULTI,BOTH,1996
P010,Classic Credit Card,CARD,MULTI,INDIVIDUAL,1993
P011,Premium Credit Card,CARD,MULTI,INDIVIDUAL,2008
P012,Personal Loan,RETAIL_LENDING,UYU,INDIVIDUAL,1973
P013,Auto Loan,RETAIL_LENDING,MULTI,BOTH,1998
P014,Mortgage Loan,RETAIL_LENDING,MULTI,INDIVIDUAL,1986
P015,SME Loan,BUSINESS_LENDING,MULTI,BUSINESS,1991
P016,Business Credit Line,BUSINESS_LENDING,MULTI,BUSINESS,1984
P017,Agricultural Loan,BUSINESS_LENDING,MULTI,BUSINESS,1969
P018,Business Leasing,BUSINESS_LENDING,MULTI,BUSINESS,2005
