loan_id,year_month,outstanding_balance,current_interest_rate,scheduled_payment,actual_payment,days_past_due,delinquency_status,arrears_amount
L0000003,2026-01,275000.0,9.34,0.0,0.0,0,CURRENT,0.0
L0000003,2026-02,270429.14,9.34,8788.51,6711.28,12,DPD_1_30,2077.23
L0000003,2026-03,261772.1,9.34,8856.54,10761.87,15,DPD_1_30,171.89
L0000003,2026-04,255017.02,9.34,8792.54,8792.54,14,DPD_1_30,171.89
L0000003,2026-05,248110.57,9.34,8792.54,8891.34,15,DPD_1_30,73.09
L0000003,2026-06,241180.91,9.34,8789.04,8860.79,14,DPD_1_30,1.34
L0000003,2026-07,234264.53,9.26,8777.49,8777.49,15,DPD_1_30,1.34
L0000003,2026-08,227293.44,9.26,8777.49,8778.83,0,CURRENT,0.0
L0000003,2026-09,227893.57,9.26,8777.44,1153.82,14,DPD_1_30,7623.62
L0000003,2026-10,214202.5,9.26,9057.31,15445.02,15,DPD_1_30,1235.91
L0000003,2026-11,0.0,9.26,8819.03,215855.43,0,CURRENT,0.0
L0000004,2021-09,1210000.0,14.63,0.0,0.0,0,CURRENT,0.0
L0000004,2021-10,1191303.22,14.63,33448.7,33448.7,0,CURRENT,0.0
L0000004,2021-11,1172378.49,14.63,33448.7,33448.7,0,CURRENT,0.0
L0000004,2021-12,1153223.04,14.63,33448.7,33448.7,0,CURRENT,0.0
L0000004,2022-01,1133834.05,14.63,33448.7,33448.7,0,CURRENT,0.0
L0000004,2022-02,1114208.68,14.63,33448.7,33448.7,0,CURRENT,0.0
L0000004,2022-03,1094646.03,15.4425,33901.12,33901.12,0,CURRENT,0.0
L0000004,2022-04,1074831.63,15.4425,33901.12,33901.12,0,CURRENT,0.0
L0000004,2022-05,1054762.25,15.4425,33901.12,33901.12,0,CURRENT,0.0
L0000004,2022-06,1034434.6,15.4425,33901.12,33901.12,0,CURRENT,0.0
L0000004,2022-07,1013845.35,15.4425,33901.12,33901.12,0,CURRENT,0.0
