bank_id,bank_name,year,revenue,operating_costs,net_income,total_assets,total_deposits,total_loans,equity,reporting_currency
B000,BTYT,2021,113452888.69,79907806.04,26439818.5,1691987661.59,1053097867.59,801251022.87,155496199.91,USD
B000,BTYT,2022,113852544.23,83955502.35,3689902.84,1786100913.2,1191494648.39,855210757.68,149892000.77,USD
B000,BTYT,2023,121157994.52,83096450.71,19942423.31,2013428731.46,1299336110.46,986488165.91,185494506.92,USD
B000,BTYT,2024,119872081.8,85275678.34,6595341.41,2130677249.31,1332601254.14,1066989337.91,179053039.62,USD
B000,BTYT,2025,119398493.42,84687503.75,3462149.95,2155638506.17,1431135595.52,1045423137.48,172451080.49,USD
B000,BTYT,2026,149095015.29,104795313.13,17736146.92,2262479932.22,1431103071.79,1035193351.66,186709714.64,USD
B001,BROU,2021,681645224.66,387722804.89,157942913.74,14739680584.26,10119737793.36,7846246937.84,1907712855.66,USD
B001,BROU,2022,884912260.9,511881321.56,170726733.63,14911325215.31,10254825291.0,7957661671.51,1810462902.69,USD
B001,BROU,2023,771212336.75,464073035.41,231619084.62,15197661329.22,10561265059.16,8307410133.05,1595187863.82,USD
B001,BROU,2024,766228959.19,429088217.14,83529190.71,16211284821.24,11239221076.93,8556279266.26,1725506796.92,USD
B001,BROU,2025,913433641.25,523590004.99,243843058.69,18216525406.56,12863211597.26,9687388584.89,1914705691.12,USD
B001,BROU,2026,907294150.16,508084724.09,263819264.37,17670265021.38,11961379847.17,8952146716.14,2116929579.9,USD
B002,BHU,2021,156690230.24,110682095.17,9078023.5,4142748399.76,911404647.95,3339739745.56,474161331.63,USD
B002,BHU,2022,162512147.84,113895780.76,27039227.21,4047182030.86,950256701.2,3318689265.3,459887015.5,USD
B002,BHU,2023,151469732.75,103304346.85,34492232.6,4312767651.68,1053885239.08,3445106732.57,491792896.87,USD
B002,BHU,2024,164577481.78,121694460.0,15549279.44,4323253971.84,994887142.27,3337428321.58,544176751.5,USD
B002,BHU,2025,211597087.29,156581844.59,10410211.51,4524701731.08,995434380.84,3710255419.49,481924300.89,USD
B002,BHU,2026,189250443.75,139832341.83,6203623.96,4216350548.63,1094131431.36,3248006407.24,443533082.8,USD
B003,Bandes,2021,43463296.68,31385047.23,8304429.96,972633595.24,618272965.63,561416364.83,125405975.75,USD
B003,Bandes,2022,40920292.04,28283566.01,7927738.06,1023007300.97,555311100.62,580174487.06,122427501.08,USD
B003,Bandes,2023,46476222.9,34831262.7,-11039454.5,1101887872.06,653384082.34,630524028.25,125352520.1,USD
B003,Bandes,2024,47834223.86,35407828.7,1754788.37,1195855596.46,695986197.17,670023630.76,151626258.55,USD
B003,Bandes,2025,49371003.28,35557235.44,6699810.07,1234275081.92,733702988.83,739566236.2,153696564.82,USD
B003,Bandes,2026,55640755.79,40559632.5,9887625.2,1243850930.48,748344312.9,719778477.98,131175933.67,USD
B004,BBVA Uruguay,2021,149709940.32,107078269.04,5887215.85,3308089921.28,2509177292.65,1727103383.1,264647193.7,USD
B004,BBVA Uruguay,2022,185852735.98,124837828.96,32072355.94,3482605501.92,2645449960.53,1859672143.98,421669057.89,USD
B004,BBVA Uruguay,2023,164006447.53,105866928.83,14499195.02,3561535683.46,2619159393.25,1978881625.8,337131980.99,USD
B004,BBVA Uruguay,2024,155067438.68,105614228.6,25591842.7,3728409846.56,2934884114.98,2043590788.67,377959437.15,USD
B004,BBVA Uruguay,2025,179901432.84,118722106.26,21798681.4,3762026299.23,2956663445.97,1958001318.6,339568830.83,USD
B004,BBVA Uruguay,2026,182319757.64,124912302.17,39951082.44,3917607241.64,2849220304.26,2078484003.54,386836669.62,USD
