bank_id,bank_name,year,market_weight,latent_competitive_state,long_run_anchor,persistence,macro_effect,systemic_shock_effect,bank_shock_effect,persistent_strategic_effect,idiosyncratic_innovation,is_bank_shock,is_systemic_shock,world_seed
B001,BROU,2021,0.30880809166102563,-1.175035257609326,0.30303030303030304,0.9467351014366642,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B007,Santander Uruguay,2021,0.13758375863563987,-1.9835223936205786,0.15151515151515152,0.9169223950520465,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B006,Itaú Uruguay,2021,0.13881068786202547,-1.9746442319861346,0.14141414141414144,0.917159804955262,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B004,BBVA Uruguay,2021,0.09522977152882929,-2.351462659930281,0.10101010101010102,0.8846789852146891,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B011,Scotiabank Uruguay,2021,0.0930021529549638,-2.3751326360434653,0.09090909090909091,0.8944977622747151,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B000,BTYT,2021,0.06228470176104043,-2.7760394409506333,0.05050505050505051,0.9251517948881038,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B009,Citibank Uruguay,2021,0.04322465121431347,-3.141344316518479,0.04040404040404041,0.9359677252744311,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B002,BHU,2021,0.03334431019520352,-3.4008681300153225,0.030303030303030304,0.9118183528126623,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B010,HSBC Uruguay,2021,0.032923859247303226,-3.4135576789597493,0.030303030303030304,0.8954900829326596,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B005,Banco Nación,2021,0.025896797439294905,-3.653635968914534,0.025252525252525256,0.8956278251120824,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B008,Banque Heritage Uruguay,2021,0.009401676265139366,-4.666867279525728,0.020202020202020204,0.9339316506385813,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B003,Bandes,2021,0.019489541235220998,-3.937877304209635,0.015151515151515152,0.8580889692296597,0.0,0.0,0.0,0.0,0.0,False,False,3165889979
B001,BROU,2022,0.3039041413926906,-1.1846466235237592,0.30303030303030304,0.9467351014366642,0.0003310236493604096,-0.0,0.0,0.0,-0.008936364193025806,False,False,3165889979
B007,Santander Uruguay,2022,0.13472315371788599,-1.9981369911925169,0.15151515151515152,0.9169223950520465,0.013419559749398315,-0.0,-0.06949075360075103,-0.06949075360075103,0.03344353326837026,True,False,3165889979
B006,Itaú Uruguay,2022,0.13961130335701744,-1.9624967941820979,0.14141414141414144,0.917159804955262,0.01817352343148863,-0.0,0.0,0.0,-0.007565398229626779,False,False,3165889979
