institution_id,institution_name,legal_name,institution_type,country,domestic_flag,bank_id,active_from,active_to
BANK_B000,BTYT,BTYT,BANK,Uruguay,True,B000,,
BANK_B001,BROU,BROU,BANK,Uruguay,True,B001,,
BANK_B002,BHU,BHU,BANK,Uruguay,True,B002,,
BANK_B003,Bandes,Bandes,BANK,Uruguay,True,B003,,
BANK_B004,BBVA Uruguay,BBVA Uruguay,BANK,Uruguay,True,B004,,
BANK_B005,Banco Nación,Banco Nación,BANK,Uruguay,True,B005,,
BANK_B006,Itaú Uruguay,Itaú Uruguay,BANK,Uruguay,True,B006,,
BANK_B007,Santander Uruguay,Santander Uruguay,BANK,Uruguay,True,B007,,
BANK_B008,Banque Heritage Uruguay,Banque Heritage Uruguay,BANK,Uruguay,True,B008,,
BANK_B009,Citibank Uruguay,Citibank Uruguay,BANK,Uruguay,True,B009,,
BANK_B010,BTG Pactual Uruguay,BTG Pactual Uruguay,BANK,Uruguay,True,B010,,
BANK_B011,Scotiabank Uruguay,Scotiabank Uruguay,BANK,Uruguay,True,B011,,
BANK_B101,JPMorgan Chase,JPMorgan Chase,BANK,United States,False,B101,,
BANK_B102,Citibank International,Citibank International,BANK,United States,False,B102,,
BANK_B103,Bank of America,Bank of America,BANK,United States,False,B103,,
BANK_B104,Deutsche Bank,Deutsche Bank,BANK,Germany,False,B104,,
BANK_B105,BNP Paribas,BNP Paribas,BANK,France,False,B105,,
BANK_B106,UBS,UBS,BANK,Switzerland,False,B106,,
BANK_B107,HSBC International,HSBC International,BANK,United Kingdom,False,B107,,
IEDE_PREX,Prex,Econstar S.A.,ELECTRONIC_MONEY_ISSUER,Uruguay,True,,2015-09-23,
IEDE_MIDINERO,Midinero,Findarin S.A.,ELECTRONIC_MONEY_ISSUER,Uruguay,True,,2015-04-15,
IEDE_OCA_BLUE,OCA Blue,OCA Dinero Electrónico S.A.,ELECTRONIC_MONEY_ISSUER,Uruguay,True,,2020-07-07,
IEDE_MERCADO_PAGO,Mercado Pago Uruguay,MercadoPago Uruguay S.R.L.,ELECTRONIC_MONEY_ISSUER,Uruguay,True,,2023-07-11,
