campaign_id,campaign_name,campaign_type,eligible_customers,selected_customers,exposed_customers,not_exposed_customers,responding_customers,positive_responses,neutral_responses,negative_responses,no_response_customers,selection_rate,exposure_rate,response_rate_exposed,positive_rate_exposed,reach_propensity,design_quality,offer_attractiveness,execution_quality
M001,Your First BTYT Account,ACQUISITION,18,7,7,0,2,0,2,0,5,0.3888888888888889,1.0,0.2857142857142857,0.0,0.4726129209523661,0.31689987919523244,0.27206001101836896,0.8466031316334761
M002,Rural Investment 2021,CROSS_SELL,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2532636949924158,0.3887143735820653,0.5553522014725886,0.932095748518459
M003,Payroll with BTYT 2021,ACQUISITION,16,5,4,1,0,0,0,0,4,0.3125,0.8,0.0,0.0,0.17747787113831395,0.5397578798795477,0.7151265671613847,0.5242252087425658
M004,Save in USD 2021,CROSS_SELL,26,8,7,1,1,1,0,0,6,0.3076923076923077,0.875,0.14285714285714285,0.14285714285714285,0.29968348650631127,0.8728358768291284,0.5878009482669744,0.8105792730219585
M005,Back to University 2022,ACQUISITION,16,6,6,0,0,0,0,0,6,0.375,1.0,0.0,0.0,0.4327270042995034,0.398052457722996,0.6858676408760404,0.6295840644303122
M006,SME Growth 2022,CROSS_SELL,5,1,0,1,0,0,0,0,0,0.2,0.0,0.0,0.0,0.024188504367219758,0.5577676215402116,0.25646569211061826,0.7363219482989731
M007,BTYT Digital 2022,ACTIVATION,29,5,5,0,2,1,1,0,3,0.1724137931034483,1.0,0.4,0.2,0.15165963358511958,0.22084658981380267,0.8286546133391408,0.7967983348763916
M008,Your First Home 2023,CROSS_SELL,21,3,3,0,0,0,0,0,3,0.14285714285714285,1.0,0.0,0.0,0.10460520935963823,0.6299967575745563,0.40838050150098537,0.7064759622230539
M009,Premium Upgrade 2023,UPSELL,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.12154074312752713,0.33729422630079975,0.3340883384807482,0.5685678412072913
M010,Business Liquidity 2023,CROSS_SELL,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.15102554178817787,0.8328414239901926,0.837214701727471,0.8409188491428894
M011,Summer East Coast 2024,ACQUISITION,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.37261682604699664,0.7566386855989445,0.4787099516315433,0.7763874614767254
M012,Drive with BTYT 2024,CROSS_SELL,24,12,11,1,1,0,1,0,10,0.5,0.9166666666666666,0.09090909090909091,0.0,0.539300651740259,0.5686509976075617,0.35683889086828846,0.7700861113938032
M013,Stay with BTYT 2024,RETENTION,31,12,12,0,2,2,0,0,10,0.3870967741935484,1.0,0.16666666666666666,0.16666666666666666,0.49652812015010056,0.4039304916324723,0.728610451668888,0.8174524148670516
M014,Rural Investment 2025,CROSS_SELL,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.16657704410280286,0.6730071537978219,0.8659347303722922,0.6768865647456992
M015,Business Equipment 2025,CROSS_SELL,5,5,3,2,0,0,0,0,3,1.0,0.6,0.0,0.0,0.7018968605979137,0.35726953390941707,0.49255544381230426,0.7250792947453405
M016,Save in USD 2025,CROSS_SELL,29,13,13,0,1,0,0,1,12,0.4482758620689655,1.0,0.07692307692307693,0.0,0.3191195483024493,0.6832648649328864,0.4247673886867278,0.8583764457956572
M017,Payroll with BTYT 2026,ACQUISITION,6,2,2,0,1,0,1,0,1,0.3333333333333333,1.0,0.5,0.0,0.4066041192719693,0.6200229406816068,0.5026865103293897,0.7978925580208374
M019,BTYT Eastern Roots 2026,CROSS_SELL,6,2,2,0,1,1,0,0,1,0.3333333333333333,1.0,0.5,0.5,0.3068828213951236,0.558655235271344,0.668041791465139,0.8445740743749351
M020,BTYT Cerca 2026,ACTIVATION,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4785333579136001,0.24334141513304033,0.5878894557698555,0.6990427671985494
M018,Premium Upgrade 2026,UPSELL,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4981193326768515,0.25515967448394045,0.3282719357581562,0.7067691649534001
