loan_id,origination_month_internal,lifecycle_seed,resolution_month_internal,terminal_event_internal,pre2021_inherited_state
L0000001,2011-03,700001,2014-11,SCHEDULED_MATURITY,CURRENT
L0000002,2016-10,700002,2016-10,FACILITY_EXPIRY,CURRENT
L0000003,2026-01,700003,2026-11,EARLY_PREPAYMENT,CURRENT
L0000004,2021-09,700004,2024-10,EARLY_PREPAYMENT,CURRENT
L0000005,2026-08,700005,,OPEN_DEFAULT_AT_CUTOFF,CURRENT
L0000006,2019-09,700006,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
L0000007,2023-02,700007,2024-08,SCHEDULED_MATURITY,CURRENT
L0000008,2023-11,700008,2025-02,EARLY_PREPAYMENT,CURRENT
L0000009,2018-04,700009,2022-12,SCHEDULED_MATURITY,CURRENT
L0000010,2021-12,700010,2025-11,SCHEDULED_MATURITY,CURRENT
L0000011,2019-08,700011,2025-08,SCHEDULED_MATURITY,CURRENT
L0000012,2020-11,700012,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000013,2023-01,700013,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000014,2025-12,700014,2025-12,EARLY_PREPAYMENT,CURRENT
L0000015,2026-04,700015,,OPEN_DEFAULT_AT_CUTOFF,CURRENT
L0000016,2017-04,700016,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
L0000017,2025-01,700017,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000018,2026-09,700018,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000019,2026-01,700019,2026-09,SCHEDULED_MATURITY,CURRENT
L0000020,2024-12,700020,2025-10,SCHEDULED_MATURITY,CURRENT
L0000021,2025-11,700021,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000022,2026-04,700022,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000023,2024-03,700023,2026-06,EARLY_PREPAYMENT,CURRENT
L0000024,2025-11,700024,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000025,2019-09,700025,2021-02,EARLY_PREPAYMENT,CURRENT
L0000026,2022-04,700026,2025-03,SCHEDULED_MATURITY,CURRENT
L0000027,2023-12,700027,2024-06,FACILITY_EXPIRY,CURRENT
L0000028,2022-09,700028,2026-02,SEVERE_RECOGNIZED_AT_CUTOFF,CURRENT
L0000029,2025-04,700029,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000030,2025-07,700030,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000031,2025-03,700031,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000032,2009-01,700032,2013-07,EARLY_PREPAYMENT,CURRENT
L0000033,2010-03,700033,,OPEN_SEVERE_AT_CUTOFF,CURRENT
L0000034,2013-10,700034,2026-08,SEVERE_RECOGNIZED_AT_CUTOFF,SEVERE_DELINQUENCY
L0000035,2017-08,700035,2022-12,SCHEDULED_MATURITY,EARLY_DELINQUENCY
L0000036,2001-11,700036,2003-01,EARLY_PREPAYMENT,CURRENT
L0000037,2002-09,700037,2026-02,EARLY_PREPAYMENT,CURRENT
L0000038,2008-10,700038,2008-10,EARLY_PREPAYMENT,CURRENT
L0000039,2019-08,700039,2020-05,EARLY_PREPAYMENT,CURRENT
L0000040,2022-08,700040,,OPEN_DEFAULT_AT_CUTOFF,CURRENT
L0000041,2023-06,700041,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000042,2013-10,700042,2017-07,EARLY_PREPAYMENT,CURRENT
L0000043,2023-12,700043,,OPEN_DEFAULT_AT_CUTOFF,CURRENT
L0000044,2020-03,700044,2023-03,SCHEDULED_MATURITY,CURRENT
L0000045,2024-06,700045,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000046,2012-11,700046,,OPEN_DEFAULT_AT_CUTOFF,SEVERE_DELINQUENCY
L0000047,2020-05,700047,2023-07,SCHEDULED_MATURITY,CURRENT
L0000048,2023-11,700048,2025-07,SCHEDULED_MATURITY,CURRENT
L0000049,2026-06,700049,2026-12,SCHEDULED_MATURITY,CURRENT
L0000050,2018-11,700050,2023-11,SCHEDULED_MATURITY,CURRENT
L0000051,2024-05,700051,2025-03,EARLY_PREPAYMENT,CURRENT
L0000052,2026-12,700052,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000053,2010-03,700053,2015-08,SCHEDULED_MATURITY,CURRENT
L0000054,2013-06,700054,2016-11,SCHEDULED_MATURITY,CURRENT
L0000055,2020-01,700055,,OPEN_DEFAULT_AT_CUTOFF,EARLY_DELINQUENCY
L0000056,2021-07,700056,2023-09,SCHEDULED_MATURITY,CURRENT
L0000057,2023-06,700057,2026-11,EARLY_PREPAYMENT,CURRENT
L0000058,2026-10,700058,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000059,2021-08,700059,2021-08,EARLY_PREPAYMENT,CURRENT
L0000060,2024-08,700060,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000061,2025-04,700061,2026-10,SCHEDULED_MATURITY,CURRENT
L0000062,2026-05,700062,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000063,2023-04,700063,2025-01,EARLY_PREPAYMENT,CURRENT
L0000064,2024-01,700064,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000065,2025-05,700065,2026-09,EARLY_PREPAYMENT,CURRENT
L0000066,2026-12,700066,,OPEN_CURRENT_AT_CUTOFF,CURRENT
L0000067,2023-07,700067,,OPEN_DEFAULT_AT_CUTOFF,CURRENT
L0000068,2025-11,700068,2025-11,EARLY_PREPAYMENT,CURRENT
L0000069,2015-03,700069,2020-01,SCHEDULED_MATURITY,CURRENT
L0000070,2019-01,700070,2022-11,SCHEDULED_MATURITY,CURRENT
L0000071,2021-06,700071,2026-01,SEVERE_RECOGNIZED_AT_CUTOFF,CURRENT
L0000072,2021-12,700072,,OPEN_DEFAULT_AT_CUTOFF,CURRENT
L0000073,2023-02,700073,2024-08,SCHEDULED_MATURITY,CURRENT
L0000074,2024-09,700074,2025-09,SCHEDULED_MATURITY,CURRENT
L0000075,2026-07,700075,,OPEN_CURRENT_AT_CUTOFF,CURRENT
