idio_event_id,customer_id,agent_type,region,sector,event_type,event_name,direction,start_month,end_month,recovery_end_month,duration_months,recovery_months,raw_magnitude,mediated_share,residual_idiosyncratic_intensity,shared_stress_at_start,shared_positive_at_start,realized_probability
IE0000001,C0000020,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-02,2021-05,2021-12,4,7,0.48275483,0.23553466,-0.36904934,0.0,0.0,0.0025350486
IE0000002,C0000024,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-02,2021-05,2021-09,4,4,0.68843789,0.11625555,-0.60840317,0.0,0.0,0.0025350486
IE0000003,C0000023,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-03,2021-04,2021-06,2,2,1.15997146,0.10115146,-1.04263865,0.0,0.0,0.0025350486
IE0000004,C0000038,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-09,2022-03,2022-05,7,2,0.33964992,0.13497327,-0.29380625,0.0,0.0,0.0025350486
IE0000005,C0000045,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2021-10,2021-12,2022-04,3,4,0.96341046,0.17957209,-0.79040883,0.0,0.0,0.0025350486
IE0000006,C0000020,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2022-02,2022-04,2022-11,3,7,0.45152524,0.35055016,-0.29324299,0.0,0.0,0.0025350486
IE0000007,C0000009,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2022-04,2022-05,2023-01,2,8,0.68322322,0.18617477,-0.5560243,0.0,0.0,0.0025350486
IE0000008,C0000013,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2022-06,2022-08,2023-03,3,7,0.71033459,0.14060812,-0.61045578,0.0,0.0,0.0025350486
IE0000009,C0000027,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2022-12,2023-03,2023-11,4,8,0.72617142,0.14491394,-0.62093905,0.0,0.0,0.0025350486
IE0000010,C0000039,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2023-06,2023-11,2024-06,6,7,0.64517215,0.20184882,-0.51494491,0.0,0.0,0.0025350486
IE0000011,C0000004,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2023-10,2023-12,2024-02,3,2,0.48450083,0.21652139,-0.37959604,0.0,0.0,0.0025350486
IE0000012,C0000011,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2024-12,2025-01,2025-05,2,4,0.65247686,0.44882895,-0.35962635,1.03343347,0.0,0.0052118197
IE0000013,C0000009,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2025-01,2025-02,2025-04,2,2,0.61586566,0.31564627,-0.42146996,0.79079952,0.0,0.004401299
IE0000014,C0000039,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2025-05,2025-08,2025-11,4,3,0.90763375,0.23574189,-0.69366645,0.5628088,0.0,0.0037545021
IE0000015,C0000039,HOUSEHOLD,CENTER,HOUSEHOLD,JOB_LOSS,Job loss,NEGATIVE,2026-10,2026-12,2026-12,3,7,0.81263388,0.41633349,-0.47430718,0.69905838,0.0,0.0041286676
IE0000016,C0000013,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2021-01,2021-04,2021-06,4,2,0.36302306,0.24907223,-0.2726041,0.0,0.0,0.0047031016
IE0000017,C0000023,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2021-03,2021-04,2021-10,2,6,0.45369692,0.10230723,-0.40728044,0.0,0.0,0.0047031016
IE0000018,C0000039,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2021-06,2021-10,2021-11,5,1,0.64189218,0.10011096,-0.57763174,0.0,0.0,0.0047031016
IE0000019,C0000003,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2021-08,2021-12,2022-03,5,3,0.5045237,0.1327619,-0.43754218,0.0,0.0,0.0047031016
IE0000020,C0000001,BUSINESS,CENTER,SME_GENERAL,INCOME_REDUCTION,Income reduction,NEGATIVE,2022-01,2022-05,2022-07,5,2,0.42403184,0.13240793,-0.36788666,0.0,0.0,0.0014155908
IE0000021,C0000046,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2022-09,2023-03,2023-06,7,3,0.2488517,0.17273677,-0.20586586,0.0,0.0,0.0047031016
IE0000022,C0000004,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2023-02,2023-05,2023-11,4,6,0.36806637,0.04808122,-0.35036929,0.0,0.0,0.0047031016
IE0000023,C0000024,HOUSEHOLD,CENTER,HOUSEHOLD,INCOME_REDUCTION,Income reduction,NEGATIVE,2023-06,2023-09,2023-12,4,3,0.30176026,0.14338999,-0.25849086,0.0,0.0,0.0047031016
