shock_id,scope_type,scope_value,exposure_multiplier
ES001,REGION,MONTEVIDEO,1.04983783
ES001,REGION,METROPOLITAN,0.97765765
ES001,REGION,EAST,0.81051473
ES001,REGION,NORTH,0.92515379
ES001,REGION,CENTER,1.07897214
ES001,REGION,LITORAL,1.11326582
ES001,SECTOR,HOUSEHOLD,1.04971227
ES001,SECTOR,RETAIL_SERVICES,0.95039135
ES001,SECTOR,TOURISM,0.89774678
ES001,SECTOR,AGRICULTURE,0.94738346
ES001,SECTOR,TRADE_IMPORT,1.17496935
ES001,SECTOR,TRADE_EXPORT,0.91398309
ES001,SECTOR,SME_GENERAL,1.23743016
ES001,PRODUCT_GROUP,DEPOSITS,1.06157916
ES001,PRODUCT_GROUP,CARDS,0.78058148
ES001,PRODUCT_GROUP,PERSONAL_CREDIT,1.25066964
ES001,PRODUCT_GROUP,MORTGAGES,1.23446124
ES001,PRODUCT_GROUP,SME_CREDIT,1.04448177
ES001,PRODUCT_GROUP,AGRICULTURAL_CREDIT,0.88708325
ES001,PRODUCT_GROUP,BUSINESS_CREDIT_LINES,1.03123363
ES001,TRANSMISSION,transaction_activity,-0.04938938
ES001,TRANSMISSION,transaction_amount,0.07462027
ES001,TRANSMISSION,cash_preference,0.0
ES001,TRANSMISSION,digital_preference,0.0
ES001,TRANSMISSION,deposit_growth,-0.08672901
ES001,TRANSMISSION,deposit_withdrawal_pressure,0.13349857
ES001,TRANSMISSION,loan_demand,-0.10512982
ES001,TRANSMISSION,payment_stress,0.15424003
ES001,TRANSMISSION,delinquency_entry,0.13487042
ES001,TRANSMISSION,cure_probability,-0.10185136
ES001,TRANSMISSION,branch_operating_cost,0.15608174
ES001,TRANSMISSION,business_activity,-0.08089642
ES001,TRANSMISSION,interest_rate_pressure,0.28191115
ES001,TRANSMISSION,usd_preference,0.08823925
ES002,REGION,MONTEVIDEO,1.19859477
ES002,REGION,METROPOLITAN,1.24504436
ES002,REGION,EAST,0.93942905
ES002,REGION,NORTH,0.91134758
ES002,REGION,CENTER,0.92817512
ES002,REGION,LITORAL,1.08937553
ES002,SECTOR,HOUSEHOLD,0.97031621
ES002,SECTOR,RETAIL_SERVICES,0.94496856
ES002,SECTOR,TOURISM,1.1395104
ES002,SECTOR,AGRICULTURE,1.0051412
ES002,SECTOR,TRADE_IMPORT,1.32853536
ES002,SECTOR,TRADE_EXPORT,1.31744501
ES002,SECTOR,SME_GENERAL,1.01641748
ES002,PRODUCT_GROUP,DEPOSITS,0.94172813
ES002,PRODUCT_GROUP,CARDS,0.95575326
ES002,PRODUCT_GROUP,PERSONAL_CREDIT,0.816031
ES002,PRODUCT_GROUP,MORTGAGES,0.94524968
ES002,PRODUCT_GROUP,SME_CREDIT,1.19271174
ES002,PRODUCT_GROUP,AGRICULTURAL_CREDIT,0.98473724
ES002,PRODUCT_GROUP,BUSINESS_CREDIT_LINES,1.0290866
ES002,TRANSMISSION,transaction_activity,-0.02254145
ES002,TRANSMISSION,transaction_amount,0.04160318
ES002,TRANSMISSION,cash_preference,0.0
ES002,TRANSMISSION,digital_preference,0.0
ES002,TRANSMISSION,deposit_growth,-0.03100456
ES002,TRANSMISSION,deposit_withdrawal_pressure,0.06806297
ES002,TRANSMISSION,loan_demand,-0.0401485
ES002,TRANSMISSION,payment_stress,0.09563818
ES002,TRANSMISSION,delinquency_entry,0.07510733
ES002,TRANSMISSION,cure_probability,-0.04105668
ES002,TRANSMISSION,branch_operating_cost,0.0
ES002,TRANSMISSION,business_activity,-0.05107024
ES002,TRANSMISSION,interest_rate_pressure,0.06205152
ES002,TRANSMISSION,usd_preference,0.28963983
ES003,REGION,MONTEVIDEO,0.85675693
ES003,REGION,METROPOLITAN,0.99085063
ES003,REGION,EAST,1.00306212
ES003,REGION,NORTH,0.90545222
ES003,REGION,CENTER,1.00167419
ES003,REGION,LITORAL,1.07457159
ES003,SECTOR,HOUSEHOLD,0.97190035
ES003,SECTOR,RETAIL_SERVICES,0.94985254
ES003,SECTOR,TOURISM,1.23685762
ES003,SECTOR,AGRICULTURE,0.9699198
