shock_id,year_month,shock_type,shock_scale,phase,direction,profile_intensity,realized_intensity,directional_state
ES001,2024-06,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.07229656,0.07254493,-0.07254493
ES001,2024-07,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.1842927,0.18492581,-0.18492581
ES001,2024-08,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.31858941,0.31968388,-0.31968388
ES001,2024-09,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.46978445,0.47139833,-0.47139833
ES001,2024-10,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.63493191,0.63711313,-0.63711313
ES001,2024-11,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.81212304,0.81491298,-0.81491298
ES001,2024-12,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,1.0,1.00343536,-1.00343536
ES001,2025-01,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.84360794,0.84650604,-0.84650604
ES001,2025-02,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.71167436,0.71411922,-0.71411922
ES001,2025-03,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.60037415,0.60243665,-0.60243665
ES001,2025-04,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.5064804,0.50822034,-0.50822034
ES001,2025-05,INFLATION_RATE_SHOCK,SYSTEMIC,ACTIVE,NEGATIVE,0.42727089,0.42873872,-0.42873872
ES001,2025-06,INFLATION_RATE_SHOCK,SYSTEMIC,RECOVERY,NEGATIVE,0.3845438,0.38586485,-0.38586485
ES001,2025-07,INFLATION_RATE_SHOCK,SYSTEMIC,RECOVERY,NEGATIVE,0.17313399,0.17372877,-0.17372877
ES001,2025-08,INFLATION_RATE_SHOCK,SYSTEMIC,RECOVERY,NEGATIVE,0.04425152,0.04440354,-0.04440354
ES002,2025-12,FX_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.39229205,0.22354483,0.22354483
ES002,2026-01,FX_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,1.0,0.56984287,0.56984287
ES002,2026-02,FX_SHOCK,SYSTEMIC,ACTIVE,POSITIVE,0.83153032,0.47384163,0.47384163
ES002,2026-03,FX_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.74837729,0.42645746,0.42645746
ES002,2026-04,FX_SHOCK,SYSTEMIC,RECOVERY,POSITIVE,0.27330663,0.15574184,0.15574184
ES003,2026-12,ACTIVITY_SLOWDOWN,SYSTEMIC,ACTIVE,NEGATIVE,1.0,0.80582581,-0.80582581
ES004,2026-10,ACTIVITY_SLOWDOWN,SYSTEMIC,ACTIVE,NEGATIVE,1.0,0.5759562,-0.5759562
ES004,2026-11,ACTIVITY_SLOWDOWN,SYSTEMIC,ACTIVE,NEGATIVE,0.77889038,0.44860674,-0.44860674
ES004,2026-12,ACTIVITY_SLOWDOWN,SYSTEMIC,ACTIVE,NEGATIVE,0.60667022,0.34941548,-0.34941548
ES005,2023-12,REGIONAL_TOURISM_SURGE,REGIONAL,ACTIVE,POSITIVE,0.22692707,0.12309881,0.12309881
ES005,2024-01,REGIONAL_TOURISM_SURGE,REGIONAL,ACTIVE,POSITIVE,0.57846462,0.31379379,0.31379379
ES005,2024-02,REGIONAL_TOURISM_SURGE,REGIONAL,ACTIVE,POSITIVE,1.0,0.54245979,0.54245979
ES005,2024-03,REGIONAL_TOURISM_SURGE,REGIONAL,ACTIVE,POSITIVE,0.58477893,0.31721905,0.31721905
ES005,2024-04,REGIONAL_TOURISM_SURGE,REGIONAL,ACTIVE,POSITIVE,0.34196639,0.18550302,0.18550302
ES005,2024-05,REGIONAL_TOURISM_SURGE,REGIONAL,ACTIVE,POSITIVE,0.19997474,0.10847825,0.10847825
ES005,2024-06,REGIONAL_TOURISM_SURGE,REGIONAL,ACTIVE,POSITIVE,0.11694101,0.0634358,0.0634358
ES005,2024-07,REGIONAL_TOURISM_SURGE,REGIONAL,RECOVERY,POSITIVE,0.10524691,0.05709222,0.05709222
ES005,2024-08,REGIONAL_TOURISM_SURGE,REGIONAL,RECOVERY,POSITIVE,0.06732292,0.03651998,0.03651998
ES005,2024-09,REGIONAL_TOURISM_SURGE,REGIONAL,RECOVERY,POSITIVE,0.03136451,0.01701398,0.01701398
