customer_id,agent_type,region,sector,resilience_score,vulnerability_score,resilience_band
C0000001,BUSINESS,CENTER,SME_GENERAL,0.22186747,0.77813253,VERY_LOW
C0000002,HOUSEHOLD,CENTER,HOUSEHOLD,0.23178699,0.76821301,VERY_LOW
C0000003,HOUSEHOLD,CENTER,HOUSEHOLD,0.23275623,0.76724377,VERY_LOW
C0000004,HOUSEHOLD,CENTER,HOUSEHOLD,0.56128124,0.43871876,MEDIUM
C0000005,HOUSEHOLD,CENTER,HOUSEHOLD,0.6546335,0.3453665,HIGH
C0000006,HOUSEHOLD,CENTER,HOUSEHOLD,0.20958547,0.79041453,VERY_LOW
C0000007,HOUSEHOLD,CENTER,HOUSEHOLD,0.47666812,0.52333188,MEDIUM
C0000008,HOUSEHOLD,CENTER,HOUSEHOLD,0.52829729,0.47170271,MEDIUM
C0000009,HOUSEHOLD,CENTER,HOUSEHOLD,0.58094247,0.41905753,MEDIUM
C0000010,HOUSEHOLD,CENTER,HOUSEHOLD,0.49091833,0.50908167,MEDIUM
C0000011,HOUSEHOLD,CENTER,HOUSEHOLD,0.54059406,0.45940594,MEDIUM
C0000012,HOUSEHOLD,CENTER,HOUSEHOLD,0.62857732,0.37142268,HIGH
C0000013,HOUSEHOLD,CENTER,HOUSEHOLD,0.57215832,0.42784168,MEDIUM
C0000014,HOUSEHOLD,CENTER,HOUSEHOLD,0.64729241,0.35270759,HIGH
C0000015,BUSINESS,CENTER,SME_GENERAL,0.20355595,0.79644405,VERY_LOW
C0000016,HOUSEHOLD,CENTER,HOUSEHOLD,0.61786885,0.38213115,HIGH
C0000017,HOUSEHOLD,CENTER,HOUSEHOLD,0.48194925,0.51805075,MEDIUM
C0000018,BUSINESS,CENTER,SME_GENERAL,0.30230437,0.69769563,LOW
C0000019,BUSINESS,CENTER,SME_GENERAL,0.54344199,0.45655801,MEDIUM
C0000020,HOUSEHOLD,CENTER,HOUSEHOLD,0.32204374,0.67795626,LOW
C0000021,BUSINESS,CENTER,SME_GENERAL,0.41036678,0.58963322,LOW
C0000022,BUSINESS,CENTER,SME_GENERAL,0.58971359,0.41028641,MEDIUM
C0000023,HOUSEHOLD,CENTER,HOUSEHOLD,0.28833315,0.71166685,VERY_LOW
C0000024,HOUSEHOLD,CENTER,HOUSEHOLD,0.35600514,0.64399486,LOW
C0000025,HOUSEHOLD,CENTER,HOUSEHOLD,0.26828008,0.73171992,VERY_LOW
C0000026,HOUSEHOLD,CENTER,HOUSEHOLD,0.34222528,0.65777472,LOW
C0000027,HOUSEHOLD,CENTER,HOUSEHOLD,0.407086,0.592914,LOW
C0000028,HOUSEHOLD,CENTER,HOUSEHOLD,0.38763318,0.61236682,LOW
C0000029,HOUSEHOLD,CENTER,HOUSEHOLD,0.27905931,0.72094069,VERY_LOW
C0000030,HOUSEHOLD,CENTER,HOUSEHOLD,0.64139777,0.35860223,HIGH
C0000031,HOUSEHOLD,CENTER,HOUSEHOLD,0.32678907,0.67321093,LOW
C0000032,HOUSEHOLD,CENTER,HOUSEHOLD,0.5369482,0.4630518,MEDIUM
C0000033,HOUSEHOLD,CENTER,HOUSEHOLD,0.74106259,0.25893741,HIGH
C0000034,HOUSEHOLD,CENTER,HOUSEHOLD,0.48167078,0.51832922,MEDIUM
C0000035,HOUSEHOLD,CENTER,HOUSEHOLD,0.61507009,0.38492991,HIGH
C0000036,HOUSEHOLD,CENTER,HOUSEHOLD,0.33482057,0.66517943,LOW
C0000037,HOUSEHOLD,CENTER,HOUSEHOLD,0.21256805,0.78743195,VERY_LOW
C0000038,HOUSEHOLD,CENTER,HOUSEHOLD,0.57131168,0.42868832,MEDIUM
C0000039,HOUSEHOLD,CENTER,HOUSEHOLD,0.13798101,0.86201899,VERY_LOW
C0000040,HOUSEHOLD,CENTER,HOUSEHOLD,0.69606592,0.30393408,HIGH
C0000041,HOUSEHOLD,CENTER,HOUSEHOLD,0.44753504,0.55246496,LOW
C0000042,BUSINESS,CENTER,SME_GENERAL,0.35515074,0.64484926,LOW
C0000043,HOUSEHOLD,CENTER,HOUSEHOLD,0.56740111,0.43259889,MEDIUM
C0000044,HOUSEHOLD,CENTER,HOUSEHOLD,0.66560564,0.33439436,HIGH
C0000045,HOUSEHOLD,CENTER,HOUSEHOLD,0.53802699,0.46197301,MEDIUM
C0000046,HOUSEHOLD,CENTER,HOUSEHOLD,0.30216156,0.69783844,LOW
C0000047,HOUSEHOLD,CENTER,HOUSEHOLD,0.54641096,0.45358904,MEDIUM
C0000048,HOUSEHOLD,CENTER,HOUSEHOLD,0.25599911,0.74400089,VERY_LOW
C0000049,HOUSEHOLD,CENTER,HOUSEHOLD,0.43889422,0.56110578,LOW
C0000050,HOUSEHOLD,CENTER,HOUSEHOLD,0.35157259,0.64842741,LOW
