campaign_id,customer_id,selection_date,exposure_status,exposure_date,response_status,response_date
M001,C0000034,2021-02-03,EXPOSED,2021-03-16,NO_RESPONSE,
M001,C0000014,2021-02-14,EXPOSED,2021-02-24,NEUTRAL,2021-03-05
M001,C0000043,2021-02-23,EXPOSED,2021-04-13,NO_RESPONSE,
M001,C0000017,2021-03-05,EXPOSED,2021-04-13,NO_RESPONSE,
M001,C0000048,2021-03-09,EXPOSED,2021-03-14,NO_RESPONSE,
M001,C0000036,2021-03-20,EXPOSED,2021-03-28,NEUTRAL,2021-04-02
M001,C0000045,2021-03-25,EXPOSED,2021-04-02,NO_RESPONSE,
M003,C0000014,2021-07-04,EXPOSED,2021-08-03,NO_RESPONSE,
M003,C0000043,2021-07-05,EXPOSED,2021-07-26,NO_RESPONSE,
M003,C0000017,2021-07-18,NOT_EXPOSED,,,
M003,C0000013,2021-08-12,EXPOSED,2021-08-18,NO_RESPONSE,
M003,C0000045,2021-09-14,EXPOSED,2021-09-22,NO_RESPONSE,
M004,C0000021,2021-10-07,NOT_EXPOSED,,,
M004,C0000006,2021-10-09,EXPOSED,2021-11-20,NO_RESPONSE,
M004,C0000030,2021-11-03,EXPOSED,2021-11-30,POSITIVE,2021-12-10
M004,C0000010,2021-11-10,EXPOSED,2021-12-14,NO_RESPONSE,
M004,C0000029,2021-11-19,EXPOSED,2021-12-06,NO_RESPONSE,
M004,C0000004,2021-11-26,EXPOSED,2021-12-03,NO_RESPONSE,
M004,C0000005,2021-11-30,EXPOSED,2021-12-03,NO_RESPONSE,
M004,C0000016,2021-12-09,EXPOSED,2021-12-11,NO_RESPONSE,
M005,C0000045,2022-02-10,EXPOSED,2022-02-15,NO_RESPONSE,
M005,C0000044,2022-02-23,EXPOSED,2022-03-16,NO_RESPONSE,
M005,C0000017,2022-02-25,EXPOSED,2022-03-23,NO_RESPONSE,
M005,C0000041,2022-03-11,EXPOSED,2022-03-29,NO_RESPONSE,
M005,C0000013,2022-04-02,EXPOSED,2022-04-11,NO_RESPONSE,
M005,C0000036,2022-04-04,EXPOSED,2022-04-06,NO_RESPONSE,
M006,C0000018,2022-06-11,NOT_EXPOSED,,,
M007,C0000038,2022-08-18,EXPOSED,2022-09-11,POSITIVE,2022-09-16
M007,C0000018,2022-09-11,EXPOSED,2022-09-27,NO_RESPONSE,
M007,C0000030,2022-09-13,EXPOSED,2022-09-18,NEUTRAL,2022-09-28
M007,C0000025,2022-10-20,EXPOSED,2022-11-14,NO_RESPONSE,
M007,C0000009,2022-11-23,EXPOSED,2022-11-25,NO_RESPONSE,
M008,C0000004,2023-03-16,EXPOSED,2023-03-22,NO_RESPONSE,
M008,C0000050,2023-05-10,EXPOSED,2023-05-13,NO_RESPONSE,
M008,C0000031,2023-05-20,EXPOSED,2023-05-27,NO_RESPONSE,
M012,C0000019,2024-04-05,NOT_EXPOSED,,,
M012,C0000037,2024-04-21,EXPOSED,2024-04-23,NO_RESPONSE,
M012,C0000022,2024-04-23,EXPOSED,2024-05-07,NO_RESPONSE,
M012,C0000009,2024-04-25,EXPOSED,2024-07-21,NO_RESPONSE,
M012,C0000006,2024-04-28,EXPOSED,2024-06-22,NO_RESPONSE,
M012,C0000028,2024-05-04,EXPOSED,2024-06-02,NEUTRAL,2024-06-05
M012,C0000025,2024-05-08,EXPOSED,2024-05-20,NO_RESPONSE,
M012,C0000049,2024-05-15,EXPOSED,2024-06-08,NO_RESPONSE,
M012,C0000016,2024-05-22,EXPOSED,2024-06-25,NO_RESPONSE,
M012,C0000032,2024-05-25,EXPOSED,2024-06-21,NO_RESPONSE,
M012,C0000038,2024-05-28,EXPOSED,2024-07-11,NO_RESPONSE,
M012,C0000046,2024-07-13,EXPOSED,2024-07-26,NO_RESPONSE,
M013,C0000028,2024-08-25,EXPOSED,2024-11-01,POSITIVE,2024-11-06
M013,C0000046,2024-08-25,EXPOSED,2024-10-23,NO_RESPONSE,
M013,C0000039,2024-09-04,EXPOSED,2024-10-29,NO_RESPONSE,
M013,C0000030,2024-09-08,EXPOSED,2024-10-22,NO_RESPONSE,
M013,C0000038,2024-09-09,EXPOSED,2024-10-24,POSITIVE,2024-10-29
M013,C0000032,2024-09-14,EXPOSED,2024-11-05,NO_RESPONSE,
M013,C0000037,2024-09-16,EXPOSED,2024-10-25,NO_RESPONSE,
M013,C0000035,2024-09-29,EXPOSED,2024-10-16,NO_RESPONSE,
M013,C0000007,2024-10-03,EXPOSED,2024-11-02,NO_RESPONSE,
M013,C0000021,2024-10-03,EXPOSED,2024-11-15,NO_RESPONSE,
M013,C0000025,2024-10-18,EXPOSED,2024-10-20,NO_RESPONSE,
M013,C0000009,2024-11-04,EXPOSED,2024-11-16,NO_RESPONSE,
M015,C0000018,2025-04-20,EXPOSED,2025-04-30,NO_RESPONSE,
M015,C0000022,2025-05-22,EXPOSED,2025-06-12,NO_RESPONSE,
M015,C0000021,2025-05-28,NOT_EXPOSED,,,
M015,C0000001,2025-06-06,EXPOSED,2025-07-19,NO_RESPONSE,
M015,C0000019,2025-07-05,NOT_EXPOSED,,,
M016,C0000019,2025-09-01,EXPOSED,2025-09-10,NO_RESPONSE,
M016,C0000035,2025-09-07,EXPOSED,2025-11-06,NO_RESPONSE,
M016,C0000010,2025-09-12,EXPOSED,2025-11-09,NO_RESPONSE,
M016,C0000025,2025-09-19,EXPOSED,2025-09-22,NO_RESPONSE,
M016,C0000028,2025-09-24,EXPOSED,2025-11-16,NO_RESPONSE,
M016,C0000009,2025-09-29,EXPOSED,2025-10-26,NO_RESPONSE,
M016,C0000013,2025-10-14,EXPOSED,2025-11-29,NO_RESPONSE,
M016,C0000050,2025-10-14,EXPOSED,2025-11-08,NO_RESPONSE,
M016,C0000006,2025-10-21,EXPOSED,2025-11-14,NO_RESPONSE,
M016,C0000020,2025-10-22,EXPOSED,2025-11-13,NO_RESPONSE,
M016,C0000018,2025-11-04,EXPOSED,2025-11-18,NO_RESPONSE,
M016,C0000002,2025-11-18,EXPOSED,2025-11-30,NO_RESPONSE,
M016,C0000034,2025-12-04,EXPOSED,2025-12-07,NEGATIVE,2025-12-19
M017,C0000036,2026-03-02,EXPOSED,2026-04-25,NEUTRAL,2026-05-02
M017,C0000045,2026-05-10,EXPOSED,2026-05-23,NO_RESPONSE,
M019,C0000031,2026-03-25,EXPOSED,2026-04-06,POSITIVE,2026-04-09
M019,C0000005,2026-04-26,EXPOSED,2026-06-05,NO_RESPONSE,
