exposure_id,campaign_id,customer_id,exposure_datetime,channel
E_M001_C0000014_01,M001,C0000014,2021-02-24 10:25:34,WEB
E_M001_C0000048_01,M001,C0000048,2021-03-14 16:57:29,SOCIAL_MEDIA
E_M001_C0000034_01,M001,C0000034,2021-03-16 09:43:40,SOCIAL_MEDIA
E_M001_C0000036_01,M001,C0000036,2021-03-28 12:30:57,BRANCH
E_M001_C0000045_01,M001,C0000045,2021-04-02 12:42:01,SOCIAL_MEDIA
E_M001_C0000036_02,M001,C0000036,2021-04-09 08:02:00,WEB
E_M001_C0000014_02,M001,C0000014,2021-04-11 09:26:15,SOCIAL_MEDIA
E_M001_C0000017_01,M001,C0000017,2021-04-13 09:17:14,EMAIL
E_M001_C0000043_01,M001,C0000043,2021-04-13 21:59:04,WEB
E_M001_C0000036_03,M001,C0000036,2021-04-14 08:05:18,EMAIL
E_M001_C0000045_02,M001,C0000045,2021-04-16 13:41:17,EMAIL
E_M001_C0000017_02,M001,C0000017,2021-04-25 12:25:51,EMAIL
E_M003_C0000043_01,M003,C0000043,2021-07-26 16:22:28,EMAIL
E_M003_C0000014_01,M003,C0000014,2021-08-03 13:24:09,EMAIL
E_M003_C0000013_01,M003,C0000013,2021-08-18 12:52:15,PHONE
E_M003_C0000045_01,M003,C0000045,2021-09-22 18:11:29,EMAIL
E_M003_C0000045_02,M003,C0000045,2021-09-26 13:27:23,PHONE
E_M003_C0000045_03,M003,C0000045,2021-09-30 14:37:46,BRANCH
E_M004_C0000006_01,M004,C0000006,2021-11-20 21:54:07,WEB
E_M004_C0000030_01,M004,C0000030,2021-11-30 08:45:42,EMAIL
E_M004_C0000004_01,M004,C0000004,2021-12-03 09:23:35,EMAIL
E_M004_C0000005_01,M004,C0000005,2021-12-03 20:33:41,EMAIL
E_M004_C0000029_01,M004,C0000029,2021-12-06 11:07:22,BRANCH
E_M004_C0000004_02,M004,C0000004,2021-12-09 11:38:35,WEB
E_M004_C0000005_02,M004,C0000005,2021-12-10 22:58:50,WEB
E_M004_C0000016_01,M004,C0000016,2021-12-11 11:15:58,WEB
E_M004_C0000029_02,M004,C0000029,2021-12-11 16:01:41,WEB
E_M004_C0000010_01,M004,C0000010,2021-12-14 10:38:12,BRANCH
E_M005_C0000045_01,M005,C0000045,2022-02-15 15:32:27,WEB
E_M005_C0000044_01,M005,C0000044,2022-03-16 11:34:44,WEB
E_M005_C0000017_01,M005,C0000017,2022-03-23 13:43:37,EMAIL
E_M005_C0000044_02,M005,C0000044,2022-03-24 21:40:30,EMAIL
E_M005_C0000045_02,M005,C0000045,2022-03-28 07:05:02,WEB
E_M005_C0000041_01,M005,C0000041,2022-03-29 08:54:55,EMAIL
E_M005_C0000045_03,M005,C0000045,2022-04-04 19:45:00,SOCIAL_MEDIA
E_M005_C0000036_01,M005,C0000036,2022-04-06 15:53:14,SOCIAL_MEDIA
E_M005_C0000045_04,M005,C0000045,2022-04-09 22:17:09,MOBILE_APP
E_M005_C0000013_01,M005,C0000013,2022-04-11 12:52:54,MOBILE_APP
E_M005_C0000013_02,M005,C0000013,2022-04-15 12:13:50,MOBILE_APP
E_M007_C0000038_01,M007,C0000038,2022-09-11 11:27:03,EMAIL
E_M007_C0000030_01,M007,C0000030,2022-09-18 20:34:18,SMS
E_M007_C0000018_01,M007,C0000018,2022-09-27 21:05:09,SMS
E_M007_C0000038_02,M007,C0000038,2022-11-10 12:12:41,SMS
E_M007_C0000025_01,M007,C0000025,2022-11-14 11:17:05,WEB
E_M007_C0000025_02,M007,C0000025,2022-11-21 18:02:16,EMAIL
E_M007_C0000009_01,M007,C0000009,2022-11-25 12:53:08,MOBILE_APP
E_M007_C0000009_02,M007,C0000009,2022-11-30 07:53:42,WEB
E_M008_C0000004_01,M008,C0000004,2023-03-22 18:55:42,PHONE
E_M008_C0000050_01,M008,C0000050,2023-05-13 15:54:22,EMAIL
E_M008_C0000031_01,M008,C0000031,2023-05-27 16:02:47,BRANCH
E_M012_C0000037_01,M012,C0000037,2024-04-23 12:56:55,EMAIL
E_M012_C0000022_01,M012,C0000022,2024-05-07 17:03:50,EMAIL
E_M012_C0000025_01,M012,C0000025,2024-05-20 17:22:07,WEB
E_M012_C0000028_01,M012,C0000028,2024-06-02 12:06:01,WEB
E_M012_C0000049_01,M012,C0000049,2024-06-08 07:02:41,EMAIL
E_M012_C0000032_01,M012,C0000032,2024-06-21 08:16:36,EMAIL
E_M012_C0000006_01,M012,C0000006,2024-06-22 09:46:50,SOCIAL_MEDIA
E_M012_C0000016_01,M012,C0000016,2024-06-25 17:54:14,MOBILE_APP
E_M012_C0000016_02,M012,C0000016,2024-07-01 18:53:25,EMAIL
E_M012_C0000022_02,M012,C0000022,2024-07-02 22:30:59,MOBILE_APP
E_M012_C0000038_01,M012,C0000038,2024-07-11 09:38:18,MOBILE_APP
E_M012_C0000006_02,M012,C0000006,2024-07-17 13:55:44,SOCIAL_MEDIA
E_M012_C0000049_02,M012,C0000049,2024-07-19 18:09:12,WEB
E_M012_C0000037_02,M012,C0000037,2024-07-21 10:10:41,EMAIL
