loan_id,customer_id,product_id,branch_id,origination_year,currency,original_amount,term_months,rate_type,initial_interest_rate,loan_status,closing_year
L0000001,C0000001,P017,003,2011,UYU,3600000.0,36,VARIABLE,18.02,PAID_OFF,2014.0
L0000002,C0000001,P016,031,2016,UYU,6450000.0,24,VARIABLE,21.86,PAID_OFF,2016.0
L0000003,C0000001,P017,017,2026,USD,275000.0,36,VARIABLE,9.34,PAID_OFF,2026.0
L0000004,C0000002,P013,020,2021,UYU,1210000.0,48,VARIABLE,14.63,PAID_OFF,2024.0
L0000005,C0000002,P014,019,2026,UYU,12550000.0,60,VARIABLE,13.79,DEFAULTED,
L0000006,C0000003,P014,022,2019,UYU,4400000.0,300,MIXED,17.3,DEFAULTED,
L0000007,C0000003,P012,001,2023,USD,2000.0,6,FIXED,16.49,PAID_OFF,2024.0
L0000008,C0000003,P013,030,2023,USD,13000.0,24,VARIABLE,12.06,PAID_OFF,2025.0
L0000009,C0000004,P012,027,2018,UYU,84000.0,48,FIXED,21.92,PAID_OFF,2022.0
L0000010,C0000004,P012,030,2021,UYU,295000.0,48,FIXED,19.49,PAID_OFF,2025.0
L0000011,C0000005,P013,016,2019,UYU,3600000.0,72,FIXED,19.65,PAID_OFF,2025.0
L0000012,C0000005,P014,014,2020,UYU,19450000.0,180,FIXED,13.93,ACTIVE,
L0000013,C0000005,P014,001,2023,USD,175000.0,180,MIXED,11.61,ACTIVE,
L0000014,C0000005,P012,009,2025,UYU,125000.0,12,FIXED,18.88,PAID_OFF,2025.0
L0000015,C0000006,P013,017,2026,UYU,650000.0,48,FIXED,18.69,DEFAULTED,
L0000016,C0000007,P012,017,2017,UYU,370000.0,60,FIXED,21.6,DEFAULTED,
L0000017,C0000007,P012,012,2025,UYU,245000.0,48,FIXED,19.06,ACTIVE,
L0000018,C0000007,P014,012,2026,UYU,9220000.0,300,VARIABLE,14.99,ACTIVE,
L0000019,C0000008,P012,037,2026,USD,2000.0,6,FIXED,15.62,PAID_OFF,2026.0
L0000020,C0000009,P012,012,2024,UYU,400000.0,6,FIXED,19.04,PAID_OFF,2025.0
L0000021,C0000010,P013,005,2025,UYU,710000.0,36,FIXED,18.05,ACTIVE,
L0000022,C0000010,P012,024,2026,UYU,210000.0,24,FIXED,21.54,ACTIVE,
L0000023,C0000013,P013,026,2024,USD,10000.0,36,FIXED,12.75,PAID_OFF,2026.0
L0000024,C0000013,P014,022,2025,UYU,7350000.0,180,VARIABLE,14.96,ACTIVE,
L0000025,C0000015,P018,029,2019,UYU,1710000.0,24,FIXED,16.0,PAID_OFF,2021.0
L0000026,C0000015,P015,015,2022,USD,105000.0,36,MIXED,12.21,PAID_OFF,2025.0
L0000027,C0000018,P016,036,2023,UYU,1770000.0,12,FIXED,21.59,PAID_OFF,2024.0
L0000028,C0000020,P013,018,2022,USD,13000.0,36,MIXED,12.46,DEFAULTED,2026.0
L0000029,C0000020,P013,001,2025,UYU,1850000.0,36,MIXED,18.69,ACTIVE,
L0000030,C0000020,P014,020,2025,UYU,5580000.0,120,VARIABLE,15.61,ACTIVE,
L0000031,C0000021,P015,012,2025,UYU,8680000.0,84,MIXED,17.58,ACTIVE,
L0000032,C0000023,P012,011,2009,UYU,200000.0,60,FIXED,22.78,PAID_OFF,2013.0
L0000033,C0000023,P013,016,2010,UYU,305000.0,36,VARIABLE,17.37,RESTRUCTURED,
L0000034,C0000023,P012,017,2013,UYU,695000.0,6,FIXED,19.93,DEFAULTED,2026.0
L0000035,C0000023,P014,008,2017,USD,30000.0,60,VARIABLE,10.78,PAID_OFF,2022.0
L0000036,C0000024,P012,013,2001,UYU,275000.0,24,FIXED,39.06,PAID_OFF,2003.0
L0000037,C0000024,P014,002,2002,UYU,4700000.0,300,FIXED,49.05,PAID_OFF,2026.0
L0000038,C0000024,P012,005,2008,UYU,405000.0,24,FIXED,23.82,PAID_OFF,2008.0
L0000039,C0000025,P014,030,2019,UYU,6520000.0,240,MIXED,16.96,PAID_OFF,2020.0
L0000040,C0000025,P012,017,2022,UYU,25000.0,24,FIXED,22.68,DEFAULTED,
L0000041,C0000025,P014,017,2023,USD,99000.0,60,VARIABLE,10.3,ACTIVE,
L0000042,C0000026,P013,008,2013,UYU,1060000.0,48,MIXED,17.21,PAID_OFF,2017.0
L0000043,C0000027,P012,007,2023,UYU,99000.0,18,FIXED,22.41,DEFAULTED,
L0000044,C0000028,P012,018,2020,UYU,210000.0,36,VARIABLE,18.45,PAID_OFF,2023.0
L0000045,C0000028,P014,012,2024,UYU,8650000.0,60,VARIABLE,15.54,ACTIVE,
L0000046,C0000029,P013,023,2012,UYU,2100000.0,72,FIXED,17.86,DEFAULTED,
L0000047,C0000029,P012,009,2020,UYU,425000.0,36,FIXED,18.13,PAID_OFF,2023.0
L0000048,C0000029,P012,002,2023,UYU,160000.0,18,FIXED,22.46,PAID_OFF,2025.0
L0000049,C0000029,P012,026,2026,UYU,59000.0,6,FIXED,18.15,PAID_OFF,2026.0
L0000050,C0000030,P013,019,2018,UYU,1190000.0,60,MIXED,16.05,PAID_OFF,2023.0
L0000051,C0000030,P012,022,2024,UYU,130000.0,24,FIXED,22.49,PAID_OFF,2025.0
L0000052,C0000030,P013,027,2026,UYU,190000.0,48,FIXED,17.2,ACTIVE,
L0000053,C0000031,P012,004,2010,UYU,110000.0,60,VARIABLE,21.15,PAID_OFF,2015.0
L0000054,C0000031,P013,015,2013,UYU,985000.0,36,FIXED,21.57,PAID_OFF,2016.0
L0000055,C0000031,P012,029,2020,UYU,125000.0,18,FIXED,19.03,DEFAULTED,
L0000056,C0000031,P013,007,2021,UYU,250000.0,24,FIXED,15.55,PAID_OFF,2023.0
L0000057,C0000031,P012,011,2023,UYU,74000.0,48,FIXED,24.93,PAID_OFF,2026.0
L0000058,C0000032,P012,024,2026,UYU,465000.0,48,FIXED,19.84,ACTIVE,
L0000059,C0000033,P012,031,2021,UYU,900000.0,24,VARIABLE,18.85,PAID_OFF,2021.0
L0000060,C0000033,P013,008,2024,UYU,1260000.0,60,FIXED,18.41,ACTIVE,
L0000061,C0000033,P012,005,2025,UYU,270000.0,12,FIXED,20.49,PAID_OFF,2026.0
L0000062,C0000033,P014,008,2026,USD,110000.0,180,MIXED,10.59,ACTIVE,
L0000063,C0000034,P013,030,2023,UYU,1410000.0,60,VARIABLE,18.05,PAID_OFF,2025.0
L0000064,C0000034,P012,034,2024,UYU,395000.0,60,FIXED,20.93,ACTIVE,
L0000065,C0000035,P012,012,2025,UYU,110000.0,24,FIXED,20.29,PAID_OFF,2026.0
L0000066,C0000036,P013,027,2026,UYU,955000.0,72,FIXED,18.06,ACTIVE,
L0000067,C0000037,P012,019,2023,UYU,765000.0,18,FIXED,23.13,DEFAULTED,
L0000068,C0000037,P014,029,2025,UYU,8560000.0,60,MIXED,13.21,PAID_OFF,2025.0
L0000069,C0000038,P012,008,2015,UYU,865000.0,60,FIXED,24.75,PAID_OFF,2020.0
L0000070,C0000038,P012,027,2019,UYU,250000.0,36,FIXED,21.71,PAID_OFF,2022.0
L0000071,C0000039,P012,026,2021,UYU,69000.0,18,FIXED,17.74,DEFAULTED,2026.0
L0000072,C0000039,P014,025,2021,UYU,17650000.0,300,FIXED,15.05,DEFAULTED,
L0000073,C0000039,P012,008,2023,USD,7000.0,12,VARIABLE,15.48,PAID_OFF,2024.0
L0000074,C0000039,P012,025,2024,USD,4000.0,12,FIXED,14.99,PAID_OFF,2025.0
L0000075,C0000040,P012,017,2026,UYU,360000.0,36,VARIABLE,19.38,ACTIVE,
L0000076,C0000041,P012,028,2026,UYU,105000.0,6,VARIABLE,17.86,PAID_OFF,2026.0
L0000077,C0000042,P016,016,2017,UYU,1340000.0,36,VARIABLE,19.96,PAID_OFF,2017.0
L0000078,C0000043,P012,034,2022,UYU,120000.0,18,FIXED,21.71,PAID_OFF,2024.0
L0000079,C0000043,P012,016,2025,UYU,200000.0,60,FIXED,22.18,PAID_OFF,2025.0
L0000080,C0000044,P013,026,2025,UYU,840000.0,24,FIXED,17.31,PAID_OFF,2026.0
L0000081,C0000045,P012,022,2026,UYU,565000.0,48,FIXED,20.43,ACTIVE,
L0000082,C0000046,P012,026,2025,UYU,310000.0,6,FIXED,23.98,RESTRUCTURED,
L0000083,C0000049,P013,031,2024,UYU,1200000.0,36,VARIABLE,17.73,PAID_OFF,2025.0
L0000084,C0000049,P014,031,2026,UYU,4070000.0,300,VARIABLE,14.24,ACTIVE,
L0000085,C0000050,P013,012,2019,UYU,555000.0,48,VARIABLE,17.83,PAID_OFF,2023.0
L0000086,C0000050,P012,007,2022,UYU,125000.0,48,FIXED,22.09,DEFAULTED,2026.0
