transaction_id,account_id,transaction_datetime,transaction_type,direction,channel,amount,counterparty_type,transfer_scope,counterparty_institution_id,transaction_branch_id,transaction_status,merchant_category,failure_reason
T0000000001,A0000061,2021-01-01 07:31:18,SERVICE_PAYMENT,DEBIT,AUTOMATIC,3272.1,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000002,A0000004,2021-01-01 08:57:11,CASH_WITHDRAWAL,DEBIT,ATM,340.23,OTHER,,,,COMPLETED,,
T0000000003,A0000004,2021-01-01 09:35:38,CASH_WITHDRAWAL,DEBIT,BRANCH,838.83,OTHER,,,011,COMPLETED,,
T0000000004,A0000029,2021-01-01 11:04:17,TRANSFER_IN,CREDIT,BRANCH,36.99,BTYT_CUSTOMER,INTERNAL,BANK_B000,024,FAILED,,INSUFFICIENT_FUNDS
T0000000005,A0000004,2021-01-01 11:05:02,TRANSFER_IN,CREDIT,BRANCH,2380.67,OTHER,,,003,COMPLETED,,
T0000000006,A0000061,2021-01-01 11:57:52,TRANSFER_IN,CREDIT,BRANCH,53806.49,EMPLOYER,,,030,COMPLETED,,
T0000000007,A0000081,2021-01-01 12:11:47,CASH_DEPOSIT,CREDIT,BRANCH,428.75,OTHER,,,012,COMPLETED,,
T0000000008,A0000009,2021-01-01 13:03:06,SERVICE_PAYMENT,DEBIT,BRANCH,3251.27,SERVICE_PROVIDER,,,030,COMPLETED,,
T0000000009,A0000058,2021-01-01 13:58:15,TRANSFER_OUT,DEBIT,BRANCH,11995.48,FINANCIAL_INSTITUTION,DOMESTIC_EXTERNAL,BANK_B011,016,FAILED,,INSUFFICIENT_FUNDS
T0000000010,A0000067,2021-01-01 14:17:41,TRANSFER_IN,CREDIT,WEB,5144.56,EMPLOYER,,,,COMPLETED,,
T0000000011,A0000009,2021-01-01 15:12:55,CASH_WITHDRAWAL,DEBIT,ATM,3801.34,OTHER,,,,COMPLETED,,
T0000000012,A0000026,2021-01-01 19:46:20,TRANSFER_IN,CREDIT,MOBILE,15253.31,OTHER,,,,COMPLETED,,
T0000000013,A0000009,2021-01-01 19:57:58,SERVICE_PAYMENT,DEBIT,MOBILE,436.3,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000014,A0000081,2021-01-01 20:28:52,SERVICE_PAYMENT,DEBIT,WEB,2792.27,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000015,A0000063,2021-01-02 01:31:35,SERVICE_PAYMENT,DEBIT,AUTOMATIC,967.31,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000016,A0000081,2021-01-02 11:46:14,TRANSFER_IN,CREDIT,WEB,1778.52,EMPLOYER,,,,COMPLETED,,
T0000000017,A0000020,2021-01-02 16:01:35,LOAN_PAYMENT,DEBIT,MOBILE,39155.05,LOAN_ACCOUNT,,,,COMPLETED,,
T0000000018,A0000061,2021-01-02 20:19:41,CASH_WITHDRAWAL,DEBIT,ATM,5148.65,OTHER,,,,COMPLETED,,
T0000000019,A0000061,2021-01-02 22:24:34,SERVICE_PAYMENT,DEBIT,MOBILE,1128.56,SERVICE_PROVIDER,,,,COMPLETED,,
T0000000020,A0000009,2021-01-03 12:27:59,TRANSFER_IN,CREDIT,MOBILE,25531.85,EMPLOYER,,,,COMPLETED,,
T0000000021,A0000020,2021-01-03 13:19:30,CASH_WITHDRAWAL,DEBIT,ATM,6271.6,OTHER,,,,COMPLETED,,
T0000000022,A0000009,2021-01-03 17:26:26,TRANSFER_OUT,DEBIT,WEB,23288.99,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000023,A0000060,2021-01-03 17:26:26,TRANSFER_IN,CREDIT,WEB,23288.99,BTYT_CUSTOMER,INTERNAL,BANK_B000,,COMPLETED,,
T0000000024,A0000008,2021-01-03 20:16:58,TRANSFER_IN,CREDIT,MOBILE,1393.72,GOVERNMENT,,,,COMPLETED,,
T0000000025,A0000061,2021-01-04 08:55:41,CASH_WITHDRAWAL,DEBIT,ATM,975.46,OTHER,,,,COMPLETED,,
