role,relative_path,format,size_bytes,rows,columns,sha256
canonical,data/generated/world/macro_environment.csv,csv,1078,6,10,181b1e0926e34ceb395e30db1f2199abc22fe9964cb8683e1c57a548460d48c3
canonical,data/generated/core/banks.csv,csv,1995,19,10,0fbd1c406b56d1c48b6c06b62b90179ffff3747ddcc2a027f0ea5115c14ce176
canonical,data/generated/performance/bank_market_weights.csv,csv,13311,72,15,105b17cc54d9e2b0de2f1546ce3b2a100d35ec04813501a73828af9f311ce624
canonical,data/generated/performance/bank_financials.csv,csv,14179,114,11,7077b19c86a14bceecd65b25668d93562463575106ce1c3d5bb4d94958340eaf
canonical,data/generated/performance/bank_world_parameters.csv,csv,2973,19,11,d07bdffbbca4a7bc647848a1e0270399ff3ada97f772641b01189b63a3567f18
canonical,data/generated/world/financial_institutions.csv,csv,1746,23,9,b0cd4bc4f197013b7ed73cabd7405d365c6d4c7b0d4dcf7244bc05e94ccea50d
canonical,data/generated/core/branches.csv,csv,3723,37,15,e946dce57dd5fdc5ebd2f47928a253c063cd77a2d89ad97494e7c0a5ae37ed90
canonical,data/generated/core/customers.parquet,parquet,17130,50,23,5cbb0ba1450439660c38bb6b826112c2e140fe6f8eb5d54f87f31f6e05835489
canonical,data/generated/core/accounts.parquet,parquet,6150,94,8,0561ee5e38c2f6f235aecdd2fae83789ed6107d1957458f92ea247e0d29ed8a9
canonical,data/generated/core/cards.parquet,parquet,6286,136,8,177ffe9870eb506040d73fead20d5185722930a858a20de3fda469533c0e2ebd
canonical,data/generated/core/loans.parquet,parquet,9516,86,12,28269517d72d3a5184a3a1a15156a83028edd9e9025dcd251365623616a0311e
canonical,data/generated/credit/loan_monthly_snapshot.parquet,parquet,38040,2019,9,3fbfda958ff5ae7432625cc4e831d3f37b6462821f2a80ed2126cd1dc451d18d
canonical,data/generated/world/external_shocks.csv,csv,1033,5,17,b49661bcfedbcdd8f483230b64ccfde0113f5738e1ea9d128a1ce1399ee9e5d9
canonical,data/generated/transactions/transactions.parquet,parquet,718184,27522,14,cdc5a96c00095e965ce70f7c325c0aadc5db73f8910c2e4051e0b36a3128b1c6
canonical,data/generated/core/account_balances.parquet,parquet,198449,3051,6,489e79e49656ca0e79cffeee9ac55af902c3247c7d1d4c79317799d8900e1b5d
canonical,data/generated/campaigns/campaigns.csv,csv,1549,20,7,931b3faa3fa7cfa213d7d285da18e8a963405cd859d11ab821ce257741bb3500
canonical,data/generated/campaigns/campaign_customers.parquet,parquet,6561,81,7,b9d7c7e59c965bb8b6a3d7e476749a089ceec058e4b09d0b27815b5a9b72de1c
canonical,data/generated/campaigns/campaign_exposures.parquet,parquet,5497,130,5,53c2d85905e4f23587aaa3fefcb607af999a3bf1d0e31fdebb5c80760e793edf
canonical,data/generated/performance/branch_monthly_performance.parquet,parquet,232013,2664,22,b8ee7fb4774e45967658757c9985077b296346c50ad09a0fa71aa37a13795e07
canonical,data/generated/performance/bank_monthly_performance.parquet,parquet,24052,72,21,cf3dbd2548dac220279f68046cc0fdd48d58a1e63c4b77084215aceea01ae23f
operational,data/operational/customers.csv,csv,7401,50,23,706bd26d98cd6db3307c1fefd1c0795ecf35cb5a88556235c876531086a55746
operational,data/operational/accounts.csv,csv,4937,94,8,f1d70a4a0c0282a82bea2d9c957479986e131c64cca3d5179f397c9d36c6b396
operational,data/operational/cards.csv,csv,7337,136,8,bcaa79b9d277be4162e5c1f7eeba841afd315026d4adcc4ee74bab52c75e487a
operational,data/operational/loans.csv,csv,6638,86,12,fefeb80bab6497fc68f01b4e258d1d138b8475030cba9bd4bc4477acaedbaa93
operational,data/operational/branches.csv,csv,3691,37,15,70b28aef21092534b5887aee4e62d9d67a4ef9afc382f697c17312c39a6c4fc9
operational,data/operational/transactions.csv,csv,3145303,27522,14,9158160decf7e2591bd4e704ff177eeccd0895177370f0e08a70a98759bdcc2e
operational,data/operational/campaign_customers.csv,csv,4768,81,7,b11e7b2cdc3f626f701b4481f9f187c5f3689ae7618392085090ac2f630cdadc
operational,data/operational/campaign_exposures.csv,csv,7967,130,5,8df12b8cfcb7605513a3685b58774b8331f55b2f463bda8ad28901870debd5b5
provenance,data/interim/data_reliability_world.csv,csv,1129,6,11,e738115225930fa21ca0b5388cfca84e0522e079ffb43275bee88ac2afc116b9
provenance,data/interim/data_reliability_audit.csv,csv,336,5,5,83d2d42e5f28a95c04843f37459b2d2531258255a46f8cff7d814745ea5b5335
provenance,data/interim/operational_export_sources.csv,csv,3550,8,9,d2307aacc87412f3ec02d475b9c976419ee528a0cb7ace381b89ce02bb3232ed
provenance,data/interim/audits/cross_system_audit_results.csv,csv,4709,70,4,d055f2cfa87258f0d161cbbac3b43594a138cf5cb6877cc5864fcbf5a14821a5
provenance,data/interim/audits/cross_system_resolved_sources.csv,csv,5902,31,5,6cee02ab2f90e288284514521450a2973fc65ed3c0613b91ccd2a279a2a33983
